,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,t1,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,t2,Total; Estimate; AGE - 75 years and over,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over
22,49393,2675,3377,3658,3596,5991,19297,6420,3487,2664,4253,16824,3176,39.0,34.0,6.0
23,40755,2125,2836,2499,2410,4608,14478,5736,2916,2856,3788,15296,2640,36.0,38.0,6.0
24,71194,3866,4376,4015,4156,9539,25952,9751,4519,4643,6286,25199,4318,36.0,35.0,6.0
25,80989,4368,5678,5159,5565,11341,32111,11631,5544,4449,6647,28271,4116,40.0,35.0,5.0
26,37621,2094,2426,2203,2357,4866,13946,5615,2556,2287,3538,13996,2585,37.0,37.0,7.0
27,103132,5164,6635,5891,6005,13604,37299,14260,7378,6937,10132,38707,7384,36.0,38.0,7.0
28,16657,826,960,922,956,1917,5581,2439,1261,1174,1886,6760,1325,34.0,41.0,8.0
29,31507,1618,2111,1978,1932,4008,11647,4372,2004,1730,3000,11106,2051,37.0,35.0,7.0
30,26572,1286,1510,1420,1525,3396,9137,3689,2118,1640,2886,10333,2088,34.0,39.0,8.0
31,8533,424,511,469,485,845,2734,1174,777,657,817,3425,699,32.0,40.0,8.0
32,14995,889,944,828,779,1688,5128,2233,967,1186,1463,5849,1127,34.0,39.0,8.0
33,17110,632,1090,785,837,2263,5607,2303,1314,1291,2018,6926,1402,33.0,40.0,8.0
34,104108,5058,6293,6726,6611,13262,37950,14171,7011,6279,9298,36759,6916,36.0,35.0,7.0
35,52326,2585,2963,2853,2975,6788,18164,7460,4071,3600,5766,20897,3677,35.0,40.0,7.0
36,659460,33538,44703,48288,46374,83564,256467,88528,46683,39720,50057,224988,41755,39.0,34.0,6.0
37,14021,630,815,704,757,1726,4632,1950,1087,1021,1506,5564,1266,33.0,40.0,9.0
38,92590,5105,7922,5359,5130,10795,34311,12488,6644,5944,9276,34352,7234,37.0,37.0,8.0
39,33288,1665,2097,1954,1873,4261,11850,5189,2719,1990,3293,13191,2013,36.0,40.0,6.0
40,156597,11459,22487,11735,10087,18477,74245,17601,7454,7584,9266,41905,5743,47.0,27.0,4.0
41,91695,4590,4955,5764,6297,12374,33980,13645,6117,4951,7194,31907,4662,37.0,35.0,5.0
42,10362,537,745,641,594,1152,3669,1578,854,613,1063,4108,710,35.0,40.0,7.0
43,19358,1968,2396,1134,860,1956,8314,2469,1287,1449,1853,7058,1374,43.0,36.0,7.0
44,353213,19505,24562,24407,22802,43228,134504,53986,23139,19716,25977,122818,20021,38.0,35.0,6.0
45,19743,1119,1260,1070,1026,2373,6848,2772,1406,1406,2065,7649,1665,35.0,39.0,8.0
46,30058,1381,1692,1580,1644,3822,10119,4453,1743,2445,3459,12100,2504,34.0,40.0,8.0
47,94738,4727,5751,5922,5669,12159,34228,12573,5760,5864,8820,33017,6268,36.0,35.0,7.0
48,414328,21956,29997,28653,26846,50285,157737,55963,27507,25539,34106,143115,24300,38.0,35.0,6.0
49,21745,1347,1312,1079,1157,2607,7502,3111,1729,1407,2167,8414,1656,34.0,39.0,8.0
50,227120,13410,18115,17035,15933,28590,93083,29223,14409,12960,16424,73016,12962,41.0,32.0,6.0
51,119157,5922,7287,7340,7582,15554,43685,17500,8428,7241,10713,43882,7619,37.0,37.0,6.0
52,9680,902,1036,238,587,1077,3840,1164,662,625,1068,3519,694,40.0,36.0,7.0
53,20170,992,1282,1162,1177,2226,6839,2981,1367,1402,1984,7734,1540,34.0,38.0,8.0
54,33287,2569,5380,2423,1767,3425,15564,3663,1979,1690,2639,9971,1920,47.0,30.0,6.0
55,22530,1137,1438,1015,1094,2831,7515,3144,1787,1400,2356,8687,1922,33.0,39.0,9.0
56,58480,2955,4046,4782,4380,7338,23501,7655,3788,2982,4243,18668,3004,40.0,32.0,5.0
57,86937,3817,5127,5217,5845,12105,32111,12343,5632,5489,7779,31243,4836,37.0,36.0,6.0
58,208721,10429,11508,12617,14138,30038,78730,29658,13199,12259,15623,70739,9594,38.0,34.0,5.0
59,13084,1018,1812,595,591,1327,5343,1655,983,868,1105,4611,1004,41.0,35.0,8.0
60,80888,3856,5294,4848,4944,10744,29686,11599,6000,5268,7637,30504,5074,37.0,38.0,6.0
61,40756,1823,2423,2178,2256,4807,13487,5779,3191,2918,4610,16498,3169,33.0,40.0,8.0
62,204424,14767,27051,15759,13189,23132,93898,23161,12240,10532,13135,59068,9812,46.0,29.0,5.0
63,64927,3054,4105,3564,3770,8196,22689,9312,4644,4641,6871,25468,4788,35.0,39.0,7.0
64,16746,1088,942,966,951,2004,5951,2421,1251,1212,1621,6505,1082,36.0,39.0,6.0
65,10919,767,685,559,614,1259,3884,1452,790,801,1095,4138,829,36.0,38.0,8.0
66,23968,1088,1306,1237,1366,2913,7910,3559,1629,1855,2802,9845,1890,33.0,41.0,8.0
67,3338,107,313,215,258,551,1444,816,265,222,142,1445,51,43.0,43.0,2.0
68,5784,350,472,437,468,919,2646,1022,386,376,260,2044,40,46.0,35.0,1.0
69,298225,15676,26819,27213,23172,38083,130963,40418,20164,14767,16515,91864,8968,44.0,31.0,3.0
70,17957,1165,1435,1454,1126,1951,7131,2135,917,710,755,4517,396,40.0,25.0,2.0
71,917,55,62,59,57,123,356,197,95,49,43,384,26,39.0,42.0,3.0
72,2303,85,210,163,147,313,918,338,129,150,115,732,28,40.0,32.0,1.0
73,4974,320,420,362,310,508,1920,626,370,266,249,1511,138,39.0,30.0,3.0
74,100031,5361,11382,10113,7959,12157,46972,11795,5870,5321,5122,28108,2400,47.0,28.0,2.0
75,2537,140,126,179,173,282,900,362,332,183,318,1195,105,35.0,47.0,4.0
76,2146,80,90,95,142,214,621,389,212,268,223,1092,72,29.0,51.0,3.0
77,32434,1749,2069,2459,2475,4353,13105,5079,2698,2044,2130,11951,1031,40.0,37.0,3.0
78,57961,2931,3574,3492,3447,6663,20107,8338,4815,4631,5124,22908,2527,35.0,40.0,4.0
79,13745,670,890,956,891,1659,5066,2103,1106,1024,1048,5281,533,37.0,38.0,4.0
80,13773,880,1133,973,1100,1786,5872,1892,1039,644,830,4405,272,43.0,32.0,2.0
81,8129,611,741,682,416,724,3174,863,359,238,263,1723,153,39.0,21.0,2.0
82,1301,100,122,109,91,134,556,239,107,84,63,493,31,43.0,38.0,2.0
83,101135,5407,6281,6606,6549,12667,37510,13719,6905,5503,5973,32100,2772,37.0,32.0,3.0
84,9869,641,808,804,643,1094,3990,1158,514,471,495,2638,212,40.0,27.0,2.0
85,9757,468,740,812,831,1176,4027,1668,818,522,314,3322,142,41.0,34.0,1.0
86,7715,485,737,625,507,812,3166,884,395,285,304,1868,213,41.0,24.0,3.0
87,3275,206,187,172,184,459,1208,447,280,235,266,1228,129,37.0,37.0,4.0
88,6473,337,356,387,368,760,2208,1025,601,456,488,2570,215,34.0,40.0,3.0
89,8810,495,488,604,618,1214,3419,1285,745,588,672,3290,447,39.0,37.0,5.0
90,1038,16,54,66,87,159,382,182,160,53,62,457,23,37.0,44.0,2.0
91,6889,431,411,442,385,889,2558,1007,598,370,532,2507,227,37.0,36.0,3.0
92,9439,384,736,682,611,1137,3550,1431,871,655,718,3675,219,38.0,39.0,2.0
93,2475,115,100,116,107,197,635,381,278,223,259,1141,257,26.0,46.0,10.0
94,682,32,39,26,35,85,217,122,56,45,51,274,18,32.0,40.0,3.0
95,5453,309,371,371,347,547,1945,753,413,385,469,2020,258,36.0,37.0,5.0
96,71602,4963,4972,4336,4032,7981,26284,9195,4520,3823,5538,23076,3769,37.0,32.0,5.0
97,126516,6727,8177,8688,8088,14016,45696,15809,8377,8927,14374,47487,10270,36.0,38.0,8.0
98,138639,13056,17429,9677,8435,15101,63698,16140,8600,7434,9029,41203,5146,46.0,30.0,4.0
99,53145,2183,2847,2468,2344,4712,14554,6669,4577,4037,8097,23380,5493,27.0,44.0,10.0
100,37700,2330,3088,2799,2690,4663,15570,4273,2024,1836,2569,10702,1932,41.0,28.0,5.0
101,9368,561,525,670,664,1184,3604,1033,530,526,548,2637,493,38.0,28.0,5.0
102,20477,868,868,827,901,1479,4943,2192,1472,1485,4043,9192,3109,24.0,45.0,15.0
103,4155501,220286,283042,288634,281336,539197,1612495,522995,232062,209667,308128,1272852,230326,39.0,31.0,6.0
104,204691,8856,10091,10000,9721,19542,58210,26292,16230,16084,31104,89710,21525,28.0,44.0,11.0
105,107902,6297,6989,6451,5908,11480,37125,13420,7379,6205,10068,37072,6249,34.0,34.0,6.0
106,1007257,57102,87632,61529,62260,114543,383066,122685,63881,62467,95467,344500,75764,38.0,34.0,8.0
107,405537,19170,21643,25271,27680,51974,145738,44413,21591,24044,42690,132738,24202,36.0,33.0,6.0
108,46358,2748,3305,2368,2442,5386,16249,5911,2911,2865,4278,15965,2901,35.0,34.0,6.0
109,220972,9816,10252,9615,9664,19586,58933,27124,18101,19897,34655,99777,24082,27.0,45.0,11.0
110,204281,12539,17457,14140,12535,22568,79239,22474,10126,9341,18389,60330,15837,39.0,30.0,8.0
111,18352,963,987,1074,1186,2269,6479,2483,1387,1331,1791,6992,1426,35.0,38.0,8.0
112,20771,993,1352,1057,1355,2508,7265,2982,1478,1347,2192,7999,1538,35.0,39.0,7.0
113,41093,1566,1664,1995,1800,3883,10908,5161,3026,3406,6664,18257,5470,27.0,44.0,13.0
114,251823,12356,13602,16478,18664,33527,94627,30762,12988,11636,17255,72641,12930,38.0,29.0,5.0
115,37212,1831,2027,2116,2163,4498,12635,5013,2338,2549,4028,13928,3197,34.0,37.0,9.0
116,10994,457,691,596,742,1233,3719,1573,823,667,1114,4177,901,34.0,38.0,8.0
117,5194,242,384,277,245,599,1747,825,504,279,563,2171,444,34.0,42.0,9.0
118,27782,1218,1484,1297,1530,2992,8521,3559,2274,1994,3573,11400,2154,31.0,41.0,8.0
119,11008,620,578,601,581,1280,3660,1560,889,746,1098,4293,1060,33.0,39.0,10.0
120,22495,2223,3464,1079,898,2527,10191,2616,1154,1391,1936,7097,1581,45.0,32.0,7.0
121,15190,717,874,803,804,1812,5010,2166,1134,1002,1777,6079,1424,33.0,40.0,9.0
122,25361,1146,1305,1235,1351,2615,7652,3487,1916,1784,3562,10749,2905,30.0,42.0,11.0
123,8332,574,458,382,438,1067,2919,1204,511,641,862,3218,673,35.0,39.0,8.0
124,23992,2148,2512,1361,1260,2629,9910,2929,1313,1583,2046,7871,1915,41.0,33.0,8.0
125,20954,1011,1282,1208,1201,2467,7169,2968,1465,1357,2137,7927,1680,34.0,38.0,8.0
126,104246,6037,8733,8054,7173,12860,42857,12310,5490,5658,7242,30700,5445,41.0,29.0,5.0
127,62119,3047,3747,3715,3557,7952,22018,8820,3950,3853,5562,22185,3633,35.0,36.0,6.0
128,49278,2679,3367,3439,3126,6095,18706,6721,2999,2871,3529,16120,2399,38.0,33.0,5.0
129,17164,936,970,944,937,2319,6106,2437,1229,1033,1754,6453,1173,36.0,38.0,7.0
130,7585,400,443,347,312,978,2480,1044,546,620,859,3069,688,33.0,40.0,9.0
131,12094,695,752,711,559,1397,4114,1681,833,927,1190,4631,885,34.0,38.0,7.0
132,18620,1470,2018,937,1034,2030,7489,2425,1272,989,1577,6263,1376,40.0,34.0,7.0
133,121282,7877,13748,9262,8122,14892,53901,14710,6642,5400,7764,34516,5185,44.0,28.0,4.0
134,17803,958,1069,972,1022,2103,6124,2378,1167,1223,1800,6568,1426,34.0,37.0,8.0
135,12092,517,534,511,561,1332,3455,1650,889,1021,1776,5336,1233,29.0,44.0,10.0
136,97994,4545,5369,5343,5518,10847,31622,12836,7176,6766,11603,38381,9164,32.0,39.0,9.0
137,18076,1046,988,1158,1081,2289,6562,2715,1287,1036,1746,6784,1083,36.0,38.0,6.0
138,44197,2263,2956,2740,2686,5717,16362,5932,2790,2457,3792,14971,2605,37.0,34.0,6.0
139,22154,1199,1049,1364,1334,2674,7620,3042,1258,1546,1882,7728,1694,34.0,35.0,8.0
140,33480,1396,2133,2153,2208,3947,11837,4630,2546,2136,3436,12748,2265,35.0,38.0,7.0
141,13472,656,736,786,764,1616,4558,1891,912,792,1227,4822,954,34.0,36.0,7.0
142,37097,2042,2155,2185,2445,4489,13316,5012,2415,2333,3280,13040,2792,36.0,35.0,8.0
143,13521,587,643,617,680,1463,3990,1920,1197,857,1853,5827,1463,30.0,43.0,11.0
144,17429,765,1108,1251,1239,2280,6643,2586,1221,1106,1718,6631,1191,38.0,38.0,7.0
145,71373,4037,5484,4719,4561,8523,27324,10149,5708,4329,6193,26379,4564,38.0,37.0,6.0
146,26155,1545,1783,1622,1424,3172,9546,3598,1618,1521,2342,9079,1681,36.0,35.0,6.0
147,7051,376,390,368,355,799,2288,1034,527,539,884,2984,647,32.0,42.0,9.0
148,16777,980,1168,860,931,1970,5909,2293,1022,1139,1798,6252,1479,35.0,37.0,9.0
149,9614,446,857,576,805,1274,3958,1306,735,617,919,3577,743,41.0,37.0,8.0
150,13885,564,1105,1251,1149,2114,6183,2125,907,705,999,4736,837,45.0,34.0,6.0
151,12494,547,594,706,690,1811,4348,1646,910,843,1468,4867,936,35.0,39.0,7.0
152,21802,1239,1213,1056,1096,2646,7250,3268,1642,1340,2386,8636,1769,33.0,40.0,8.0
153,71568,3598,4279,4851,5140,9903,27771,9494,4205,3626,5187,22512,3427,39.0,31.0,5.0
154,15907,923,829,786,890,1860,5288,2368,1189,1005,1608,6170,1069,33.0,39.0,7.0
155,16374,673,716,728,701,1531,4349,2373,1362,1622,2635,7992,1636,27.0,49.0,10.0
156,43760,2021,2775,2907,3054,5465,16222,6006,2772,2788,3766,15332,2647,37.0,35.0,6.0
157,43534,2518,3069,2989,2835,5358,16769,6040,2645,2801,3371,14857,2480,39.0,34.0,6.0
158,7420,379,473,359,349,833,2393,1086,617,585,846,3134,740,32.0,42.0,10.0
159,9059,367,515,348,380,947,2557,1414,672,753,1221,4060,987,28.0,45.0,11.0
160,8528,443,404,387,531,968,2733,1176,761,486,1022,3445,701,32.0,40.0,8.0
161,7898,382,324,368,387,878,2339,1093,591,778,1122,3584,707,30.0,45.0,9.0
162,24378,1167,1493,1462,1354,2762,8238,3484,1974,1832,2420,9710,2030,34.0,40.0,8.0
163,10320,506,575,531,503,1202,3317,1504,792,751,1120,4167,768,32.0,40.0,7.0
164,19518,1128,1356,1115,1116,2070,6785,2640,1669,1076,1856,7241,1371,35.0,37.0,7.0
165,10893,527,574,621,560,1490,3772,1541,735,694,1190,4160,842,35.0,38.0,8.0
166,24098,1158,1574,1457,1300,2997,8486,3358,1538,1571,2466,8933,1617,35.0,37.0,7.0
167,20212,966,1036,1021,1058,2142,6223,2799,1398,1442,2507,8146,1758,31.0,40.0,9.0
168,63372,4451,6033,4144,3869,7155,25652,8253,4012,3280,4983,20528,3805,40.0,32.0,6.0
169,8309,398,427,427,429,943,2624,1249,642,582,1008,3481,792,32.0,42.0,10.0
170,392848,18553,27073,30140,29217,50081,155064,51548,27050,23008,28965,130571,21915,39.0,33.0,6.0
171,17514,802,1011,1001,985,2008,5807,2374,1205,1225,1875,6679,1598,33.0,38.0,9.0
172,26688,1370,1766,1880,2110,3797,10923,3734,2027,1490,2191,9442,1453,41.0,35.0,5.0
173,116252,5203,5992,7053,7652,16012,41912,14894,7198,6669,11476,40237,7425,36.0,35.0,6.0
174,10584,586,671,619,502,1233,3611,1591,822,545,1164,4122,789,34.0,39.0,7.0
175,7925,237,376,499,378,821,2311,1056,598,641,1051,3346,798,29.0,42.0,10.0
176,127362,6935,8843,8633,8115,16088,48614,17332,8461,7310,10193,43296,7581,38.0,34.0,6.0
177,17206,920,1117,1017,1046,2310,6410,2126,1008,835,1361,5330,959,37.0,31.0,6.0
178,17041,866,802,785,777,1710,4940,2238,1225,1272,2451,7186,1816,29.0,42.0,11.0
179,12443,543,654,539,560,1207,3503,1688,818,1137,1791,5434,1275,28.0,44.0,10.0
180,40022,1994,2329,2329,2690,4857,14199,5528,3054,2537,3676,14795,2977,35.0,37.0,7.0
181,16751,719,806,827,870,1847,5069,2300,1265,1217,2301,7083,1813,30.0,42.0,11.0
182,223683,15000,22710,17011,16565,27814,99100,24589,11573,9520,13176,58858,9403,44.0,26.0,4.0
183,78706,4995,6901,5145,4799,9343,31183,10375,4710,4117,6667,25869,5049,40.0,33.0,6.0
184,6763,398,338,346,326,830,2238,936,528,547,815,2826,596,33.0,42.0,9.0
185,21601,1098,1288,1232,1270,2692,7580,2993,1605,1213,1972,7783,1601,35.0,36.0,7.0
186,1629615,78011,109299,123185,125275,235732,671502,225498,102779,87787,109230,525294,82703,41.0,32.0,5.0
187,1203,82,86,64,43,116,391,130,106,81,127,444,97,33.0,37.0,8.0
188,37306,1577,1741,1555,1860,4171,10904,5723,3174,3536,5193,17626,3464,29.0,47.0,9.0
189,225207,13501,26177,14024,13003,23241,89946,26379,15065,14563,20126,76133,16693,40.0,34.0,7.0
190,45057,2060,2047,1836,1770,4254,11967,6494,4190,4238,6784,21706,4083,27.0,48.0,9.0
191,21479,1200,1475,1480,1350,2566,8071,2658,1337,1174,1525,6694,1206,38.0,31.0,6.0
192,1123678,56791,66834,66510,70201,149270,409606,165058,75305,64868,86311,391542,64520,36.0,35.0,6.0
193,27442,1162,1756,1885,2163,3369,10335,4239,2081,1715,2448,10483,1672,38.0,38.0,6.0
194,185015,9508,10130,8559,8949,20580,57726,29398,15800,14563,18810,78571,12237,31.0,42.0,7.0
195,971616,58925,78554,73503,66971,116366,394319,114290,51990,44350,58301,268931,45814,41.0,28.0,5.0
196,27935,1694,1803,1720,1663,3220,10100,3740,1696,1850,2214,9500,1773,36.0,34.0,6.0
197,135490,7878,13197,9099,9642,15856,55672,16406,10372,9316,11728,47822,8166,41.0,35.0,6.0
198,179957,11059,14627,12728,12034,22068,72516,21737,9929,8039,11271,50976,9445,40.0,28.0,5.0
199,18195,837,939,938,1053,1950,5717,2434,1448,1564,2074,7520,1775,31.0,41.0,10.0
200,878744,53779,70697,66891,62029,109119,362515,106329,46479,39239,49472,241519,33879,41.0,27.0,4.0
201,150183,8438,13032,13090,11990,20977,67527,19240,7764,5843,7650,40497,5568,45.0,27.0,4.0
202,64095,3016,3476,3483,3312,6696,19983,8991,5445,5510,7579,27525,5104,31.0,43.0,8.0
203,31470,1212,3156,3250,3375,4806,15799,4660,2195,1838,2171,10864,1565,50.0,35.0,5.0
204,10105722,566273,777642,799155,747081,1414607,4304758,1384892,611256,506424,657175,3159747,532584,43.0,31.0,5.0
205,154440,9325,11371,10469,10513,19272,60950,18646,8736,7998,11278,46658,7827,39.0,30.0,5.0
206,260814,10728,10934,11171,12746,34489,80068,41746,20191,20262,28063,110262,20492,31.0,42.0,8.0
207,17658,781,740,918,893,1631,4963,2708,1551,1683,2620,8562,1683,28.0,48.0,10.0
208,87497,4306,5102,4671,5287,10197,29563,11268,6742,7256,9690,34956,6186,34.0,40.0,7.0
209,267390,18810,21861,19044,17789,32484,109988,31240,14074,10825,15341,71480,11608,41.0,27.0,4.0
210,9017,513,345,401,469,853,2581,1433,594,916,1217,4160,851,29.0,46.0,9.0
211,14058,513,1353,924,1052,1672,5514,2206,1040,915,1338,5499,543,39.0,39.0,4.0
212,433168,24714,33276,32122,31668,56012,177792,52816,24508,22004,27349,126677,22330,41.0,29.0,5.0
213,141005,7428,9020,8497,8791,17846,51582,19569,9815,8967,12634,50985,10449,37.0,36.0,7.0
214,98838,4556,4688,4499,5162,10212,29117,13695,8710,9629,12962,44996,9048,29.0,46.0,9.0
215,3155816,171353,227699,223517,211660,430132,1264361,455401,198602,160814,220851,1035668,176806,40.0,33.0,6.0
216,374985,19072,20204,19272,21504,47156,127208,53228,24720,23272,35298,136518,27706,34.0,36.0,7.0
217,18724,766,877,761,940,1885,5229,2610,1824,1836,2860,9130,1754,28.0,49.0,9.0
218,2355002,143007,171097,155571,151684,297089,918448,301453,129067,112922,164711,708153,129502,39.0,30.0,5.0
219,1495400,77197,105779,112904,106722,191843,594445,198226,93867,78025,100989,471107,80298,40.0,32.0,5.0
220,58671,3548,3970,3678,3707,7514,22417,8304,3622,3090,3714,18730,2549,38.0,32.0,4.0
221,2121220,134883,172993,155961,144953,272320,881110,274668,121329,98996,123944,618937,84984,42.0,29.0,4.0
222,3283665,176652,274256,269024,243092,427056,1390080,428074,194186,169328,217961,1009549,179713,42.0,31.0,5.0
223,864263,25697,53917,96921,90606,136300,403441,114629,51611,50528,62062,278830,57115,47.0,32.0,7.0
224,724153,44316,52431,47905,47366,91392,283410,92377,41786,34164,46093,214420,34619,39.0,30.0,5.0
225,280119,18993,29954,15643,16599,29558,110747,35028,20420,18757,26050,100255,20574,40.0,36.0,7.0
226,763450,32080,41641,50200,55091,110075,289087,111143,51314,45034,58669,266160,48695,38.0,35.0,6.0
227,442996,31540,48833,29282,28186,49938,187779,52773,26566,21716,30849,131904,28707,42.0,30.0,6.0
228,1911226,90816,119072,138479,144306,283308,775981,271427,115664,92582,123435,603108,99428,41.0,32.0,5.0
229,273263,19519,27597,16317,16680,32393,112506,36145,19893,17957,20623,94618,13894,41.0,35.0,5.0
230,178919,8913,11411,10789,10487,18967,60567,24324,13481,12853,19339,69997,14156,34.0,39.0,8.0
231,2885,133,50,77,132,347,739,414,445,283,470,1612,267,26.0,56.0,9.0
232,43530,1926,2231,2067,2260,4287,12771,5815,3788,3968,5832,19403,3818,29.0,45.0,9.0
233,434981,22432,31054,30758,28766,53038,166048,61069,29032,27070,32407,149578,22631,38.0,34.0,5.0
234,500943,25123,32227,32008,31953,60603,181914,70032,36804,35743,45968,188547,33048,36.0,38.0,7.0
235,535684,32033,38883,37754,35645,66814,211129,68281,30989,26042,35167,160479,26879,39.0,30.0,5.0
236,95583,5194,6676,6560,6125,11760,36315,12349,5583,5050,7298,30280,6087,38.0,32.0,6.0
237,63247,3284,3635,3859,3541,7158,21477,8705,4499,4060,6307,23571,4631,34.0,37.0,7.0
238,13037,669,465,491,718,1463,3806,1919,1189,1425,1841,6374,1274,29.0,49.0,10.0
239,458809,29459,34981,32104,31513,55868,183925,52366,22787,20214,26396,121763,19716,40.0,27.0,4.0
240,53899,2297,2901,3075,3191,5478,16942,7389,4472,4975,7101,23937,5190,31.0,44.0,10.0
241,847834,47733,60277,55256,53649,107917,324832,121007,57202,45652,61864,285725,48220,38.0,34.0,6.0
242,212605,16881,30055,14247,13820,23898,98901,24504,11336,10131,12801,58772,9956,47.0,28.0,5.0
243,74644,4210,5644,5922,5235,8740,29751,8932,4811,3355,4889,21987,3268,40.0,29.0,4.0
244,487850,23761,31810,37191,38618,69089,200469,60509,26382,21450,26439,134780,17164,41.0,28.0,4.0
245,16345,1323,2013,1065,954,1642,6997,1749,906,933,1175,4763,826,43.0,29.0,5.0
246,626612,30062,38602,45202,45657,86496,246019,84318,39802,34437,41234,199791,28165,39.0,32.0,4.0
247,12592,613,641,478,584,1244,3560,1640,1130,1416,1678,5864,886,28.0,47.0,7.0
248,3581,166,168,174,190,365,1063,462,273,277,425,1437,508,30.0,40.0,14.0
249,5806,128,70,614,627,1055,2494,865,393,375,559,2192,371,43.0,38.0,6.0
250,316782,21788,33603,21061,19738,40673,136863,42733,21030,17898,21217,102878,14599,43.0,32.0,5.0
251,64283,2609,3694,4130,4336,9564,24333,8757,4282,2908,4083,20030,2820,38.0,31.0,4.0
252,18818,624,803,1159,1127,2109,5822,2595,1673,1479,2509,8256,1659,31.0,44.0,9.0
253,2127,94,126,118,112,240,690,307,143,119,95,664,152,32.0,31.0,7.0
254,9257,245,503,379,462,1206,2795,1593,1058,788,1113,4552,451,30.0,49.0,5.0
255,8147,450,501,460,420,811,2642,1045,641,527,775,2988,618,32.0,37.0,8.0
256,3628,184,132,91,221,354,982,465,321,309,540,1635,346,27.0,45.0,10.0
257,5514,390,507,376,386,658,2317,845,272,350,428,1895,247,42.0,34.0,4.0
258,4505,153,118,139,150,291,851,454,525,600,833,2412,379,19.0,54.0,8.0
259,30217,1410,1343,1415,1580,3111,8859,3951,2476,2432,3862,12721,2937,29.0,42.0,10.0
260,678467,25061,44639,73275,68325,100303,311603,76015,35526,32515,39175,183231,30275,46.0,27.0,4.0
261,1736,32,106,77,206,214,635,180,156,107,249,692,150,37.0,40.0,9.0
262,320940,16408,13357,13882,19091,50833,113571,50380,19856,15525,18705,104466,9591,35.0,33.0,3.0
263,53726,2413,3027,4616,4576,8878,23510,7799,3526,2832,2843,17000,1069,44.0,32.0,2.0
264,24553,1423,1088,771,1044,2817,7143,4681,2480,1805,2132,11098,893,29.0,45.0,4.0
265,674826,36705,55133,51718,46448,82104,272108,87761,39441,34880,42995,205077,29377,40.0,30.0,4.0
266,46601,1571,2415,3132,4058,5884,17060,6856,3606,3239,5284,18985,3812,37.0,41.0,8.0
