,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,t1,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,t2,Total; Estimate; AGE - 75 years and over,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over
0,55036,3060,3422,3409,3315,7716,20922,8173,3530,2698,4560,18961,2918,38.0,34.0,5.0
1,203360,9200,10178,11433,11307,24627,66745,27202,13043,14013,21054,75312,14322,33.0,37.0,7.0
2,26201,1144,1833,1972,1898,3360,10207,3783,1848,1622,2616,9869,1709,39.0,38.0,7.0
3,22580,1349,1361,1545,1541,3445,9241,3131,1351,1361,1986,7829,1269,41.0,35.0,6.0
4,57667,3291,3140,3289,3479,7445,20644,8246,3740,3697,5804,21487,3708,36.0,37.0,6.0
5,10478,341,874,591,730,1686,4222,1421,593,859,944,3817,614,40.0,36.0,6.0
6,20126,947,1272,1164,1292,2353,7028,2673,1422,1468,1954,7517,1670,35.0,37.0,8.0
7,115527,6000,8646,7657,7106,14167,43576,15887,8110,7706,10400,42103,7667,38.0,36.0,7.0
8,33895,1498,2180,1973,1903,4171,11725,4854,2790,2001,3499,13144,2623,35.0,39.0,8.0
9,25855,1084,1424,1233,1291,3059,8091,3837,2004,2154,3234,11229,1922,31.0,43.0,7.0
10,43805,2070,2806,2667,2737,6041,16321,5843,2884,2758,3886,15371,2656,37.0,35.0,6.0
11,13188,604,762,629,695,1542,4232,1985,1026,944,1571,5526,1142,32.0,42.0,9.0
12,24625,1400,1600,1248,1435,3065,8748,3641,1746,1602,2497,9486,1894,36.0,39.0,8.0
13,13407,766,632,652,633,1730,4413,2054,896,1013,1439,5402,1118,33.0,40.0,8.0
14,14939,636,804,835,802,1981,5058,2171,1042,934,1575,5722,1080,34.0,38.0,7.0
15,51073,2601,3096,3336,3158,6882,19073,6960,3342,2938,4416,17656,3432,37.0,35.0,7.0
16,54435,2909,3255,3145,3211,6595,19115,7592,3878,3754,5569,20793,4264,35.0,38.0,8.0
17,12649,552,823,619,660,1393,4047,1795,1027,894,1467,5183,1050,32.0,41.0,8.0
18,10955,541,667,485,537,1450,3680,1743,1035,803,1192,4773,777,34.0,44.0,7.0
19,37519,1775,2274,2051,2121,4414,12635,5191,2547,2727,4037,14502,3382,34.0,39.0,9.0
20,13866,839,724,778,663,1822,4826,1991,1071,846,1379,5287,998,35.0,38.0,7.0
21,81703,4112,5030,4850,4797,10010,28799,11370,5393,5320,8319,30402,5714,35.0,37.0,7.0
