,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over
771,22966,1255,1356,1206,1279,2756,3334,1862,1584,2281,1498
772,34459,2286,2474,1749,1712,4056,4908,2562,2463,3419,2272
773,20900,971,1368,1478,1432,2815,3139,1573,1225,1943,1419
774,10617,585,538,533,616,1297,1606,644,715,1012,632
775,186081,15211,32991,14101,11512,19389,18757,8725,8708,10045,8090
776,15290,821,828,745,788,1871,2358,1137,1126,1676,1280
777,7225,484,396,345,386,893,1131,524,492,716,476
778,181831,9315,14343,13289,12092,20787,24326,12884,11248,14118,12989
779,15644,788,876,777,853,2006,2225,1159,1194,1636,1247
780,107723,7291,11574,7037,6935,13024,13711,7275,6047,8504,6848
781,31848,2108,2151,1633,1675,3684,4437,2452,1984,3140,3056
782,8269,390,432,400,457,984,1333,617,582,854,706
783,61581,2937,2993,3155,3595,7970,8991,4514,3866,5624,3777
784,27807,1479,1562,1473,1571,3528,4322,1944,1894,2475,1701
785,66972,3909,4230,3826,3765,8194,9550,4844,4289,6472,5413
786,27832,1536,1559,1547,1573,3085,4021,2068,1746,2534,2172
787,24279,1179,1296,1203,1366,2877,3323,1793,1827,2387,2016
788,33481,1747,1855,1833,1880,4089,4950,2735,2127,2934,2270
789,7192,363,339,362,400,752,1097,533,521,754,918
790,3785,136,220,198,213,379,596,326,239,431,426
791,13940,631,686,646,772,1464,1986,1095,1043,1550,1372
792,12547,501,644,682,714,1338,1706,972,918,1385,1289
793,5711,320,257,257,268,566,882,481,395,644,758
794,25646,1326,1293,1135,1466,3104,4105,1959,1476,2211,2014
795,132960,8060,15762,8992,8347,14427,15378,8634,8048,10008,9203
796,26381,1552,1442,1519,1716,3054,3726,1985,1885,2268,2164
797,24741,1766,1969,1243,1369,2822,3161,1487,1601,2305,2123
798,21101,1019,1029,1167,1313,2416,2914,1569,1153,1830,1582
799,20369,1299,1616,1372,1099,2126,2764,1300,1291,1353,1641
800,14822,667,680,713,884,1638,1978,1113,1049,1541,1544
801,9814,445,560,503,532,1020,1295,857,658,1020,1215
802,20428,988,1039,1027,1183,2181,2959,1585,1281,1718,2171
803,13327,597,653,621,761,1456,1902,945,1021,1425,1471
804,18368,870,828,832,1098,2203,2770,1395,1240,1682,1617
805,43134,2191,2581,2328,2568,4697,6263,3525,3159,4134,4187
806,11577,475,642,564,594,1207,1629,1002,862,1188,1448
807,12140,623,630,520,646,1273,1802,934,902,1200,1137
808,9267,471,606,567,490,972,1230,727,548,835,803
809,16387,671,901,867,953,1886,2249,1229,1197,1483,1677
810,17711,860,880,813,860,1884,2563,1438,1367,1840,1795
811,47587,2430,2832,2674,2806,5378,7080,3660,3127,4457,4140
812,17131,1004,980,902,1003,1825,2417,1208,929,1523,1429
813,80864,3643,3156,5459,6305,11454,9889,3791,3842,4637,3477
814,8834,430,463,421,455,930,1108,579,539,775,741
815,8105,730,933,356,360,829,940,480,571,746,761
816,17326,1032,857,748,974,1914,2734,1242,1261,1524,1553
817,39876,1878,2120,2095,2559,4561,5630,2927,2750,3909,3533
818,17000,655,775,812,921,1806,2256,1307,1541,2062,1942
819,96571,5773,6734,6130,5890,10541,13284,6585,6156,7701,7427
820,9661,704,608,535,554,1054,1223,787,635,899,1003
821,20139,1242,1419,1069,1024,2030,2835,1780,1152,2042,2083
822,15904,820,841,743,818,1826,2172,1296,956,1671,1636
823,10326,500,523,573,577,1189,1405,769,782,989,1053
824,6985,331,339,298,350,774,991,652,508,739,747
825,9046,418,463,405,497,912,1292,710,664,897,1035
826,12354,614,577,581,722,1410,1732,933,789,1195,1215
827,10664,504,456,473,554,1164,1571,790,840,1157,1101
828,15201,765,716,719,947,1779,2195,1097,1036,1397,1547
829,10971,553,447,547,603,1200,1612,892,800,1086,1113
830,17239,1001,864,832,1076,1724,2356,1364,1197,1726,1965
831,14196,810,736,681,743,1667,2204,1091,1018,1383,1295
832,19865,998,1303,1178,1250,2319,2835,1426,1293,1803,1632
833,9321,452,446,503,576,943,1304,729,523,884,987
834,9586,444,475,548,554,972,1323,810,560,890,1096
835,6965,346,299,347,389,712,938,635,454,688,826
836,16231,908,767,770,970,1927,2508,1215,1075,1369,1534
837,19409,1116,960,930,1041,2111,3007,1390,1450,2024,1804
838,36789,1776,2038,1986,2294,4422,5534,2558,2488,3376,3110
839,17945,756,1641,1226,899,1875,2000,1289,1879,1780,1219
840,144425,10476,22046,12428,10657,16035,14881,7693,6789,7574,5642
841,20468,972,1034,1047,1274,2534,3085,1473,1448,1910,1803
842,10223,489,505,466,559,1098,1505,822,675,987,1076
843,15166,734,700,680,825,1433,2162,1322,1025,1540,1842
844,34785,1780,2060,2096,2004,3889,5164,2791,2441,3604,2871
845,220008,11510,15436,14077,15046,28040,29533,13949,12561,16300,13934
846,11238,660,575,530,650,1434,1722,792,718,982,839
847,8600,527,416,361,428,905,1237,636,662,972,904
848,11745,573,570,536,750,1375,1449,801,729,893,1078
849,15720,760,626,676,905,2115,2327,1193,921,1318,1125
850,22301,1205,1395,1315,1332,2568,2967,1515,1496,1921,1860
851,33127,2117,2360,1731,1978,3796,4509,2077,2126,2812,2570
852,40476,2071,2515,2464,2545,4430,5355,2842,2689,3552,3382
853,14933,892,663,663,811,1783,2334,1225,1123,1329,919
854,10663,584,544,475,527,1074,1533,760,656,1022,1284
855,8865,372,436,445,434,920,1261,676,694,1026,1176
856,7912,405,489,374,420,911,1082,566,537,780,717
857,10239,593,466,439,477,1222,1463,889,731,1057,1110
858,42923,2229,2597,2605,2633,5147,5985,2698,2921,3406,2969
859,13944,728,658,735,755,1508,1908,1148,880,1222,1667
860,6149,286,298,283,392,634,932,500,391,578,668
861,15393,791,828,784,951,1841,2108,1135,1152,1530,1608
862,9110,493,570,464,553,923,1202,709,565,837,1096
863,25027,1378,1118,1121,1481,2858,3578,1840,1646,2147,2212
864,6972,289,410,333,322,662,1058,641,441,745,849
865,467235,22689,29508,35566,35631,61436,60891,27738,24163,29287,22423
866,93287,4879,5985,5738,5828,10926,13181,6803,5913,7626,6537
867,18428,1396,1738,861,914,1853,2424,1549,965,1792,1766
868,4986,206,210,230,229,477,639,339,373,575,676
869,9936,541,422,451,502,980,1415,864,703,969,1287
870,171493,8691,10519,11593,11714,21430,23337,11143,11145,13283,10548
871,11772,622,532,500,530,1227,1846,951,769,1190,1468
872,34692,2433,3196,1935,2157,3628,3923,2140,1757,2309,2639
873,95888,9989,20965,6787,5339,8654,8759,4495,4367,5013,4685
874,17236,1023,805,857,903,1975,2460,1241,1197,1612,1720
875,6214,265,253,290,403,701,822,480,397,625,667
876,12497,729,736,633,747,1387,1652,813,938,1189,1144
877,7308,362,337,336,419,782,1034,708,411,814,706
878,35321,1830,2355,2205,2129,4271,4622,2599,2362,3015,2836
879,48630,2829,3017,2358,2793,6020,6864,3244,2809,3798,3030
880,22095,1130,1087,1112,1306,2454,3123,1787,1245,1938,2042
881,6405,327,317,312,327,591,853,419,445,689,752
882,36945,2369,2652,2338,2251,4042,4986,2595,2606,3191,3132
883,10545,575,615,521,544,1189,1399,738,882,968,1149
884,20575,1815,2022,924,1021,2102,2921,1659,1255,1797,1892
885,102397,6071,7319,6649,6746,12187,13206,6368,6071,7460,6412
886,7502,378,406,354,425,818,1141,600,549,757,714
887,12864,453,741,585,648,1413,1772,1014,870,1212,1496
888,12752,753,771,681,766,1454,1681,989,795,1252,1207
889,7840,391,331,350,509,874,1023,527,462,840,779
890,16466,1325,1649,902,830,1708,2163,1121,836,1333,1257
891,4905,192,233,279,294,414,654,417,343,489,472
892,27067,1561,1735,1557,1707,2837,3606,1913,1835,2256,2496
893,14757,860,1040,886,813,1470,1755,1104,902,1357,1282
894,9736,432,507,498,555,1012,1328,782,679,979,861
895,66260,3952,4007,3739,3900,8202,9414,4748,3866,4728,4190
896,2665,139,125,105,133,290,353,168,253,354,274
897,3425,118,198,180,172,315,471,267,244,478,421
898,20501,1069,1051,1105,1152,2557,3028,1541,1335,2077,1541
899,2677,138,129,92,132,267,316,264,158,325,393
900,2089,91,101,118,110,221,253,235,96,220,239
901,8203,315,431,440,484,947,1037,597,552,892,905
902,9191,656,649,476,514,922,1250,584,632,956,1020
903,8328,439,390,391,496,983,1225,679,562,910,702
904,1741,84,97,74,73,229,216,130,171,286,214
905,35732,2261,2622,2166,2097,4052,4549,2477,2065,3159,2879
906,39099,2597,5425,2562,2391,4110,4469,2443,1896,3018,2708
907,2891,112,126,152,118,238,384,236,270,327,470
908,19162,969,951,1105,1132,2249,2742,1323,1296,1708,1839
909,7790,697,544,427,450,820,1009,487,610,706,624
910,117806,9260,21416,9410,7961,12727,11825,6168,5158,6493,5007
911,2946,122,145,95,161,340,422,279,205,298,300
912,2581,93,101,116,123,247,372,215,215,383,345
913,28877,1792,4079,2151,1796,2776,3399,1816,1577,1931,2088
914,6331,240,472,457,392,664,991,499,446,627,607
915,37097,2398,2630,2634,2609,4341,4765,2116,1659,1998,1414
916,34658,2004,2658,2641,2420,4209,4241,1701,1639,1940,1595
917,25599,1469,1559,1426,1629,2863,3740,2011,1383,2253,1687
918,35796,2019,4691,4411,3247,4121,2892,1115,1177,1575,1169
919,2632,101,104,133,185,235,342,229,195,313,346
920,2561,142,93,134,109,234,358,252,166,322,342
921,7716,450,387,572,516,1231,676,549,441,463,307
922,6004,363,356,320,347,796,767,371,332,474,371
923,1210,30,55,55,71,97,216,72,110,109,164
924,6227,246,276,264,318,642,881,480,531,766,714
925,2621,147,105,159,211,213,426,151,179,178,193
926,5746,231,292,321,324,581,704,477,431,615,634
927,34683,2105,2050,2096,1962,3806,4413,2495,2017,2822,3346
928,4081,258,264,200,234,531,508,275,235,314,230
929,1875,78,77,116,89,170,282,139,142,225,228
930,13322,681,676,699,721,1566,1900,853,985,1277,992
931,18856,981,831,884,982,2162,3088,1565,1252,1836,1372
932,2963,94,144,148,117,253,387,242,300,397,438
933,578797,28233,30463,38149,42182,79169,80453,37715,31617,38929,30193
934,3931,201,203,319,223,417,556,228,219,300,246
935,7576,364,362,374,390,797,1151,669,473,788,838
936,2524,162,209,136,127,247,314,183,201,210,272
937,20553,1066,1267,1176,1154,2358,2970,1431,1453,2000,1659
938,1702,101,104,69,36,230,226,140,102,147,209
939,79359,4157,4727,4640,5623,11648,11146,5080,4609,5607,3992
940,3121,186,78,148,172,315,423,264,274,301,354
941,9602,536,459,416,476,1152,1343,720,648,1130,776
942,2790,130,146,164,151,275,365,184,233,232,340
943,33302,2322,4610,2030,1930,3563,3867,2038,1965,2320,2108
944,28792,1646,1806,1533,1731,3147,3951,2071,1976,2593,2903
945,12087,730,764,538,579,1212,1698,943,783,1332,1383
946,9859,457,431,516,583,956,1389,893,601,964,1153
947,4295,257,231,207,249,489,605,253,291,326,445
948,32976,1861,1664,1431,1833,4047,5231,2484,1952,2682,2098
949,6230,377,402,282,340,587,814,459,433,655,753
950,33463,2027,2167,1966,2091,3604,4441,2356,2196,3310,2820
951,5605,307,215,315,299,518,841,393,492,653,675
952,2931,247,212,109,133,340,501,243,149,252,278
953,10095,598,508,474,552,1031,1442,646,604,855,1188
954,16209,989,953,945,858,1758,2161,1268,952,1511,1433
955,3001,130,89,224,162,213,428,246,241,315,456
956,5527,154,395,379,316,712,869,430,303,541,547
957,15894,841,757,714,859,1843,2386,1287,1092,1614,1274
958,3684,149,192,192,179,339,521,279,286,412,535
959,5957,345,259,292,330,676,909,561,309,569,512
960,6776,370,483,380,453,768,1055,633,442,630,620
961,5446,255,283,241,286,549,743,398,446,576,573
962,23188,1264,1226,1274,1699,2720,2890,1280,1408,1611,1296
963,9670,574,750,573,615,949,1144,692,676,798,936
964,2520,129,99,117,153,199,326,249,189,318,362
965,63360,3374,4115,3965,3913,7201,8213,4894,3851,5617,5687
966,4705,149,214,197,236,405,666,454,343,563,743
967,9868,647,880,506,578,918,1309,642,681,867,900
968,75696,7480,18330,8650,5505,6249,5346,3261,2126,2990,2749
969,5148,259,247,292,289,531,717,455,325,486,556
970,3119,148,144,138,164,299,444,318,223,318,446
971,6987,387,332,349,364,686,936,527,503,799,825
972,55334,2941,3994,3438,3165,6678,7596,4029,3102,4619,3983
973,4981,182,247,271,246,707,592,270,431,502,421
974,510484,27147,35802,37234,35204,61170,65569,32712,28415,34482,28345
975,22948,1548,1857,1901,1571,2882,2760,1082,1072,1030,960
976,178392,9000,11100,11564,11561,20672,23770,12816,11491,15005,12790
977,2497,62,109,127,106,286,328,194,187,256,320
978,5999,279,264,328,455,734,689,466,321,545,575
979,3693,188,160,126,162,324,529,318,287,429,570
980,4251,213,174,220,257,406,629,354,263,401,475
981,2107,144,95,125,114,306,230,141,83,164,169
982,5741,389,180,389,353,685,807,366,293,362,361
983,23336,1418,1310,1292,1281,2567,3292,2099,1299,2033,1906
984,7847,567,786,572,449,791,986,481,522,583,617
985,2899,112,187,60,137,330,432,270,218,323,352
986,6918,303,314,339,371,803,1027,554,505,662,534
987,1591,91,63,93,102,152,195,146,73,139,175
988,5572,292,251,251,310,574,773,461,325,621,717
989,2157,112,88,115,167,192,247,177,120,147,232
990,8858,498,442,417,513,957,1198,736,640,994,816
991,3178,130,132,162,203,292,445,252,273,350,370
992,163227,8564,10996,12053,12203,20201,20300,9720,8344,10032,7753
993,19304,1316,1513,1047,1013,2179,2743,1279,1245,1811,1317
994,20628,1128,1252,1207,1144,2570,3038,1346,1260,1924,1235
995,22017,1193,1137,1169,1342,3085,3377,1458,1345,1765,1184
996,8152,382,428,408,445,1057,1145,592,594,905,658
997,43418,2175,2586,2477,2472,5414,6267,2883,2671,3891,3208
998,12189,466,729,579,708,1562,1690,805,823,1094,776
999,27469,1306,1822,1716,1662,3526,4027,1802,2055,2848,1856
1000,127682,5995,6827,7583,8675,18549,18141,7434,7147,8297,4939
1001,20017,1031,1105,1125,1129,2458,3092,1350,1350,1945,1403
1002,48486,2151,2679,2750,3186,6365,7060,3385,3538,4739,3809
1003,29773,1855,2451,1501,1552,3565,4084,1903,1981,2784,2343
1004,8330,428,482,470,464,1058,1280,537,605,740,520
1005,13276,795,880,748,827,1816,2066,1044,937,1249,765
1006,19991,1010,1088,995,1093,2299,3055,1592,1411,2100,1287
1007,78622,4059,4643,4529,4941,10737,11981,5501,4613,6487,3547
1008,12735,561,718,784,833,1572,1845,1036,702,1286,894
1009,12747,625,673,638,759,1557,1779,1131,778,1343,1018
1010,38616,3102,5926,2344,2116,3861,4389,2418,1935,3502,2454
1011,91804,5245,6926,6625,6283,11073,13136,6469,5401,6892,5473
1012,4890,273,240,255,311,631,697,300,376,503,462
1013,10695,558,715,740,683,1256,1512,579,738,906,673
1014,27385,1708,1944,1575,1565,3444,3812,1994,1693,2565,1745
1015,15805,741,933,870,899,1977,2165,1208,997,1751,1183
1016,72438,3904,8827,7047,5514,7880,7198,3551,2989,4405,3574
1017,35757,1788,1938,2189,2010,4780,5351,2519,2334,3330,2322
1018,20866,954,1423,1464,1665,3184,3143,1468,1193,1696,1106
1019,10208,697,456,540,562,1205,1473,614,790,1061,722
1020,9154,387,465,462,544,1089,1290,721,609,1052,709
1021,6744,391,361,331,323,752,1007,679,339,769,582
1022,99258,4745,5894,6250,6242,11746,13817,7195,5555,8363,7013
1023,12063,668,802,686,691,1485,1676,1043,703,1369,873
1024,7533,354,438,518,518,1115,1071,553,507,827,546
1025,14382,578,778,775,865,1838,2275,979,1033,1538,907
1026,315109,17220,33282,25094,23990,40922,39207,18402,16548,20002,14877
1027,14515,685,848,808,813,1876,2069,974,980,1398,900
1028,37447,1944,2443,2317,2449,5016,5532,2851,2881,3561,2303
1029,49969,2770,3291,2950,3097,6613,6967,3619,3611,4487,3166
1030,6259,301,416,363,395,690,891,478,494,650,537
1031,8652,440,535,528,478,1098,1354,548,597,680,330
1032,17226,781,859,812,1054,2267,2670,1300,1124,1611,1112
1033,24800,1256,1491,1391,1556,3323,3570,1521,1330,1932,1091
1034,37259,1931,2113,2196,2226,4512,5135,2757,2246,3610,2702
1035,26129,1260,1641,1442,1598,3187,3593,1887,1735,2425,1673
1036,11044,591,576,515,630,1337,1652,702,865,1249,965
1037,36012,1563,1946,1733,2138,4700,5162,2683,2629,3873,2861
1038,8700,374,545,401,472,1123,1279,647,493,883,497
1039,107699,5617,8113,7493,7094,14009,15429,7027,5700,7433,5266
1040,27548,1333,1847,1772,1619,3438,3967,2141,2089,2690,1807
1041,18630,1000,1057,949,991,2405,2795,1478,1142,1796,1254
1042,18531,923,1112,1049,1009,2151,2822,1454,1045,1769,1145
1043,46252,2077,2630,2981,3004,5702,6644,3301,3246,4176,2970
1044,15677,821,819,785,858,1903,2390,1081,1135,1470,927
1045,4625,176,276,171,266,442,767,389,295,555,514
1046,45985,2141,2636,2707,2929,5728,6559,3207,3428,4418,3303
1047,13369,697,767,737,844,1834,1941,1004,875,1250,756
1048,764378,35818,50319,55205,53140,96212,105056,53602,45872,58500,48347
1049,51667,2965,3740,3161,3065,6558,7013,3475,2696,3767,2749
1050,23064,1030,1365,1338,1389,3071,3379,1794,1562,2264,1392
1051,163987,7905,10119,12020,12130,21331,23280,11051,9278,11569,8419
1052,15690,928,1148,804,885,2067,2440,1310,1043,1474,911
1053,31424,1615,2155,1838,1864,4011,4369,2142,1876,3129,2066
1054,14102,733,814,800,892,1654,2072,1233,809,1287,1069
1055,59901,2704,3650,3645,4034,8167,8466,3959,3865,5196,3320
1056,15844,674,1021,910,970,2038,2298,1447,825,1497,912
1057,6717,377,329,454,448,907,1206,416,610,659,436
1058,10648,458,707,668,652,1399,1715,883,686,1019,702
1059,23011,1095,1310,1348,1488,3061,3465,2008,1565,2367,1442
1060,13565,682,821,733,789,1761,2071,989,931,1354,877
1061,24413,1261,1364,1382,1389,3179,3650,1517,1657,2393,1623
1062,9288,455,442,446,487,1099,1462,804,680,1147,688
1063,26847,1426,1520,1502,1611,3221,3839,1917,1683,2620,1857
1064,8268,331,409,472,499,1027,1292,619,836,1147,737
1065,65285,2876,3719,3723,3993,8108,9143,5314,4169,6371,5217
1066,17748,953,1166,1038,1277,2639,2677,1246,1013,1523,862
1067,9361,425,517,460,548,1150,1388,666,623,1037,703
1068,88376,6522,10430,5230,5485,10669,10939,5021,4625,6328,4338
1069,12783,672,792,723,761,1764,2009,1169,623,1153,710
1070,19335,834,1171,1235,1305,2569,2869,1242,1262,1644,1280
1071,31177,1465,1607,1518,1775,3778,4442,2321,2347,3752,2684
1072,12175,485,996,821,1066,1875,1793,787,796,959,668
1073,17167,914,1002,927,926,2087,2514,1314,1184,1566,1170
1074,28452,1396,1825,2011,2064,3910,4292,2051,1470,2108,1300
1075,6381,376,305,474,396,740,1043,442,309,721,379
1076,21378,1100,1104,1040,1316,2517,3247,1595,1554,2161,1524
1077,9990,451,569,518,570,1170,1469,782,643,996,806
1078,10645,400,642,560,605,1260,1589,856,683,1123,811
1079,27550,1305,1696,1689,1705,3818,3954,1794,1586,2317,1573
1080,13281,553,769,952,1018,1919,1911,889,1165,1128,828
1081,31153,1722,1981,1707,1980,4018,4394,1993,2218,3195,2272
1082,45131,2384,2786,2669,2955,5619,6685,3286,2571,3464,2253
1083,7061,441,318,345,401,887,1080,447,521,690,515
1084,24062,1123,1372,1441,1456,2863,3313,1613,1632,2313,1639
1085,64633,3470,3062,2739,3628,9696,10950,4141,3765,4683,2285
1086,10686,562,534,554,595,1317,1526,875,721,1056,694
1087,4497,243,292,202,306,574,548,534,354,421,329
1088,14530,763,944,786,815,1819,2338,1196,878,1251,789
1089,27329,1378,1752,1762,1726,3787,4211,1964,2040,2453,1594
1090,61586,2904,4039,3533,3905,8488,9399,4679,4591,5900,3888
1091,12349,620,783,724,772,1681,1793,967,716,1088,649
1092,63974,2905,3630,3550,3682,8022,9289,4761,4038,6489,4522
1093,2161,106,148,64,93,270,307,181,134,288,235
1094,16815,778,972,957,926,2243,2634,1139,1179,1663,1079
1095,24392,2228,3629,1441,1229,2540,2747,1445,1114,1815,1286
1096,17731,749,964,951,979,2123,2601,1201,1274,1853,1392
1097,52322,2836,3320,2948,3537,7679,7089,3114,2747,3231,1931
1098,45831,2202,2572,2703,2652,6547,6366,2666,3049,3743,2180
1099,17881,648,1134,1175,1003,2373,2493,1181,1154,1539,1101
1100,18012,961,892,901,1046,2581,3044,1609,723,1425,692
1101,25406,1749,1928,1500,1355,2765,3274,1685,1527,2420,1852
1102,12377,597,782,745,770,1445,1693,971,540,1148,808
1103,14286,628,611,601,629,1822,2079,993,1124,1909,1048
1104,8697,491,479,443,497,1164,1319,587,659,853,499
1105,14915,1085,1578,773,929,1683,1988,1005,1006,1276,921
1106,123824,9302,13273,8200,7890,14418,14681,7302,5799,8216,5685
1107,11999,745,820,569,580,1518,1759,649,893,1062,941
1108,20692,927,1276,1139,1202,2574,2913,1585,1430,2265,1431
1109,13180,602,854,790,790,1649,1872,1091,869,1186,903
1110,36027,2196,2902,2059,2030,4320,4841,2241,2260,3137,2066
1111,7251,304,381,367,353,945,1093,582,444,766,482
1112,25817,1315,1391,1092,1484,3217,4001,2151,1660,2382,1444
1113,62607,3283,4301,4126,3958,7244,8540,4284,3367,4669,3593
1114,25667,1179,1509,1690,1945,3885,3838,1610,1384,2076,1339
1115,119129,6295,6669,7680,8413,16933,16277,6972,5539,7297,4129
1116,22881,1229,1655,1227,1352,2916,3353,1523,1635,2030,1414
1117,41095,1885,2733,2727,2782,5019,5857,2816,2470,3567,2694
1118,36598,2123,2273,2297,2327,4912,4819,2309,2214,2998,2021
1119,13806,725,827,827,733,1472,2016,939,977,1404,1230
1120,125698,6098,9126,9729,9235,16119,15718,7570,6482,8674,6668
1121,251069,13045,17851,18482,17262,30189,32572,17967,15037,20125,16529
1122,198753,10497,14528,14028,13155,23297,26155,13052,11752,15008,11191
1123,10000,562,592,607,655,1186,1368,791,593,921,675
1124,6806,425,371,318,287,752,1147,579,422,646,376
1125,10044,522,705,696,758,1134,1381,626,800,916,660
1126,16296,917,1103,1052,1044,2013,2616,1282,919,1550,1318
1127,20211,748,1531,1372,1299,2454,2657,1468,1282,1755,1361
1128,27164,1356,1689,1590,1628,3126,3904,1885,1825,2483,1708
1129,446167,27482,49130,34735,32008,51337,53681,28772,23667,30841,22456
1130,7318,348,584,670,702,848,916,534,336,459,493
1131,19553,982,1247,1286,1290,2440,3053,1570,1525,1915,1136
1132,33750,1869,2365,2213,2155,3939,4591,2023,1957,2773,1991
1133,20388,840,1406,1360,1197,2161,2713,1413,1266,1879,1563
1134,22305,971,1394,1670,1829,3363,3177,1460,1142,1863,1110
1135,73346,4275,5052,4880,4832,8554,10397,4882,4153,5596,4138
1136,33122,1597,2431,2491,2408,4267,4942,2187,2109,2612,1829
1137,15952,775,924,1119,931,2013,2176,1053,1034,1622,1238
1138,437038,20180,28285,32746,30908,53953,61351,31212,27675,36239,27728
1139,31405,1689,1835,1859,2081,3569,4447,2068,1899,2590,2148
1140,238230,12476,19324,20226,17682,29339,30604,15333,11880,14465,10932
1141,98112,4967,7031,7015,6726,11694,14411,6480,5269,7502,5537
1142,14930,599,1001,1007,1017,2076,1884,944,896,1310,1028
1143,47536,4359,8753,3321,2763,4271,4790,2233,2430,3090,2560
1144,137096,6974,8257,9284,10029,19032,18160,8288,7091,9471,5447
1145,11616,649,817,1038,936,1401,1527,691,750,849,642
1146,26290,1299,1713,1678,1627,3048,3522,2098,1634,2398,2043
1147,39051,2738,4734,2242,2215,4064,4446,2274,2397,3341,2459
1148,388182,18248,30137,37190,31226,47396,49771,25519,23218,25950,18384
1149,156433,8803,12212,11050,10619,19032,19649,9771,8509,11254,9062
1150,23394,1345,1550,1429,1503,3033,3612,1690,1056,1610,1197
1151,22271,977,1252,1259,1283,2456,3227,1608,1681,2268,1690
1152,132080,7603,8769,8414,8671,15920,17781,9122,7382,10868,8383
1153,8723,506,599,438,453,1059,1259,654,503,836,585
1154,20619,1134,1290,1309,1328,2474,2762,1556,1225,1764,1347
1155,24145,1226,1461,1294,1315,2776,3243,1631,1714,2651,1728
1156,45067,2103,3236,3699,3520,5416,5701,2687,2208,2434,1616
1157,52728,3060,3211,3237,3479,6817,8289,4030,2760,3469,2375
1158,10509,648,723,625,475,1343,1462,607,925,1036,772
1159,21485,1111,1475,1381,1410,2307,3269,1534,1406,1831,1334
1160,43565,2579,3002,2879,2922,5458,6474,3135,2541,3247,2035
1161,83580,4199,5382,5177,5059,9511,11320,5632,4971,6856,5247
1162,53609,2622,3688,3612,3435,6679,7674,3678,3125,4143,2648
1163,52578,2783,3696,3579,3292,6383,7723,3380,3424,4394,3115
1164,249201,12488,13214,12974,15039,31454,35960,18475,15241,21083,13705
1165,128850,7771,10198,9409,8613,14734,15989,8249,7138,9473,6142
1166,4771,270,241,246,274,453,642,461,316,563,380
1167,113067,6364,8023,8110,8072,13667,15793,7168,6298,8231,5482
1168,22537,1042,1461,1273,1291,2487,3049,1504,1798,2383,1694
1169,59841,2973,3772,3725,3853,7180,8346,4415,2915,4459,3564
1170,51906,2596,5800,4888,4254,6647,5343,2364,2335,3251,2076
1171,46449,2445,2746,2820,2964,5472,6344,3252,3197,4341,2962
1172,40043,1953,2512,2599,2349,4674,5588,2493,2846,3924,3259
1173,25518,1258,1692,1922,1883,3001,3507,1590,1506,1776,1147
1174,11274,624,682,667,748,1301,1559,805,652,1111,915
1175,15376,1269,763,886,1178,2322,2579,1006,1069,1310,662
1176,14631,606,1025,921,841,2029,2193,1092,876,1422,907
1177,107317,5350,6728,6526,6673,13363,16210,7656,7110,9177,7307
1178,68840,3576,3754,3460,3372,7827,10700,6026,5277,7939,6549
1179,289173,14743,17805,18427,17635,36398,44616,22180,18869,25082,20258
1180,30177,1752,2186,1660,1488,3122,4611,2399,2447,3372,2346
1181,54468,2458,2942,2847,2798,6187,8249,5000,4529,6607,4597
1182,121289,5821,7352,6515,6851,14574,19165,9851,8930,11455,9117
1183,39700,1529,1840,1885,2185,4627,5826,3583,3137,4768,3751
1184,34021,1399,1533,1630,1544,3606,5017,2698,3162,4799,3495
1185,57230,2744,2836,2818,3074,6556,9213,5082,4402,6101,4571
1186,152284,9315,12724,10306,8621,17697,22902,11609,10419,13469,11017
1187,16960,742,681,738,747,1876,2700,1581,1520,2366,1540
1188,35149,1329,1799,1872,1943,4227,5512,3155,2498,3790,2709
1189,50994,2308,2578,2674,2703,6362,8128,4302,3905,5564,3825
1190,39280,1885,2030,1935,2143,4653,5710,3372,3179,4446,2802
1191,31822,1592,1643,1598,1534,3483,4701,2632,2780,3941,2910
1192,201454,9507,10817,11147,11224,24120,31951,16070,14847,19529,14909
1193,72591,4577,6454,4542,4428,8650,10200,5085,4463,7310,6425
1194,564600,26994,37007,38960,38955,73558,84799,37113,33078,43499,28693
1195,828637,44228,56521,58035,54142,101162,116054,57388,51211,66172,60812
1196,90824,5303,5357,4798,4733,10974,16483,6562,5383,6748,4509
1197,32785,1669,2049,1879,2083,3894,4986,2494,1772,2803,2050
1198,167319,10015,10476,8526,8309,20485,29180,12306,10420,14228,10519
1199,102416,5460,6549,5731,5875,13227,16243,7911,5981,8224,5241
1200,156021,9102,10011,9377,9477,21558,25734,9895,7862,9979,6281
1201,32386,1327,1968,1935,1767,3616,4807,2520,2238,3495,2718
1202,246105,13273,14791,14429,14998,32701,39393,16531,13703,17362,12666
1203,29516,1616,1770,1481,1585,3553,4399,2336,2106,3369,2455
1204,250132,13401,15205,15122,15021,31572,39879,18102,15117,20771,14154
