,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over
252,18818,624,803,1159,1127,2109,2595,1673,1479,2509,1659
253,2127,94,126,118,112,240,307,143,119,95,152
254,9257,245,503,379,462,1206,1593,1058,788,1113,451
255,8147,450,501,460,420,811,1045,641,527,775,618
256,3628,184,132,91,221,354,465,321,309,540,346
257,5514,390,507,376,386,658,845,272,350,428,247
258,4505,153,118,139,150,291,454,525,600,833,379
259,30217,1410,1343,1415,1580,3111,3951,2476,2432,3862,2937
260,678467,25061,44639,73275,68325,100303,76015,35526,32515,39175,30275
261,1736,32,106,77,206,214,180,156,107,249,150
262,320940,16408,13357,13882,19091,50833,50380,19856,15525,18705,9591
263,53726,2413,3027,4616,4576,8878,7799,3526,2832,2843,1069
264,24553,1423,1088,771,1044,2817,4681,2480,1805,2132,893
265,674826,36705,55133,51718,46448,82104,87761,39441,34880,42995,29377
266,46601,1571,2415,3132,4058,5884,6856,3606,3239,5284,3812
267,57945,3042,3236,3951,4138,8231,8026,4044,3312,3646,2108
268,5793,175,152,192,376,1011,889,743,557,452,102
269,14793,632,914,916,981,1785,2210,1184,1498,1365,523
270,16215,1469,1857,1064,1151,2042,1886,1083,1001,1104,500
271,820,23,7,31,38,58,157,85,94,158,105
272,6498,167,238,251,325,517,908,586,681,1089,779
273,1372,51,56,48,69,146,228,148,101,173,119
274,564029,27008,33882,36984,36719,71580,84916,43030,37261,45614,32323
275,1368,109,84,71,65,157,192,106,71,151,144
276,7846,341,424,496,594,916,1130,509,471,769,653
277,7481,436,481,620,413,1140,1151,418,562,473,223
278,54469,3246,3554,3808,3654,6797,7408,4383,3887,4594,2603
279,330976,19701,35007,22685,21480,38042,39624,21827,19095,25058,17474
280,14151,772,799,854,771,1521,1892,1194,1162,1760,1246
281,5520,214,355,463,489,746,674,381,273,469,472
282,21885,1483,2108,1466,1342,2704,2771,1413,1496,1731,1736
283,148798,7901,10442,9959,9500,16713,18839,10651,9471,13239,10845
284,834,9,11,14,15,85,96,66,115,169,99
285,13056,673,798,815,925,1497,1882,1066,842,984,606
286,25770,1264,1107,1465,1281,2936,3441,2158,2040,2829,1923
287,40908,1955,1883,1951,2278,4567,5477,3166,2988,4729,3604
288,28123,1490,1790,1848,1728,3217,3817,1717,1604,2173,2115
289,18325,1169,1155,956,1058,2054,2315,1388,1162,1819,1654
290,4653,210,104,148,158,453,837,388,468,952,292
291,16900,685,620,569,760,1985,3084,1873,1749,1949,555
292,4327,231,223,151,296,459,569,291,272,346,592
293,17747,694,933,1459,1316,2283,2736,1411,1424,1852,803
294,12084,804,782,657,646,1470,1510,738,878,1019,865
295,163368,8547,10926,9857,10175,18970,20901,10894,10756,14561,12133
296,6557,384,482,397,437,751,928,497,418,506,380
297,11430,556,726,709,629,1327,1524,1092,634,1190,882
298,24359,1198,1349,1769,1687,3484,3543,2107,1763,1847,761
299,6338,259,270,330,281,630,891,554,678,717,350
300,569,11,60,90,42,28,100,44,53,87,30
301,7804,192,401,629,627,1257,1196,644,642,598,158
302,2357,113,131,117,61,202,268,193,252,296,313
303,29722,705,2282,2997,2508,4537,4247,2220,2143,2159,642
304,23769,1145,1066,894,978,2509,4070,2847,2087,2970,1036
305,4809,246,250,262,289,511,660,376,337,498,481
306,285729,15707,19649,19158,19293,36438,34856,16168,14642,17677,11436
307,10109,507,517,681,757,1091,1202,673,598,924,836
308,947328,53933,54646,53323,56120,124512,149671,65557,52910,70514,62265
309,897417,48345,57193,58506,57016,112076,135339,64904,53256,72249,65118
310,184454,9167,9484,8962,9113,21618,32218,16566,13854,18653,14374
311,164110,8903,9654,8615,9012,20125,27492,13899,11120,15664,12482
312,862127,50350,60005,57906,54312,106172,128365,59500,53371,70037,61425
313,270772,14480,20207,18079,16276,32449,41959,19646,17914,23696,18851
314,151596,13685,17987,7721,7484,16954,22998,10802,9089,11773,8587
315,116674,6933,8402,7247,6986,14934,18412,8691,7526,9369,7221
316,173145,9340,13392,11430,10464,20077,23045,10324,9684,15003,10453
317,555036,31276,40675,39756,36782,69968,80213,37434,31495,41367,32074
318,215551,8252,10896,10893,10787,21384,27744,15667,16763,29552,18759
319,672391,33424,59429,77208,68269,89941,76763,36308,32164,41097,32202
320,259865,21483,40842,21428,16904,26295,27496,14662,14051,17558,12790
321,27537,1320,1999,1768,1812,3507,4043,1681,1574,2115,1286
322,180117,7845,11777,12853,11525,21552,25354,12545,10299,15735,11876
323,26775,1347,1628,1866,2177,3454,3842,1992,1535,2503,2130
324,568183,25713,31724,29945,28419,58171,84311,43466,39083,64687,57113
325,1890416,88630,114373,122235,123134,251221,281386,125907,105679,147868,128832
326,14458,536,958,961,999,1988,2034,999,831,1423,1091
327,173236,5228,6962,5858,5821,13480,20036,12906,15009,32699,28401
328,141373,5406,5880,5134,5014,11691,17501,10956,11759,26153,21936
329,203291,11640,12128,11529,11680,26342,29924,12905,12163,16740,10095
330,356774,14052,17078,16910,16720,35375,42258,20896,23933,51555,46531
331,68484,3158,4937,4378,4192,7958,9307,5050,4309,6660,4739
332,35675,2013,2474,2452,2161,4000,4529,2106,2131,3792,2775
333,16323,647,786,850,900,1847,2401,1423,1117,2160,1283
334,912043,42869,66941,73435,66032,115206,124200,57292,51772,63845,45702
335,309924,19202,27710,22638,18974,33284,40441,20874,18660,26642,20565
336,105015,4647,4750,4027,4569,10740,12719,7649,7737,16169,11501
337,11675,302,723,940,907,1427,1609,976,762,1432,792
338,46113,2025,3211,2754,2881,6028,6726,3134,3522,4017,2825
339,17191,1187,1497,899,797,1762,2236,1232,1113,1904,1355
340,13197,480,712,901,708,1551,1673,939,835,1841,1471
341,16018,805,966,1205,1025,2154,2504,1339,861,1704,1092
342,14238,809,1580,838,744,1862,1987,937,1093,1320,830
343,27326,1588,1868,2057,1772,3675,3320,1341,1505,2046,1815
344,39064,2075,2760,2921,2571,4880,4872,2279,1690,2709,1993
345,179144,7448,8537,8089,7991,18296,22847,12495,12505,25354,21920
346,100177,3861,4504,4522,4313,8756,10794,6712,6500,16478,16315
347,1351087,69146,93812,98686,92834,178630,183609,82707,69877,93678,71870
348,19483,818,1354,1210,1167,2493,2756,1436,1174,2050,1598
349,147981,5993,6854,6435,6306,13719,18194,10222,10614,21227,20930
350,48571,2416,3113,3254,3160,7000,6929,3476,3054,4765,3679
351,14085,550,696,961,754,1928,2105,1155,1201,1662,1072
352,8684,485,714,739,714,1365,1112,474,380,744,418
353,326215,13578,15304,15392,15555,34931,40394,19836,21240,43267,35943
354,700165,27939,35061,35692,35068,71678,83658,44686,48551,96210,73836
355,285890,23402,48193,21955,18216,30069,31585,16146,14912,18233,12313
356,39713,1900,1890,1856,2104,4317,5597,3217,3027,5284,3459
357,8347,377,842,665,618,1145,1219,592,494,521,462
358,18518,841,1407,1235,1064,2303,2649,1281,1329,1864,1387
359,363542,14326,17641,17653,17721,37020,44865,24333,24335,46038,39734
360,343778,14181,18059,17420,16504,34124,42330,22179,24300,51090,40946
361,155719,6343,7024,6698,6897,14742,21237,11783,10846,21504,22107
362,2702602,129083,184567,189750,180667,378194,393644,160616,142401,208696,184778
363,76745,2864,3903,4604,4355,9676,12285,6707,6537,9272,5604
364,78435,3460,4359,3925,3780,9429,11122,6195,5397,9100,5345
365,197591,8899,14930,15953,13514,21979,26855,12615,10951,16008,12242
366,40228,2200,2599,2510,2357,5114,5126,2553,2209,3867,2962
367,1290216,69259,108508,105255,93542,173384,169807,73529,57915,74765,53933
368,325168,17505,21149,20802,21021,42790,41249,16860,15575,22372,14449
369,1426772,63055,79030,80887,77672,163745,191422,90945,82780,146931,161840
370,498136,21921,24494,24267,26619,59383,67024,31584,31529,57661,47834
371,949842,36609,50037,53338,52078,105720,140555,74317,68239,108086,101387
372,652256,32051,39877,38234,37652,74610,79899,37637,40060,67556,52010
373,72435,3462,4028,4066,3743,7589,9837,5582,5330,8538,6433
374,226578,11398,11278,9994,11055,26958,32190,16034,14039,22013,14844
375,298763,12954,16407,15605,15729,33478,38885,20012,17848,34072,29129
376,166778,7856,10474,10725,10262,21392,24747,11673,9144,13690,8587
377,404839,13892,17161,16153,16229,36169,49936,28291,31991,65632,64537
378,449260,22267,31130,30651,29268,58639,66262,29803,25942,34470,25658
379,116754,2102,2686,2990,3369,7604,8504,6484,12057,35220,19991
380,43814,1939,2983,2229,2800,4984,5605,2973,3201,4882,3649
381,22350,892,1608,1774,1578,2881,3065,1452,1762,2308,1628
382,15300,777,949,1176,1190,2155,2432,1254,998,1245,553
383,518660,23598,32083,28391,25856,53891,70689,38228,36690,61355,52835
384,31586,1488,1860,2120,2276,4720,4952,2198,1991,2441,1443
385,63457,2367,2934,3617,3580,7336,9082,4573,4154,6869,4076
386,24472,1239,1522,1584,1485,3509,3646,1760,1372,2558,1583
387,18471,1132,963,1045,1329,2176,2509,1123,1263,1703,1049
388,8313,534,399,513,609,1142,1136,505,423,560,356
389,11279,646,812,654,678,1527,1452,741,713,944,626
390,3251,183,275,156,122,445,555,213,227,386,158
391,45527,3842,6171,2695,2568,4806,5965,3111,2513,3656,2459
392,18363,959,1160,937,1049,2491,2660,1153,1269,1936,899
393,75099,3842,4184,5144,5501,10564,9781,4083,3538,4916,2910
394,102623,5451,6444,6446,6434,14320,14798,7168,4934,7799,4543
395,17272,1070,997,1049,818,2319,2276,1151,1153,1521,1079
396,19014,1144,1137,1186,1041,2508,2642,1259,1113,1849,1145
397,153923,9143,11278,10857,9868,18431,20026,10134,9179,11727,9220
398,12779,1306,982,505,672,1479,1717,663,764,1178,920
399,18411,874,1193,1017,1004,2315,2686,1372,1096,1636,931
400,15629,836,1002,765,925,1823,2228,1103,1063,1689,1126
401,34883,1841,1798,2133,2211,5114,4744,2086,1483,1984,1182
402,73742,8073,12918,5346,4139,7321,7649,3710,2989,4328,2815
403,22645,1212,1628,1476,1373,2589,3123,1645,1360,1912,1189
404,23556,1107,1805,1488,1710,3346,3330,1519,1433,1998,1255
405,6503,442,507,444,590,956,922,403,431,384,406
406,52252,2637,5518,4559,3247,6114,6739,3080,2393,3667,1776
407,10894,653,691,717,538,1405,1264,766,642,1141,627
408,114898,7800,10726,7459,7343,14405,14562,7185,5099,8354,5235
409,65870,3361,4017,3789,4044,8914,9275,4161,3992,5942,4052
410,12963,596,896,892,652,2638,2106,782,646,1015,663
411,285506,15475,25110,24983,20977,33417,34107,16583,15789,21424,15533
412,11096,1550,2430,1675,943,1020,723,326,125,255,138
413,24880,1291,1684,1540,1542,3414,3521,1846,1528,2228,1717
414,235896,11477,13049,12621,14449,34974,34451,14241,11966,16814,8548
415,123554,13397,23635,11210,8383,13282,10485,5433,4843,6460,4726
416,3024,132,208,184,155,296,308,249,241,340,270
417,274150,15534,20600,20251,19570,38429,36395,14731,12965,13733,7171
418,6788,260,353,616,357,820,832,373,487,613,385
419,739072,38768,47738,50567,52232,108713,106813,44732,37997,45385,27310
420,43048,2550,3576,2798,2935,5801,5859,2597,2175,3259,1917
421,45890,2395,2931,3181,3038,5900,5883,2869,2337,3700,2568
422,143723,7745,8220,8864,9263,19276,19532,8446,8081,9492,5870
423,17190,904,945,1111,1105,2177,2307,1122,896,1448,993
424,138015,7023,8027,7831,8604,19279,20287,7936,7668,10174,5736
425,12385,533,801,712,603,1569,2072,1002,828,1338,641
426,23005,1440,1319,1463,1265,2921,3005,1838,1396,1965,1505
427,16282,1206,1408,864,935,2028,2345,1071,1240,1641,1058
428,23397,1085,1318,1326,1171,2957,3337,1555,1714,2682,1232
429,27023,1588,1884,1658,2016,3018,3715,1765,1691,2312,1824
430,736066,33969,49615,59892,60179,108103,98663,43750,37647,43030,28056
431,21063,1047,1605,1299,1258,3002,3121,1436,1286,1807,1300
432,14053,741,1013,685,898,2075,2081,1105,962,1339,810
433,91522,6050,8172,6451,6191,10812,11340,5232,6153,6835,5290
434,140152,7812,8751,7924,9114,21025,20514,8419,6662,8856,4642
435,10405,666,521,606,497,1241,1426,613,766,1057,852
436,4011,308,247,283,234,562,469,300,237,227,253
437,57087,3152,3351,3269,3662,7952,8285,3280,2869,3745,1912
438,19288,900,1229,1075,1151,2355,2677,1234,1457,2054,1536
439,22502,1258,1612,1492,1440,2627,2974,1392,1407,2052,1417
440,10757,500,723,631,879,1342,1308,638,579,885,709
441,24480,916,1049,1100,1034,2498,3327,2006,2259,3560,2252
442,110306,7335,5987,4217,4249,12914,18727,9308,6867,10307,6257
443,96471,5741,6867,5996,5810,12245,12747,6358,5642,8084,6462
444,211300,10748,8566,8111,11394,33511,32132,10723,9128,13396,7453
445,22328,1226,1531,1258,1263,2570,3070,1437,1417,2389,1700
446,1010420,54309,74135,82352,79825,147464,137008,56209,49101,58313,40173
447,29614,1325,1502,1374,1450,3388,4009,2243,2214,3744,2174
448,3027,181,135,140,139,437,468,218,136,277,262
449,83467,3863,5035,4972,4948,9613,11369,5146,5965,8205,5584
450,56424,3387,3480,3392,3568,7674,8073,3205,3419,4400,2746
451,25048,1131,1612,1601,1572,2943,3419,1644,1606,2367,1593
452,16732,471,861,716,945,1762,1884,1119,1565,2710,1337
453,889954,50247,54789,55626,61236,133901,129701,48654,40934,44943,25178
454,43878,2297,2870,2609,2588,5717,5729,2674,2649,4289,3148
455,192865,10253,12854,12274,12128,25437,25224,10950,9502,14412,10042
456,8667,436,647,546,571,1052,1256,762,644,983,657
457,28722,1580,1814,1730,1563,3746,4124,1710,1853,2608,1706
458,33198,2011,1629,1313,1639,4500,5248,2945,2113,3300,1784
459,25535,1175,1650,1340,1462,2841,3500,1912,1680,3022,2060
460,11607,596,774,693,584,1437,1798,834,723,1106,617
461,217506,14454,12967,11746,12659,32710,32832,12869,9987,13441,7515
462,150341,7716,10666,10923,10556,19274,20993,9205,7081,9646,7103
463,9278,462,549,523,634,1383,1180,677,514,899,636
464,63851,3203,3394,3552,3960,9015,8907,3865,3366,5124,2834
465,13732,765,749,724,734,1822,1995,986,960,1229,721
466,14999,792,694,946,895,1838,2145,798,948,1270,791
467,15954,792,1091,971,991,1850,2210,999,1206,1541,1125
468,8929,449,516,423,486,1001,1179,707,497,945,706
469,9800,630,733,554,651,1347,1378,720,589,860,625
470,28540,1523,1751,1440,1735,3942,4105,2066,1700,2585,1659
471,18282,1701,1420,975,859,2237,2327,1315,1101,1846,985
472,10388,316,619,1162,805,1318,1274,603,592,706,510
473,47451,2340,2991,2765,2909,6007,6446,3076,3038,4328,3304
474,29216,1543,1626,1775,1852,4617,4100,1910,1630,1919,998
475,62120,3290,7912,7085,5020,7025,6816,3128,2309,3124,1491
476,7768,331,425,416,295,865,1188,609,714,990,548
477,17857,875,1525,1262,1273,2214,2224,602,1004,873,427
478,113941,7971,15578,8873,7315,12728,12751,5780,5170,7019,4829
479,31567,2504,3307,2578,1529,3343,3964,2022,1860,3065,1605
480,21488,1243,1145,1318,1210,2603,2969,1524,1302,2030,1284
481,14061,557,708,683,689,1697,2013,1463,1016,1601,1216
482,13675,831,1095,950,741,1949,2050,1270,799,1286,673
483,28600,1376,1777,1616,1821,3547,4232,1612,2098,2759,1587
484,8558,571,379,545,395,1134,1261,601,662,1026,435
485,21152,1175,1272,1190,1193,2412,3056,1851,1233,2349,1430
486,5884,294,366,277,299,732,780,475,315,591,559
487,22574,1444,1356,1542,1483,2994,3247,1622,1184,1915,1384
488,26795,1537,1629,1454,1707,3133,4115,2201,1846,2595,1702
489,8962,585,707,581,490,1203,1155,681,479,865,483
490,18013,1007,1054,673,803,2116,2848,1368,1198,1841,1259
491,39444,2148,2590,2376,2447,5458,5792,2594,2212,3083,1704
492,198647,12555,16333,17121,15066,24977,24881,12042,10022,12847,10601
493,105042,6699,6549,6113,6468,14708,14667,6166,4946,7374,4305
494,35972,2136,1911,1349,1733,4837,5392,2414,2148,2816,1645
495,14654,649,612,1000,847,1932,2198,1140,933,1497,976
496,152399,8745,9043,8671,9980,24155,22237,8535,6132,8482,4484
497,27027,2303,2853,1588,1628,3000,3677,2082,1280,2063,1325
498,30343,1108,1575,1464,1719,3699,4384,2032,2465,3774,2040
499,19141,1087,1218,1000,1202,2501,2511,1427,980,1778,1057
500,17919,1166,936,943,980,2531,2706,1157,1058,1533,978
501,41444,2133,2557,2776,2395,5310,5432,2528,2402,3528,2444
502,11396,459,761,903,792,1540,1789,772,804,1188,671
503,21430,1003,897,1419,1102,2368,2997,1932,1501,2933,1448
504,2140,115,118,92,118,214,289,149,232,343,267
505,16354,833,914,786,843,1816,2101,1235,1284,2382,1604
506,7206,367,409,442,431,806,962,453,564,638,631
507,201568,11287,17894,17531,14312,23001,25144,13107,11039,14433,10290
508,88482,4846,5841,4972,4949,11316,13246,6124,5050,6627,3886
509,5168,334,316,160,317,656,758,282,279,488,258
510,14037,955,1009,665,750,1621,1974,1041,1044,1384,922
511,8549,514,454,294,544,855,1321,529,725,1083,741
512,64192,3175,4147,4042,4174,7853,8690,3770,4104,5991,3810
513,25625,1367,1948,1334,1338,2922,3492,1960,1569,2808,1739
514,5832,304,517,557,507,849,760,402,283,454,435
515,30687,2062,2803,2179,1867,3383,3939,2073,1650,2682,1848
516,6423,323,383,281,228,734,1060,645,555,755,458
517,1844,74,128,100,97,200,201,198,102,216,195
518,25402,1133,1978,2180,2117,3711,3566,1330,1519,1916,1126
519,8267,528,581,402,343,1071,1225,647,563,886,580
520,16339,605,894,1385,1333,2733,2269,1132,979,1366,1094
521,8978,430,661,553,516,932,1275,717,583,907,647
522,44909,2192,2636,2773,2608,5386,6269,2974,3034,4132,3093
523,40531,2627,3455,2613,2502,5188,5125,2495,2084,3280,2265
524,27160,1469,1623,1744,2102,2963,3432,1486,1749,2283,1668
525,11173,791,760,396,360,904,1257,698,845,1865,1572
526,6752,320,429,386,312,887,1012,525,395,682,571
527,69433,4148,5271,4392,4233,8457,9375,4601,3764,5305,3880
528,8036,372,592,500,479,973,1075,486,527,847,614
529,8323,334,642,342,451,892,1335,858,565,1018,582
530,22262,686,1006,767,1167,1930,2767,1547,2001,3948,2662
531,26241,1417,1697,1421,1414,3166,3827,2182,1463,2674,1890
532,68609,3323,3971,3952,4065,8916,9940,5209,4141,6411,4580
533,88695,4395,5138,4996,5152,11727,12878,5540,4718,7246,4428
534,35688,1743,2720,2303,2273,4343,4731,2398,2177,3059,2565
535,5410,256,449,213,316,543,787,461,399,636,476
536,20506,1041,1361,1316,1304,2473,3132,1585,1177,1822,1345
537,29833,1395,1837,1948,2077,3971,4211,1838,1854,2563,1674
538,2627,135,173,119,189,280,351,235,227,295,161
539,7952,136,795,724,745,1351,1197,532,430,568,384
540,28509,1390,1816,1361,1323,3148,3984,2374,1708,3331,2136
541,103963,5723,7378,6892,6734,13797,13898,6211,4811,7283,5483
542,8896,434,588,673,621,1317,1304,667,464,763,609
543,9905,549,542,503,555,1036,1417,754,693,1214,869
544,9147,521,528,503,498,1061,1379,730,611,953,671
545,20809,1067,1394,1269,1193,2556,2948,1494,1406,2135,1305
546,196325,9003,11305,11883,11918,21855,24700,15595,15016,19256,12912
547,990060,45477,79913,80201,71066,124056,124247,60439,55031,79898,72432
548,86,2,4,0,13,11,14,10,9,9,12
549,71093,2942,3842,4245,4474,8373,9683,5299,5225,6742,4922
550,164094,7106,8845,10404,11359,21192,23215,11995,10874,14088,9379
551,435117,21634,26886,30142,30450,58917,55975,25842,23004,29795,20263
552,3946,251,105,85,147,374,535,307,522,602,318
553,84113,4752,6890,6833,6053,9713,9250,5386,4403,5832,4294
554,5942,348,280,286,341,652,691,401,389,663,492
555,9050,445,469,388,402,983,1254,838,666,1161,690
556,45369,2441,2669,2714,2898,5214,5397,2750,2398,3194,2479
557,21583,1087,791,1089,1212,2798,3375,1750,1572,2125,1071
558,6968,326,224,191,250,698,1121,772,747,1031,395
559,41855,1646,1793,1830,2120,4471,5762,3480,4096,5241,3068
560,110404,6047,6455,7408,8124,12691,12502,5746,6079,7052,5484
561,11323,573,479,437,598,1244,1407,856,959,1371,776
562,2613,182,112,92,124,292,352,165,219,308,201
563,886,67,28,38,60,115,178,93,59,125,58
564,207027,11788,13107,12812,13316,25609,23384,10972,9597,14574,9507
565,6862,241,371,337,494,754,788,440,458,641,495
566,23472,1370,1459,1335,1420,2656,2626,1431,1134,1672,1376
567,1055,86,45,42,114,96,81,47,41,71,47
568,8533,320,441,429,440,906,1284,679,852,1238,839
569,4141,156,133,169,198,503,561,352,563,576,370
570,26232,1210,2889,2259,1827,2889,3030,1386,1217,1836,1206
571,13120,815,672,612,822,1582,1384,672,643,946,786
572,12889,842,690,726,788,1539,1548,711,819,1194,859
573,16850,927,655,774,881,1824,2382,1122,1330,2036,1455
574,15110,903,960,824,915,1753,1849,902,804,1453,1064
575,16275,791,738,717,759,1555,2176,1409,1475,2318,1510
