,Actual Uemployment rate,Predicted Unemployement Rate
317,6.5,6.0
318,6.1,6.2
319,8.0,8.5
320,6.6,7.4
321,5.8,7.7
322,6.4,7.2
323,7.6,10.0
324,7.6,8.2
325,7.6,8.3
326,8.6,8.0
327,8.9,8.1
328,9.9,9.8
329,8.1,8.2
330,5.3,6.4
331,9.5,11.0
332,6.1,9.1
333,6.2,7.2
334,7.4,8.3
335,7.2,7.7
336,6.5,7.5
337,7.9,7.8
338,8.5,10.4
339,7.4,8.9
340,10.0,10.1
341,5.4,8.1
342,12.7,12.5
343,9.1,9.4
344,8.2,10.4
345,8.8,10.2
346,11.5,10.1
347,6.8,7.6
348,11.5,12.2
349,8.2,8.9
350,11.2,10.6
351,7.2,7.8
352,12.8,10.9
353,7.2,7.8
354,7.1,8.2
355,8.8,8.9
356,8.5,9.5
357,9.6,8.8
358,8.1,11.0
359,6.6,6.9
360,9.0,9.5
361,6.5,7.2
362,7.4,9.0
363,3.7,5.2
364,5.7,7.4
365,6.1,5.8
366,9.0,9.7
367,6.8,7.9
368,6.6,8.8
369,7.4,7.6
370,7.0,7.6
371,6.4,6.9
372,7.7,8.6
373,10.3,10.9
374,5.3,5.2
375,7.6,9.9
376,6.3,6.4
377,5.7,6.3
378,6.6,7.3
379,6.6,6.7
380,9.1,9.1
381,5.9,7.7
382,9.8,9.5
383,6.7,7.6
384,6.9,7.6
385,5.7,7.0
386,10.1,9.7
387,7.7,7.4
388,8.4,7.4
389,3.1,5.2
390,2.5,7.1
391,9.0,8.5
392,6.6,6.9
393,6.8,8.2
394,6.0,7.1
395,5.2,9.0
396,9.4,10.7
397,10.4,10.9
398,7.7,5.7
399,7.8,9.0
400,13.6,13.0
401,7.9,7.4
402,9.3,8.9
403,5.8,8.5
404,7.6,9.2
405,14.9,8.5
406,8.2,6.9
407,6.3,8.6
408,9.4,9.6
409,5.4,6.2
410,10.4,11.2
411,8.7,8.2
412,15.2,11.0
413,9.5,8.3
414,4.9,5.4
415,7.6,9.1
416,20.3,16.6
417,10.3,12.1
418,9.1,10.3
419,6.0,6.6
420,5.7,7.6
421,7.2,7.9
422,5.8,5.6
423,5.8,6.9
424,5.4,6.1
425,12.6,9.0
426,14.8,12.8
427,4.8,5.8
428,6.1,6.6
429,6.5,7.1
430,8.5,9.6
431,9.0,8.6
432,10.5,9.8
433,15.8,14.5
434,7.9,8.8
435,8.7,9.0
436,5.5,9.4
437,5.0,5.1
438,7.7,8.9
439,10.3,11.4
440,6.6,9.1
441,8.3,9.0
442,5.5,5.7
443,7.5,8.5
444,4.2,4.6
445,6.3,7.6
446,7.7,8.3
447,7.4,8.3
448,3.3,5.7
449,6.7,7.9
450,5.7,7.0
451,8.0,9.4
452,6.5,7.1
453,5.8,7.1
454,5.5,6.7
455,4.6,6.5
456,4.0,12.9
457,7.2,9.6
458,8.5,6.0
459,4.7,5.8
460,9.6,9.7
461,7.7,8.4
462,7.8,8.0
463,7.4,6.7
464,6.5,6.5
465,7.2,10.0
466,5.0,6.4
467,8.5,13.4
468,6.3,9.7
469,11.4,8.1
470,8.7,7.7
471,11.4,12.0
472,10.6,12.2
473,5.1,7.3
474,7.1,5.7
475,11.9,10.3
476,6.0,8.7
477,17.2,12.1
478,9.2,10.8
479,6.0,7.4
480,8.1,8.9
481,9.2,8.2
482,16.8,14.8
483,8.0,7.2
484,10.0,11.6
485,8.1,10.8
486,5.7,6.8
487,15.2,11.4
488,9.4,8.1
489,6.6,6.4
490,5.7,5.9
491,7.4,8.7
492,10.0,9.5
493,9.0,9.8
494,4.4,3.5
495,5.8,5.3
496,5.2,7.2
497,8.6,9.3
498,7.0,6.4
499,6.2,7.6
500,9.0,8.0
501,7.2,8.3
502,6.7,7.2
503,6.5,6.0
504,12.1,9.8
505,5.7,6.5
506,8.9,10.3
507,11.6,10.5
508,8.7,9.4
509,14.2,9.9
510,5.5,9.0
511,7.3,8.5
512,8.3,10.4
513,11.7,8.2
514,11.8,13.6
515,10.6,12.4
516,8.2,9.2
517,9.5,11.4
518,4.0,7.7
519,14.1,15.6
520,4.1,5.8
521,10.4,13.0
522,9.3,8.8
523,3.9,6.7
524,10.3,8.5
525,6.8,7.6
526,5.6,5.9
527,8.9,9.6
528,6.5,10.7
529,6.3,7.8
530,5.5,9.0
531,11.2,9.3
532,7.0,7.1
533,6.9,6.9
534,4.6,7.2
535,8.2,13.3
536,9.3,10.7
537,9.5,9.2
538,4.0,6.2
539,9.1,9.4
540,4.3,6.3
541,8.0,8.0
542,7.6,6.9
543,7.5,8.5
544,8.8,7.6
545,9.7,8.5
546,6.8,8.1
547,4.5,5.5
548,0.0,2.9
549,4.4,5.1
550,4.9,6.3
551,4.3,5.0
552,8.7,8.0
553,6.3,6.1
554,3.7,3.5
555,9.6,7.8
556,5.2,5.7
557,3.7,3.8
558,6.0,7.8
559,4.4,5.1
560,3.8,4.4
561,3.8,4.6
562,6.7,5.3
563,4.4,5.6
564,7.3,7.4
565,2.7,1.4
566,4.3,4.5
567,5.0,4.5
568,6.2,5.8
569,4.7,3.8
570,7.3,6.3
571,2.4,4.2
572,5.9,4.8
573,6.0,10.6
574,5.5,3.6
575,5.4,5.0
576,4.6,4.5
577,4.6,5.4
578,6.1,6.1
579,7.2,6.5
580,4.4,5.2
581,5.9,5.6
582,3.1,4.9
583,9.2,8.8
584,3.9,4.5
585,4.2,5.1
586,5.4,5.0
587,6.2,9.2
588,6.1,7.5
589,10.2,6.4
590,8.9,8.6
591,6.2,5.9
592,4.3,4.8
593,4.3,4.0
594,9.3,7.1
595,5.5,5.3
596,8.2,12.4
597,5.1,5.7
598,8.1,7.1
599,4.7,4.6
600,5.7,5.8
601,3.7,5.0
602,5.8,5.9
603,6.9,6.3
604,5.2,6.0
605,4.6,4.7
606,6.5,6.4
607,5.0,5.2
608,3.9,4.0
609,7.3,7.7
610,8.7,8.9
611,6.2,5.0
612,5.0,5.7
613,8.6,8.3
614,6.6,6.3
615,5.4,4.8
616,5.2,5.2
617,7.4,6.9
618,6.1,5.9
619,4.4,4.2
620,7.4,8.0
621,6.6,6.6
622,8.9,8.1
623,7.7,6.4
624,7.8,6.3
625,6.7,7.5
626,5.8,5.9
627,4.0,4.3
628,6.6,5.1
629,22.2,12.6
630,6.0,5.3
631,5.1,4.7
632,6.5,6.1
633,8.4,9.1
634,4.4,4.6
635,8.5,7.4
636,6.3,6.0
637,4.3,4.2
638,7.5,7.7
639,6.2,6.0
640,7.5,7.7
641,5.0,4.8
642,6.3,6.2
643,6.3,6.0
644,8.3,7.3
645,5.4,5.2
646,5.9,5.7
647,5.5,5.1
648,5.6,5.8
649,8.6,7.8
650,5.4,6.1
651,3.9,4.8
652,9.2,8.2
653,8.2,7.2
654,7.4,6.9
655,8.7,7.5
656,6.2,5.1
657,8.0,7.3
658,7.9,7.3
659,4.6,4.8
660,6.5,4.9
661,4.4,3.9
662,5.8,5.0
663,6.1,6.5
664,3.0,4.0
665,6.5,5.9
666,8.3,7.1
667,6.7,6.4
668,4.5,4.5
669,6.7,4.9
670,9.1,7.6
671,10.4,11.8
672,5.2,6.6
673,4.4,5.4
674,6.3,4.6
675,7.1,6.3
676,7.8,7.7
677,11.3,10.0
678,6.9,6.4
679,6.9,5.5
680,8.8,7.1
681,4.4,4.8
682,4.8,5.8
683,8.0,7.6
684,5.1,4.2
685,5.3,5.9
686,8.3,8.4
687,7.6,6.2
688,6.6,6.6
689,4.4,4.3
690,4.8,4.7
691,8.2,6.6
692,6.0,5.9
693,6.0,6.1
694,6.9,5.9
695,10.0,8.6
696,4.7,4.3
697,5.2,5.4
698,6.3,6.3
699,5.0,4.1
700,4.2,4.7
701,6.8,6.9
702,3.3,2.6
703,5.9,5.1
704,5.2,5.9
705,6.4,6.3
