,Actual Uemployment rate,Predicted Unemployement Rate
1349,6.9,6.1
1350,3.1,2.4
1351,3.8,3.2
1352,3.8,3.2
1353,3.9,3.8
1354,3.0,2.3
1355,3.6,3.9
1356,3.0,3.2
1357,9.2,9.9
1358,3.2,3.2
1359,3.1,2.7
1360,2.9,3.2
1361,6.6,6.0
1362,4.6,4.4
1363,5.0,4.8
1364,3.6,3.0
1365,3.8,3.0
1366,6.5,5.1
1367,3.3,3.9
1368,4.3,2.9
1369,3.6,3.2
1370,3.2,2.5
1371,5.9,6.1
1372,4.2,3.3
1373,3.6,3.7
1374,3.0,2.7
1375,5.5,5.6
1376,2.9,2.9
1377,3.0,3.2
1378,2.7,3.5
1379,3.6,4.0
1380,1.9,2.8
1381,2.6,1.8
1382,5.1,5.5
1383,3.5,3.2
1384,3.6,3.9
1385,4.5,3.7
1386,4.5,4.0
1387,4.5,3.5
1388,2.6,2.8
1389,3.3,3.0
1390,3.8,3.9
1391,3.2,2.6
1392,3.2,2.5
1393,5.8,4.3
1394,3.2,3.3
1395,3.5,3.2
1396,2.4,2.4
1397,1.4,1.9
1398,5.1,4.6
1399,3.6,3.7
1400,2.7,2.9
1401,10.9,10.8
1402,8.6,7.6
1403,10.8,10.8
1404,10.3,10.6
1405,13.7,12.7
1406,12.6,13.5
1407,8.4,9.0
1408,7.0,9.0
1409,7.6,10.2
1410,10.4,11.4
1411,17.7,16.0
1412,9.1,9.7
1413,11.3,12.9
1414,19.0,16.6
1415,12.3,12.0
1416,8.8,11.2
1417,6.1,6.2
1418,11.9,11.1
1419,7.4,7.8
1420,8.2,7.5
1421,11.7,9.7
1422,10.4,8.6
1423,8.7,8.3
1424,9.4,8.5
1425,10.0,9.6
1426,19.6,17.1
1427,21.1,20.6
1428,12.6,11.6
1429,6.1,7.5
1430,8.3,7.5
1431,5.7,8.1
1432,9.6,15.3
1433,10.7,12.3
1434,7.8,7.1
1435,6.8,10.4
1436,5.7,7.8
1437,9.2,7.3
1438,7.2,8.5
1439,9.3,9.2
1440,9.2,10.0
1441,6.3,6.8
1442,12.0,14.4
1443,7.5,7.6
1444,11.4,10.2
1445,5.1,5.0
1446,8.3,9.6
1447,6.2,7.7
1448,7.4,8.8
1449,9.1,8.4
1450,8.5,9.5
1451,7.7,9.4
1452,14.8,15.6
1453,9.5,11.1
1454,7.6,8.8
1455,10.0,9.8
1456,10.2,10.2
1457,7.7,9.8
1458,6.3,6.1
1459,7.0,8.8
1460,24.3,19.6
1461,4.5,4.7
1462,10.9,11.2
1463,14.9,16.6
1464,9.9,10.2
1465,4.7,5.5
1466,5.6,8.4
1467,17.6,16.0
1468,13.7,14.6
1469,7.7,8.8
1470,8.9,9.6
1471,10.8,8.2
1472,10.2,11.4
1473,8.3,8.5
1474,6.7,10.3
1475,7.9,7.7
1476,16.8,17.0
1477,10.4,8.8
1478,9.4,9.5
1479,12.5,11.0
1480,9.9,10.7
1481,5.3,6.3
1482,15.9,16.2
1483,5.5,7.1
1484,4.2,3.7
1485,4.1,3.4
1486,7.4,6.9
1487,8.0,8.6
1488,5.4,5.8
1489,5.2,5.5
1490,9.7,7.9
1491,5.1,4.6
1492,4.4,4.8
1493,5.7,6.1
1494,9.2,7.6
1495,3.8,4.8
1496,4.3,4.4
1497,8.0,7.2
1498,5.3,5.5
1499,8.2,7.0
1500,6.9,7.0
1501,4.9,5.2
1502,11.2,8.5
1503,3.7,3.5
1504,5.3,5.0
1505,4.6,3.9
1506,4.4,4.7
1507,3.8,4.9
1508,4.4,4.2
1509,5.0,4.8
1510,11.6,9.5
1511,9.3,6.8
1512,7.8,9.7
1513,3.5,4.8
1514,3.4,5.4
1515,7.3,7.5
1516,7.0,7.7
1517,6.9,7.5
1518,4.9,5.5
1519,3.4,4.8
1520,4.1,5.3
1521,5.0,5.9
1522,3.6,4.4
1523,3.3,5.2
1524,6.7,6.4
1525,9.6,10.0
1526,4.2,4.1
1527,4.6,5.3
1528,5.0,7.0
1529,8.6,9.2
1530,5.7,6.5
1531,5.5,5.3
1532,6.5,6.3
1533,6.9,6.4
1534,5.8,6.1
1535,7.7,6.8
1536,5.5,5.5
1537,6.2,5.7
1538,2.9,4.8
1539,6.3,7.3
1540,3.2,4.2
1541,3.4,4.8
1542,6.2,7.4
1543,7.4,6.7
1544,5.8,8.0
1545,7.7,7.8
1546,6.5,5.9
1547,3.5,4.1
1548,7.1,6.8
1549,10.0,10.5
1550,5.7,5.3
1551,4.5,4.9
1552,5.8,7.1
1553,7.3,9.6
1554,9.4,7.6
1555,5.4,5.0
1556,4.7,6.3
1557,5.0,6.5
1558,3.3,2.6
1559,8.4,10.2
1560,10.7,9.4
1561,4.1,3.2
1562,5.8,5.3
1563,6.3,6.0
1564,4.8,5.4
1565,4.0,4.1
1566,5.8,7.0
1567,8.8,8.4
1568,5.9,3.0
1569,4.5,4.9
1570,6.1,7.0
1571,5.4,6.6
1572,7.6,8.0
1573,7.2,8.4
1574,3.6,3.7
1575,8.0,7.8
1576,4.6,4.8
1577,6.5,6.6
1578,5.9,5.7
1579,4.6,4.8
1580,6.0,6.2
1581,4.6,3.5
1582,6.0,6.1
1583,8.1,8.1
1584,4.8,4.7
1585,7.1,7.0
1586,7.7,8.0
1587,3.4,4.6
1588,6.3,7.4
1589,7.1,7.5
1590,4.1,4.3
1591,6.1,6.9
1592,9.9,9.5
1593,8.1,8.0
1594,4.8,5.8
1595,4.1,4.1
1596,8.4,8.0
1597,9.4,10.5
1598,4.6,5.0
1599,15.9,17.3
1600,16.8,13.0
1601,4.1,3.2
1602,4.0,3.2
1603,2.9,1.5
1604,4.6,4.3
1605,3.5,4.9
1606,1.7,3.0
1607,1.7,1.2
1608,1.1,2.0
1609,2.3,4.0
1610,1.7,1.9
1611,2.6,2.9
1612,4.0,5.4
1613,4.3,4.7
1614,0.0,-0.6
1615,7.6,14.4
1616,4.4,3.6
1617,6.9,5.0
1618,6.4,5.1
1619,5.7,4.6
1620,2.9,3.0
1621,8.0,8.9
1622,3.2,3.7
1623,1.9,3.3
1624,9.9,9.1
1625,1.2,0.5
1626,3.4,3.6
1627,3.5,3.0
1628,7.4,9.1
1629,6.0,6.3
1630,5.6,4.6
1631,2.8,4.5
1632,5.2,3.5
1633,8.9,5.7
1634,5.8,5.5
1635,2.4,2.8
1636,1.5,2.4
1637,2.5,4.7
1638,6.8,6.2
1639,2.6,1.9
1640,10.2,9.5
1641,8.6,9.2
1642,7.6,7.2
1643,2.7,2.5
1644,5.9,5.7
1645,3.6,2.6
1646,0.9,1.3
1647,1.7,3.7
1648,1.0,3.4
1649,0.0,1.7
1650,4.4,2.4
1651,3.4,3.2
1652,1.6,2.1
1653,3.5,3.5
1654,4.2,3.9
1655,1.9,1.3
1656,0.6,2.4
1657,3.2,3.2
1658,1.1,0.2
1659,1.7,0.5
1660,5.1,2.7
1661,1.6,0.6
1662,0.6,1.3
1663,3.1,3.1
1664,3.5,2.9
1665,4.4,2.7
1666,2.8,2.9
1667,1.6,1.6
1668,2.3,0.3
1669,2.6,1.7
1670,2.5,1.5
1671,3.0,2.3
1672,3.5,3.9
1673,2.6,2.0
1674,2.5,1.8
1675,7.3,5.7
1676,1.0,2.8
1677,4.2,3.7
1678,4.1,3.5
1679,3.3,3.2
1680,4.4,4.1
1681,4.4,4.6
1682,3.6,2.4
1683,2.5,2.4
1684,2.6,2.7
1685,3.2,2.1
1686,2.5,2.4
1687,3.2,2.9
1688,1.4,2.3
1689,1.9,1.9
1690,4.6,3.1
1691,4.5,3.4
1692,1.7,1.5
1693,5.4,4.5
1694,2.0,1.6
1695,2.0,1.7
1696,1.6,1.4
1697,3.1,2.9
1698,1.1,0.6
1699,1.0,2.5
1700,4.0,3.0
1701,2.1,2.9
1702,2.2,2.8
1703,3.4,2.6
1704,2.8,2.5
1705,1.2,0.2
1706,6.0,3.7
1707,3.1,3.0
1708,3.9,4.1
1709,2.7,3.2
1710,1.1,1.1
1711,0.7,-0.0
1712,0.0,2.0
1713,3.2,2.9
1714,3.3,3.6
1715,3.7,2.9
1716,2.0,2.6
1717,5.7,5.5
1718,1.7,2.1
1719,3.0,3.5
1720,2.7,4.1
1721,1.1,0.6
1722,0.7,1.0
1723,3.8,2.8
1724,3.9,2.8
1725,4.6,1.4
1726,4.9,3.0
1727,4.0,3.1
1728,1.4,1.2
1729,2.8,2.7
1730,3.3,2.9
1731,2.2,2.7
1732,5.2,4.3
1733,2.5,2.5
1734,1.5,2.4
1735,1.7,2.4
1736,0.0,1.2
1737,3.1,1.9
1738,1.2,1.3
1739,1.9,0.3
1740,15.4,13.6
1741,1.5,1.5
1742,1.7,1.5
1743,2.0,2.6
1744,2.1,3.4
1745,0.4,1.0
1746,2.4,1.5
1747,7.8,8.8
1748,8.3,8.8
1749,6.2,6.4
1750,4.4,5.6
1751,3.9,7.3
1752,0.0,4.0
1753,7.3,6.6
1754,7.6,8.9
1755,9.3,8.2
1756,9.8,10.2
1757,20.6,12.1
1758,11.4,10.2
1759,4.2,7.1
1760,4.2,7.7
1761,6.8,7.3
1762,6.2,7.8
1763,7.7,8.5
1764,4.9,4.0
1765,4.7,4.4
1766,4.5,4.3
1767,6.1,5.2
1768,4.0,3.8
1769,4.8,4.3
1770,4.0,3.8
1771,4.3,3.8
1772,4.4,4.8
1773,3.7,4.2
1774,10.9,9.5
1775,5.2,5.1
1776,6.9,6.3
1777,7.9,8.0
1778,8.4,7.3
1779,9.0,9.0
1780,10.4,10.7
1781,7.4,6.7
1782,7.1,8.4
1783,4.4,4.2
1784,7.5,7.2
1785,6.4,5.7
1786,6.0,6.1
1787,5.2,4.5
1788,6.7,6.9
1789,6.0,7.4
1790,8.0,8.0
1791,4.9,4.3
1792,6.4,6.1
1793,7.4,7.8
1794,7.4,6.8
1795,6.7,7.3
1796,0.0,4.7
1797,6.3,7.0
1798,16.0,14.2
1799,10.0,8.2
1800,7.8,7.7
1801,6.6,4.7
1802,9.3,10.0
1803,5.1,5.1
1804,8.1,8.1
1805,1.5,2.8
1806,6.5,5.2
1807,9.0,10.1
1808,6.2,5.5
1809,5.2,6.3
1810,3.7,2.1
1811,11.4,11.5
1812,16.1,16.7
1813,8.2,6.6
1814,9.3,10.3
1815,4.0,5.1
1816,8.9,10.6
1817,10.7,8.6
1818,8.0,8.1
1819,9.6,9.8
1820,5.3,7.3
1821,5.5,6.4
1822,11.4,6.3
1823,4.2,7.6
1824,9.7,8.9
1825,7.8,9.7
1826,2.5,2.9
1827,9.1,10.3
1828,5.3,5.2
1829,7.3,7.0
1830,11.6,13.6
1831,7.2,6.4
1832,7.0,6.8
1833,5.9,5.6
1834,7.7,6.3
1835,5.3,4.9
1836,6.7,5.6
1837,5.8,5.7
1838,5.0,5.3
1839,4.9,5.1
1840,7.1,7.3
1841,6.7,6.7
1842,5.5,5.9
1843,6.7,5.6
1844,8.2,7.5
1845,7.6,7.3
1846,5.1,5.3
1847,6.2,6.8
1848,11.2,7.0
1849,8.2,6.7
1850,8.0,7.8
1851,8.1,9.9
1852,7.6,6.2
1853,4.8,4.8
1854,4.4,4.2
1855,6.6,6.2
1856,7.3,7.4
1857,4.9,5.3
1858,6.2,7.1
1859,6.2,6.1
1860,6.0,6.0
1861,6.4,5.9
1862,4.7,4.8
1863,5.6,6.3
1864,6.5,7.0
1865,8.6,7.7
1866,6.7,5.9
1867,5.3,5.3
1868,6.9,8.2
1869,5.8,6.0
1870,5.5,6.7
1871,6.3,6.7
1872,8.8,7.8
1873,4.6,4.2
1874,7.3,6.1
1875,7.5,7.8
1876,7.2,5.3
1877,4.9,4.6
1878,7.0,6.2
1879,5.4,5.2
1880,9.3,9.0
1881,6.5,5.3
1882,4.8,5.3
1883,7.1,7.2
1884,4.8,5.0
1885,6.6,7.1
1886,6.4,5.8
1887,6.5,6.3
1888,6.5,5.7
1889,6.0,5.3
1890,6.0,6.9
1891,6.7,6.8
1892,5.7,8.5
1893,13.4,13.3
1894,6.3,7.3
1895,5.5,5.8
1896,9.0,9.1
1897,12.7,10.9
1898,7.9,10.3
1899,7.8,8.6
1900,4.7,5.5
1901,9.3,8.8
1902,6.8,7.2
1903,7.9,9.0
1904,8.9,7.0
1905,8.0,7.6
1906,8.4,9.4
1907,7.4,6.4
1908,5.6,7.0
1909,7.7,7.0
1910,11.9,10.5
1911,7.1,8.9
1912,10.3,9.8
1913,7.0,8.5
1914,8.1,8.7
1915,10.0,10.1
1916,4.8,5.9
1917,5.2,5.0
1918,8.2,8.4
1919,6.5,6.0
1920,9.3,9.8
1921,5.8,6.2
1922,10.2,12.4
1923,6.9,7.8
1924,7.3,8.3
1925,8.3,8.7
1926,8.8,9.4
1927,8.3,9.3
1928,6.6,7.1
1929,9.4,10.2
1930,6.6,7.4
1931,9.6,12.0
1932,9.3,9.2
1933,5.1,6.1
1934,3.5,4.9
1935,10.0,11.4
1936,12.4,11.2
1937,11.0,10.1
1938,7.2,7.3
1939,4.8,6.5
1940,6.5,7.3
1941,11.5,10.1
1942,7.4,8.3
1943,11.6,10.6
1944,7.9,8.0
1945,7.4,8.5
1946,4.9,6.3
1947,6.9,6.3
1948,9.6,11.3
1949,6.8,7.3
1950,4.7,6.7
1951,5.9,8.5
1952,6.3,6.4
1953,7.9,9.3
1954,7.0,7.3
1955,10.2,12.8
1956,10.6,8.9
1957,5.2,5.2
1958,8.1,7.9
1959,7.0,8.7
1960,8.3,8.0
1961,8.4,10.0
1962,10.9,9.6
1963,10.1,10.1
1964,6.3,6.7
1965,6.1,7.2
1966,10.0,11.3
1967,9.6,12.5
1968,7.2,8.6
1969,9.2,8.8
1970,8.7,9.3
1971,9.5,9.2
1972,12.7,13.3
1973,8.0,9.1
1974,7.0,7.1
1975,5.1,6.0
1976,7.4,8.3
1977,6.8,6.1
1978,8.5,12.2
1979,6.1,6.0
1980,11.0,10.3
1981,4.9,5.1
1982,8.1,9.9
1983,10.4,12.5
1984,8.1,8.6
1985,9.7,10.0
1986,7.5,9.1
1987,8.1,8.6
1988,5.9,6.8
1989,8.3,8.6
1990,1.6,0.6
1991,3.1,1.7
1992,6.5,8.9
1993,3.9,1.2
1994,3.3,1.8
1995,1.6,0.9
1996,2.6,1.6
1997,1.8,1.8
1998,2.7,2.5
1999,1.3,0.3
2000,2.6,0.8
2001,2.4,0.7
2002,3.5,3.2
2003,1.6,1.9
2004,1.8,2.4
2005,1.1,0.6
2006,0.9,0.8
2007,3.8,3.4
2008,2.4,2.0
2009,3.0,1.4
2010,2.2,1.3
2011,1.3,0.7
2012,0.8,1.2
2013,1.7,0.9
2014,2.2,2.2
2015,1.7,0.7
2016,3.9,2.7
2017,1.6,1.4
2018,1.3,2.0
2019,2.4,2.3
2020,4.7,4.5
2021,0.5,0.4
2022,2.3,1.9
2023,3.1,2.1
2024,1.6,1.6
2025,1.3,1.8
2026,2.4,0.9
2027,0.9,1.0
2028,2.4,2.1
2029,7.4,9.2
2030,1.0,0.0
2031,3.6,2.0
2032,19.1,19.1
2033,1.3,-0.1
2034,3.2,1.9
2035,1.8,1.7
2036,1.5,1.9
2037,3.7,2.5
2038,2.9,1.7
2039,2.6,2.2
2040,2.7,2.2
2041,2.0,0.7
2042,2.0,1.5
2043,7.5,10.5
2044,7.2,7.0
2045,4.2,6.0
2046,7.4,7.4
2047,8.7,9.5
2048,3.4,3.6
2049,6.8,6.6
2050,6.5,8.1
2051,5.4,5.7
2052,4.7,5.9
2053,7.3,6.6
2054,7.7,7.7
2055,4.4,4.5
2056,6.6,7.1
2057,7.5,7.0
2058,6.7,6.0
2059,6.4,6.2
2060,8.9,8.6
2061,5.1,5.5
2062,5.0,6.0
2063,2.6,2.4
2064,6.5,6.0
2065,5.1,5.4
2066,6.3,6.9
2067,5.7,6.1
2068,5.9,5.0
2069,5.8,6.7
2070,3.5,3.2
2071,5.7,5.7
2072,8.5,9.0
2073,7.0,7.3
2074,4.5,5.0
2075,6.8,7.2
2076,4.9,5.1
2077,4.5,4.6
2078,7.3,9.0
2079,7.4,7.4
2080,2.8,3.4
2081,5.8,5.6
2082,10.8,8.9
2083,7.9,7.2
2084,5.8,5.3
2085,4.8,4.5
2086,6.5,6.7
2087,5.9,5.7
2088,5.8,5.6
2089,7.0,6.8
2090,8.5,8.8
2091,5.4,4.6
2092,8.2,7.6
2093,7.9,7.3
2094,3.6,3.7
2095,10.4,9.6
2096,3.9,3.6
2097,5.5,5.4
2098,5.9,6.7
2099,8.0,7.6
2100,5.5,7.8
2101,4.3,5.3
2102,6.9,6.9
2103,4.8,5.9
2104,4.9,4.3
2105,5.0,4.8
2106,7.6,7.8
2107,5.2,5.6
2108,9.9,9.9
2109,7.2,6.8
2110,5.8,5.6
2111,2.9,2.5
2112,7.5,6.9
2113,7.6,8.8
2114,5.4,5.7
2115,7.9,8.2
2116,5.9,6.2
2117,5.3,4.6
2118,6.7,6.6
2119,6.4,6.6
2120,5.9,6.2
2121,4.9,5.4
2122,2.8,3.2
2123,5.3,5.4
2124,10.6,9.4
2125,4.5,4.0
2126,4.2,5.6
2127,4.0,4.0
2128,5.0,5.2
2129,5.5,5.5
2130,4.2,4.8
2131,5.5,10.0
2132,4.5,4.5
2133,6.6,8.0
2134,3.9,2.5
2135,4.6,3.1
2136,3.6,3.4
2137,6.4,7.3
2138,7.6,8.9
2139,4.3,3.8
2140,6.4,5.8
2141,7.9,9.0
2142,8.6,9.4
2143,2.3,2.3
2144,4.8,4.6
2145,7.9,8.4
2146,8.8,7.1
2147,8.7,7.5
2148,5.5,6.9
2149,4.2,5.6
2150,3.6,4.0
2151,8.3,8.8
2152,2.3,3.5
2153,5.6,4.4
2154,5.3,4.7
2155,3.5,4.7
2156,3.8,4.2
2157,3.5,2.9
2158,6.6,4.7
2159,6.2,6.6
2160,3.2,2.4
2161,8.9,8.0
2162,8.6,7.2
2163,5.2,6.3
2164,7.2,6.3
2165,6.6,6.8
2166,6.9,6.8
2167,5.2,2.9
2168,6.1,5.7
2169,7.4,7.7
2170,6.9,8.5
2171,5.9,6.3
2172,4.8,5.3
2173,3.9,4.1
2174,3.8,3.8
2175,5.7,8.2
2176,8.5,9.4
2177,4.6,4.5
2178,5.3,6.7
2179,5.3,7.4
2180,3.9,4.3
2181,6.9,8.2
2182,4.9,4.8
2183,9.5,8.2
2184,8.2,9.6
2185,5.2,5.7
2186,10.0,9.4
2187,6.1,6.8
2188,7.2,8.8
2189,5.2,6.0
2190,4.5,6.4
2191,6.3,6.3
2192,5.1,6.4
2193,6.7,6.6
2194,7.9,9.4
2195,3.4,2.6
2196,5.0,5.1
2197,8.0,8.4
2198,8.7,9.7
2199,6.8,5.7
2200,3.1,3.4
2201,5.5,6.2
2202,5.9,5.8
2203,6.4,5.5
2204,4.7,5.1
2205,4.6,3.5
2206,4.6,2.8
2207,5.6,4.1
2208,7.3,7.3
2209,6.7,7.0
2210,5.6,6.2
2211,6.5,6.1
2212,7.5,7.6
2213,9.2,8.9
2214,8.3,9.9
2215,9.9,8.2
2216,5.5,6.7
2217,8.9,9.0
2218,7.5,6.4
2219,7.6,6.5
2220,13.1,11.2
2221,5.1,4.0
2222,7.5,8.2
2223,11.9,11.4
2224,9.0,9.3
2225,9.1,9.4
2226,6.9,8.0
2227,7.6,8.0
2228,6.5,7.0
2229,8.8,8.0
2230,8.6,9.1
2231,6.8,8.4
2232,4.8,6.5
2233,6.8,7.3
2234,8.3,8.3
2235,4.9,5.9
2236,5.5,6.2
2237,8.3,7.5
2238,6.5,6.1
2239,4.9,6.9
2240,6.5,6.9
2241,5.6,5.8
2242,8.3,6.8
2243,6.6,7.4
2244,4.9,4.4
2245,5.9,5.8
2246,6.9,6.5
2247,5.6,5.4
2248,5.9,5.8
2249,7.3,6.8
2250,5.2,5.3
2251,5.6,4.4
2252,5.4,5.0
2253,4.5,4.5
2254,7.5,6.7
2255,4.1,3.7
2256,7.6,6.7
2257,4.6,4.7
2258,4.8,4.3
2259,6.6,6.4
2260,8.2,6.2
2261,5.9,5.4
2262,5.1,4.9
2263,6.0,5.6
2264,4.2,4.1
2265,5.7,5.8
2266,6.8,6.5
2267,4.8,3.6
2268,6.5,6.5
2269,7.5,7.1
2270,5.4,5.1
2271,5.7,5.2
2272,6.5,5.8
2273,5.7,5.4
2274,6.7,6.5
2275,7.8,6.3
2276,4.7,5.1
2277,4.4,4.8
2278,5.4,5.6
2279,4.7,4.7
2280,6.5,5.7
2281,5.8,5.2
2282,7.0,6.6
2283,7.0,6.2
2284,6.2,6.0
2285,7.5,6.9
2286,5.8,5.4
2287,4.2,5.1
2288,9.2,9.1
2289,5.2,4.6
2290,4.4,4.7
2291,5.7,5.6
2292,5.1,5.7
2293,4.3,4.9
2294,11.3,12.0
2295,7.8,8.8
2296,6.7,5.4
2297,6.9,6.5
2298,3.6,4.0
2299,6.1,5.3
2300,8.8,6.6
2301,6.7,5.9
2302,6.4,5.6
2303,3.4,4.6
2304,7.6,6.1
2305,5.7,5.0
2306,5.8,5.0
2307,6.5,6.0
2308,4.9,4.5
2309,6.5,5.6
2310,5.4,5.6
2311,4.2,4.8
2312,6.1,5.9
2313,5.4,5.1
2314,7.6,7.7
2315,6.0,4.9
2316,9.4,9.1
2317,9.0,8.0
2318,17.3,17.5
2319,6.7,7.3
2320,6.5,9.7
2321,10.1,12.2
2322,6.3,6.0
2323,6.4,7.9
2324,6.5,7.7
2325,5.3,6.6
2326,7.8,8.9
2327,9.8,11.1
2328,9.0,9.0
2329,12.0,12.8
2330,9.5,10.6
2331,13.1,12.3
2332,9.1,11.8
2333,6.2,6.7
2334,7.3,7.5
2335,9.3,11.1
2336,9.5,9.8
2337,9.6,9.2
2338,5.5,6.2
2339,9.7,10.5
2340,9.7,9.7
2341,7.1,7.5
2342,10.7,10.5
2343,7.0,8.5
2344,7.7,8.1
2345,7.9,8.9
2346,9.0,12.6
2347,6.0,6.2
2348,15.3,11.3
2349,10.7,12.0
2350,14.6,12.8
2351,8.1,8.6
2352,6.6,8.3
2353,9.7,11.0
2354,6.8,7.5
2355,7.7,8.1
2356,6.7,8.0
2357,6.2,7.2
2358,11.4,10.2
2359,7.4,9.8
2360,9.8,10.9
2361,6.6,7.1
2362,1.4,1.1
2363,2.1,3.3
2364,13.5,14.8
2365,1.2,1.0
2366,3.3,2.8
2367,1.8,2.1
2368,2.0,2.8
2369,17.0,17.3
2370,2.8,2.6
2371,1.0,0.5
2372,5.2,5.9
2373,4.0,2.4
2374,6.4,6.0
2375,2.5,2.5
2376,28.7,24.2
2377,4.0,4.4
2378,3.9,2.6
2379,1.5,3.7
2380,1.8,2.0
2381,25.9,20.5
2382,0.9,0.4
2383,1.6,0.9
2384,2.6,3.6
2385,0.3,0.6
2386,3.3,2.7
2387,0.8,2.5
2388,2.2,2.4
2389,1.7,1.5
2390,1.5,0.9
2391,0.4,0.7
2392,1.5,1.3
2393,2.1,2.9
2394,5.3,2.3
2395,3.0,2.2
2396,12.0,16.1
2397,0.2,0.7
2398,2.9,2.0
2399,1.8,1.3
2400,3.9,3.4
2401,3.1,3.3
2402,2.1,1.1
2403,6.3,7.8
2404,2.5,2.0
2405,6.7,5.2
2406,1.6,0.8
2407,1.3,2.1
2408,6.6,13.0
2409,2.0,3.0
2410,3.4,3.6
2411,4.9,5.3
2412,22.7,26.0
2413,4.2,4.5
2414,3.8,2.7
2415,0.9,0.4
2416,7.0,7.6
2417,3.0,2.2
2418,1.9,1.0
2419,1.0,1.3
2420,0.5,0.5
2421,15.1,23.7
2422,1.8,3.1
2423,2.2,2.2
2424,2.1,2.0
2425,3.7,4.6
2426,2.8,2.9
2427,27.0,22.9
2428,6.9,6.4
2429,5.6,6.5
2430,9.1,10.7
2431,8.4,8.1
2432,5.9,6.1
2433,7.2,8.3
2434,8.0,8.1
2435,6.6,9.6
2436,6.9,8.9
2437,6.3,7.3
2438,5.5,6.2
2439,10.3,9.9
2440,8.5,6.9
2441,5.3,6.9
2442,9.6,9.4
2443,5.8,6.8
2444,5.9,6.4
2445,7.6,6.9
2446,5.3,6.4
2447,9.7,8.3
2448,5.6,6.3
2449,4.7,6.4
2450,7.3,5.7
2451,7.9,7.2
2452,7.3,8.4
2453,6.9,7.2
2454,6.1,7.7
2455,5.9,7.6
2456,6.4,7.7
2457,7.2,6.8
2458,12.2,9.6
2459,7.6,7.9
2460,5.9,6.4
2461,10.0,9.9
2462,15.8,13.6
2463,9.5,10.3
2464,7.4,7.9
2465,6.8,8.8
2466,9.5,7.6
2467,6.7,7.7
2468,6.2,7.6
2469,6.6,7.0
2470,6.4,7.1
2471,9.3,11.0
2472,6.2,6.9
2473,6.0,8.0
2474,5.5,5.6
2475,11.3,9.2
2476,9.9,10.7
2477,8.8,8.3
2478,4.0,6.8
2479,5.9,6.4
2480,6.6,6.7
2481,8.3,7.4
2482,13.6,11.0
2483,5.8,6.7
2484,6.2,7.4
2485,6.0,6.1
2486,6.5,6.7
2487,6.2,6.4
2488,9.9,10.7
2489,9.3,9.5
2490,7.5,7.7
2491,5.0,4.7
2492,7.6,7.8
2493,8.3,8.9
2494,5.3,6.6
2495,6.2,8.6
2496,3.9,4.9
2497,6.1,8.3
2498,6.8,7.4
2499,7.9,8.7
2500,8.2,7.5
2501,6.9,6.5
2502,5.1,5.8
2503,9.4,10.9
2504,7.8,7.6
2505,6.2,6.4
2506,8.6,8.9
2507,3.7,4.8
2508,8.2,8.5
2509,6.8,6.6
2510,4.5,4.9
2511,8.1,8.5
2512,8.2,8.1
2513,10.8,9.9
2514,7.2,8.2
2515,11.6,8.6
2516,6.8,6.9
2517,5.3,5.4
2518,8.4,9.5
2519,8.3,8.7
2520,9.3,8.1
2521,3.6,3.0
2522,4.5,5.2
2523,4.3,4.6
2524,4.5,3.7
2525,7.6,7.4
2526,6.7,5.8
2527,3.0,2.6
2528,1.8,1.4
2529,6.1,5.7
2530,5.4,5.4
2531,2.2,4.5
2532,5.7,5.0
2533,7.7,7.6
2534,2.3,2.0
2535,6.3,6.6
2536,8.3,7.5
2537,6.1,6.5
2538,5.7,5.0
2539,1.5,0.7
2540,5.2,6.4
2541,7.3,7.0
2542,4.9,4.5
2543,4.7,6.3
2544,7.1,3.8
2545,6.2,4.3
2546,13.8,16.0
2547,4.3,4.0
2548,6.7,6.2
2549,4.3,4.4
2550,3.4,5.4
2551,6.3,5.7
2552,3.5,4.8
2553,8.0,9.3
2554,6.1,7.1
2555,1.9,1.5
2556,7.3,7.6
2557,4.2,4.4
2558,6.5,5.9
2559,6.1,5.9
2560,5.2,5.0
2561,7.2,5.6
2562,8.0,7.4
2563,4.3,3.1
2564,5.1,6.7
2565,4.3,3.7
2566,7.1,4.6
2567,2.9,3.9
2568,3.8,4.2
2569,3.6,4.5
2570,0.4,2.6
2571,5.2,5.7
2572,9.9,7.6
2573,10.7,7.1
2574,2.6,4.6
2575,2.4,3.2
2576,7.7,8.1
2577,5.3,6.8
2578,3.7,4.6
2579,5.9,6.8
2580,6.7,7.4
2581,5.0,4.6
2582,6.4,10.6
2583,4.5,4.5
2584,6.5,5.7
2585,15.0,9.4
2586,15.0,9.3
2587,4.6,4.0
2588,13.6,9.4
2589,5.7,4.3
2590,6.9,4.7
2591,5.1,4.0
2592,4.6,5.3
2593,7.0,7.6
2594,4.3,4.5
2595,6.1,7.2
2596,5.2,5.7
2597,1.5,2.3
2598,5.6,5.8
2599,6.4,6.1
2600,11.3,6.3
2601,5.3,4.2
2602,7.6,5.6
2603,4.2,5.0
2604,7.3,5.1
2605,4.5,3.3
2606,6.5,6.1
2607,2.0,2.5
2608,5.0,5.2
2609,0.0,2.2
2610,6.4,7.4
2611,5.1,5.8
2612,4.9,4.9
2613,6.5,6.3
2614,4.8,5.5
2615,5.5,5.9
2616,4.5,4.8
2617,6.4,6.8
2618,13.0,9.1
