Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,TotalPop
951,929,714,957,1865,17326
1900,2171,2153,2348,4553,39876
730,842,788,922,1772,17000
5947,6796,6064,6091,10367,96571
829,516,360,531,1058,9661
1158,1315,1119,1001,1941,20139
790,874,743,805,1637,15904
447,546,539,559,1162,10326
303,353,282,341,805,6985
436,501,412,441,939,9046
582,598,598,712,1437,12354
494,524,450,509,1143,10664
683,771,713,977,1750,15201
551,498,479,633,1209,10971
1027,911,808,1059,1749,17239
701,757,708,727,1592,14196
1011,1307,1169,1262,2294,19865
357,498,480,564,956,9321
402,479,489,577,1059,9586
339,325,337,375,695,6965
796,854,754,991,1851,16231
1036,1037,899,1011,2111,19409
1597,2040,1995,2344,4298,36789
751,1625,1382,951,2007,17945
11036,22496,12571,10730,16941,144425
883,1088,1055,1258,2504,20468
441,547,504,555,1092,10223
677,838,686,828,1451,15166
1550,2089,1920,1953,3894,34785
11473,15319,14680,15188,27998,220008
588,658,572,646,1402,11238
497,468,399,393,891,8600
573,581,540,700,1426,11745
727,754,717,853,2041,15720
1202,1338,1302,1337,2575,22301
2059,2434,1629,1877,3781,33127
2124,2531,2257,2472,4530,40476
777,757,670,788,1802,14933
536,602,487,515,1045,10663
362,434,516,424,929,8865
379,427,413,426,907,7912
595,505,437,472,1182,10239
2183,2714,2618,2655,5145,42923
690,722,680,749,1528,13944
275,293,273,347,642,6149
783,845,835,891,1845,15393
468,556,463,503,1022,9110
1495,1344,1126,1312,2868,25027
249,388,359,321,657,6972
23511,30243,36363,36704,63031,467235
5018,5718,5626,5704,11110,93287
1458,1772,885,951,1783,18428
203,217,264,253,490,4986
485,464,441,492,978,9936
8680,10520,11359,11753,21528,171493
606,574,496,509,1174,11772
2475,3165,1820,2153,3789,34692
11470,20768,7012,5334,8899,95888
960,915,819,878,1886,17236
286,279,301,345,730,6214
744,727,630,779,1409,12497
294,372,321,383,758,7308
1737,2340,2332,2109,4207,35321
2843,3188,2482,2889,6044,48630
1136,1137,1214,1294,2436,22095
291,330,325,348,619,6405
2351,2832,2168,2157,4044,36945
646,589,537,547,1198,10545
1611,2125,915,1066,1990,20575
6118,7194,6547,6701,12393,102397
398,450,346,400,789,7502
495,744,621,677,1356,12864
757,757,627,673,1477,12752
327,375,360,410,930,7840
1136,1662,937,819,1638,16466
179,227,314,299,423,4905
1371,1637,1712,1634,2972,27067
873,948,793,802,1507,14757
403,505,490,526,1016,9736
3960,3930,3768,4052,8248,66260
151,131,116,120,286,2665
154,149,180,184,321,3425
1050,1049,1027,1197,2359,20501
150,126,110,148,231,2677
73,125,119,84,208,2089
383,401,362,457,966,8203
493,693,507,534,863,9191
440,456,420,466,930,8328
82,115,35,64,227,1741
2278,2602,2036,2121,4032,35732
2614,5511,2380,2358,4153,39099
87,143,152,124,254,2891
933,948,1081,1157,2257,19162
745,552,444,395,810,7790
9889,20993,9690,8191,13150,117806
140,147,147,118,331,2946
131,50,119,95,247,2581
1783,4261,2026,1855,2808,28877
250,473,435,405,697,6331
2464,2671,2670,2499,4212,37097
2076,2628,2585,2349,4089,34658
1584,1487,1377,1526,2884,25599
1660,4678,4330,3168,4306,35796
67,108,147,158,224,2632
94,88,133,124,243,2561
450,448,498,562,880,7716
335,364,301,386,735,6004
59,69,53,67,82,1210
311,265,249,299,642,6227
158,148,159,203,267,2621
267,256,310,321,597,5746
2052,2160,1939,2084,3822,34683
259,266,201,233,533,4081
104,92,102,81,188,1875
699,695,672,706,1478,13322
1008,854,856,1043,2070,18856
116,128,138,121,247,2963
28429,32482,37687,42302,80543,578797
254,195,280,213,427,3931
385,340,363,364,782,7576
195,199,121,122,231,2524
970,1186,1136,1133,2263,20553
141,75,99,55,226,1702
4097,4711,4841,5885,11904,79359
189,111,107,153,312,3121
540,412,419,462,1214,9602
150,157,180,145,286,2790
2186,4517,2102,1928,3434,33302
1630,1935,1481,1779,3158,28792
706,774,532,548,1209,12087
419,437,478,594,989,9859
263,266,193,270,418,4295
1826,1579,1439,1826,4084,32976
423,400,281,329,616,6230
1700,2056,1947,1915,3560,33463
269,187,285,294,534,5605
212,240,99,166,289,2931
568,562,484,577,1007,10095
928,887,917,841,1715,16209
114,121,182,174,214,3001
173,412,339,317,708,5527
745,843,742,781,1794,15894
128,202,194,201,323,3684
407,260,245,304,711,5957
242,417,399,433,824,6776
271,297,246,284,549,5446
1313,1251,1329,1682,2961,23188
570,682,518,537,982,9670
84,128,105,156,221,2520
3433,3929,3854,3902,7071,63360
152,229,185,248,401,4705
597,891,511,557,891,9868
6929,19428,8399,5492,6517,75696
271,242,271,309,525,5148
121,130,145,182,265,3119
382,191,467,369,674,6987
2797,3684,3471,3401,6729,55334
179,414,242,273,689,4981
26864,35644,37133,35845,61512,510484
1629,1647,2028,1531,2719,22948
9063,10993,11147,11378,20753,178392
75,61,161,111,297,2497
324,300,362,291,900,5999
185,135,123,177,335,3693
171,207,224,259,399,4251
108,61,88,88,238,2107
367,235,353,322,702,5741
1289,1266,1317,1265,2516,23336
495,748,555,453,791,7847
125,189,113,120,338,2899
355,328,324,355,781,6918
65,58,111,102,170,1591
282,266,227,293,560,5572
117,76,134,162,182,2157
454,422,414,490,921,8858
123,111,153,191,307,3178
8530,10711,12221,12220,20836,163227
1497,1567,1103,1057,2124,19304
1021,1217,1297,1242,2447,20628
931,1287,1280,1240,3066,22017
339,471,396,418,999,8152
2238,2647,2558,2525,5296,43418
599,709,627,680,1528,12189
1291,1670,1763,1626,3355,27469
6626,7440,7639,8212,18463,127682
989,1146,1170,1109,2368,20017
2146,2546,2760,3094,6254,48486
1926,2737,1614,1560,3477,29773
411,440,491,462,1021,8330
717,877,795,772,1780,13276
1024,1063,1018,1016,2272,19991
3975,4809,4831,4926,10552,78622
540,696,823,793,1616,12735
542,699,659,877,1539,12747
3056,5620,2457,2081,3979,38616
5448,6544,6869,6315,11125,91804
261,219,277,293,585,4890
449,658,720,732,1321,10695
1591,1866,1659,1480,3258,27385
755,926,898,852,1928,15805
3707,9215,6968,5159,7668,72438
1701,1941,2249,1981,4629,35757
824,1286,1529,1539,3002,20866
624,498,587,616,1187,10208
404,468,466,530,1075,9154
382,377,358,275,727,6744
4737,5973,6233,6306,12034,99258
588,846,659,665,1505,12063
354,445,541,498,1069,7533
692,781,823,880,1768,14382
17581,33664,25480,23888,41438,315109
597,832,829,821,1766,14515
1874,2280,2190,2247,4810,37447
2621,3174,3212,3172,6186,49969
352,382,370,424,656,6259
495,458,540,468,1084,8652
758,848,838,1023,2150,17226
1351,1498,1451,1552,3140,24800
1829,2101,2163,2060,4528,37259
1350,1524,1522,1535,3240,26129
517,579,565,631,1328,11044
1574,1948,1840,1940,4505,36012
371,554,437,455,1057,8700
5837,7936,7512,7007,13869,107699
1197,1630,1731,1618,3285,27548
911,1136,967,962,2314,18630
882,1071,1113,962,2106,18531
2257,2572,2885,2888,5721,46252
886,853,785,892,1846,15677
227,279,139,209,457,4625
2172,2506,2876,2720,5528,45985
818,727,636,783,1811,13369
36086,49655,57668,53594,96017,764378
3111,3811,3118,3240,6418,51667
867,1406,1356,1355,2976,23064
7688,9950,12280,11930,21407,163987
848,1142,804,824,1976,15690
1644,2082,1976,1768,3847,31424
693,782,776,856,1705,14102
2877,3676,3725,3749,7934,59901
681,921,907,895,2021,15844
362,216,474,403,780,6717
425,626,709,618,1317,10648
1124,1196,1327,1431,2917,23011
690,760,781,745,1700,13565
1298,1321,1462,1366,3026,24413
400,438,480,429,1080,9288
1344,1561,1564,1583,3254,26847
259,433,422,473,1002,8268
2961,3642,3774,4013,7853,65285
1059,997,1144,1186,2566,17748
367,492,477,511,1099,9361
6859,10978,5458,5266,10960,88376
606,761,739,691,1663,12783
903,1072,1065,1128,2620,19335
1423,1578,1651,1732,3705,31177
458,904,788,1028,1768,12175
848,1072,946,960,2024,17167
1488,1673,1910,1929,3772,28452
298,290,459,319,654,6381
1029,1223,1073,1245,2442,21378
459,537,558,562,1199,9990
433,605,574,588,1248,10645
1454,1687,1724,1626,3778,27550
555,730,1053,953,1874,13281
1992,1900,1757,1817,3857,31153
2218,2760,2808,2759,5699,45131
331,447,371,378,852,7061
1119,1384,1332,1478,2895,24062
3780,3440,2938,3539,9750,64633
510,548,599,546,1282,10686
229,372,173,333,620,4497
682,887,884,811,1787,14530
1307,1541,1718,1673,3497,27329
2950,3859,3494,3578,7948,61586
563,766,759,767,1658,12349
2929,3670,3818,3702,7833,63974
135,113,105,94,226,2161
819,944,975,917,2123,16815
2407,3885,1526,1176,2554,24392
740,954,1000,948,2039,17731
2988,3371,3228,3663,7907,52322
2261,2787,2778,2955,6079,45831
685,1192,1084,1047,2363,17881
965,928,927,1137,2552,18012
1874,2023,1597,1415,2665,25406
608,728,756,798,1424,12377
697,628,627,612,1761,14286
511,468,439,456,1105,8697
996,1508,980,835,1722,14915
9719,14137,8700,7780,15019,123824
665,834,627,369,1652,11999
924,1246,1173,1119,2393,20692
646,782,809,797,1630,13180
2253,2880,2187,1962,4099,36027
319,373,378,334,955,7251
1344,1454,1230,1457,3171,25817
3250,4331,4163,3939,7295,62607
1085,1530,1769,1995,3760,25667
6791,6946,7924,8680,17334,119129
1311,1465,1374,1345,2864,22881
1952,2529,2854,2690,5008,41095
1979,2315,2348,2467,4679,36598
580,864,868,771,1428,13806
6598,8915,9736,9722,16224,125698
12693,16641,18357,17201,29752,251069
9979,13870,15129,13689,23671,198753
474,644,678,594,1166,10000
527,276,370,347,778,6806
438,750,696,800,1180,10044
844,920,1313,1029,2191,16296
923,1433,1389,1266,2423,20211
1245,1654,1553,1741,3213,27164
26863,49442,34312,32222,51502,446167
332,933,782,449,847,7318
1031,1094,1291,1270,2323,19553
2144,2259,2204,2276,3795,33750
677,1434,1281,1214,2266,20388
933,1376,1711,1861,3325,22305
4010,4972,4917,4672,8450,73346
1608,2321,2482,2450,4168,33122
533,965,1143,985,1924,15952
19166,27263,32702,31732,54048,437038
1658,1868,1969,1986,3654,31405
12449,17809,21316,18668,30650,238230
4930,6515,7255,6673,11731,98112
778,978,1046,1048,1854,14930
4043,9371,3281,2837,4438,47536
7512,7986,9524,10167,19036,137096
668,735,985,883,1445,11616
1373,1667,1542,1508,2916,26290
2761,4714,2305,2103,3871,39051
17643,28140,37393,34469,49797,388182
9107,11792,11544,10466,19138,156433
1214,1432,1620,1659,2881,23394
909,1382,1224,1274,2458,22271
7275,8811,8478,8642,15906,132080
388,655,392,480,1059,8723
1152,1253,1438,1265,2470,20619
1127,1350,1396,1454,2616,24145
2015,2935,3870,3717,5949,45067
2887,3380,3306,3409,6813,52728
442,721,727,491,1385,10509
983,1486,1433,1387,2291,21485
2345,2963,3028,2863,5194,43565
4337,5284,5248,5117,9290,83580
2608,3592,3783,3455,6723,53609
2671,3468,3760,3214,6314,52578
12200,13599,13667,15256,31695,249201
7596,9696,9975,8792,15503,128850
274,214,234,190,506,4771
5945,7764,8326,8047,13686,113067
1195,1338,1295,1263,2514,22537
3160,3618,3815,3826,7361,59841
2586,6008,5101,4147,6487,51906
2381,2863,2804,2740,5669,46449
2042,2471,2573,2327,4472,40043
1051,1752,1995,2041,3029,25518
605,596,656,762,1356,11274
1650,973,632,1128,2113,15376
729,962,920,932,1974,14631
5396,6610,6454,6610,13067,107317
3298,3763,3374,3322,7434,68840
14349,18387,19018,18629,35657,289173
1665,2094,1701,1503,3045,30177
2279,2761,2926,2949,5853,54468
5850,7354,6726,6874,14104,121289
1532,1928,1940,2170,4474,39700
1350,1602,1563,1543,3564,34021
2653,2847,2819,2871,6488,57230
9092,11520,10976,9023,17107,152284
802,721,686,738,1747,16960
1399,1835,1857,1999,3980,35149
2251,2483,2691,2639,6054,50994
1799,2045,2051,2055,4618,39280
1469,1664,1463,1594,3346,31822
9511,11133,11295,11686,23466,201454
4594,6254,4547,4400,8240,72591
26691,37560,39554,40326,73829,564600
42998,53772,58844,56003,100666,828637
5123,5451,4765,4858,10895,90824
1679,1980,1940,1950,4018,32785
9718,10153,9077,8885,19215,167319
4871,6302,6378,6121,12613,102416
9034,10237,9835,9845,20938,156021
1299,1883,1990,1847,3366,32386
13581,15017,14632,15666,32028,246105
1544,1757,1582,1531,3350,29516
13037,15301,15090,15614,30601,250132
16537,18100,18252,20379,43527,312495
1341,1521,1040,1023,1608,19666
49233,59526,65237,71909,144056,1039198
49740,66433,69200,65814,122972,905161
2488,2612,2406,2515,5509,49071
6263,7382,7933,7259,14120,110979
1856,3053,1913,1574,3051,25801
1550,1705,1770,1909,3656,37461
6936,9260,9874,9311,18933,149546
7581,10513,6340,5777,11211,102014
2125,2474,2663,2289,5053,51559
29612,47747,62299,53244,74938,619796
8822,10909,9577,9172,19160,213900
7174,8361,6571,6713,13441,127751
28996,37904,35408,34049,69334,557016
912,730,894,941,2011,17275
42148,51580,47225,46454,93446,775860
3004,3842,4114,4280,8202,70926
27657,35525,31171,28866,53828,469188
17129,23923,8798,8260,15942,161197
84845,108647,122673,118624,208571,1582857
459,524,745,951,1520,10912
36610,42157,43335,43878,87655,694389
27620,31138,26614,27017,60442,509114
46909,78412,101545,77117,100200,780685
47189,56514,51786,50300,101204,818249
373,363,312,334,773,10413
339,513,505,493,1001,9254
5937,6585,6402,6741,13665,114145
1300,1548,1427,1475,3059,28730
964,1094,915,1038,2196,23133
688,750,726,752,1531,15238
331,639,644,553,953,8580
2970,3213,3015,3405,6898,59607
4732,6434,6405,6110,12140,105350
776,834,756,862,1765,17462
7739,9566,8813,8777,17675,154948
2125,2319,2490,2631,5119,43543
7100,8845,8112,7915,15977,134327
2795,2837,2512,2528,5778,51397
1184,1295,1233,1281,2569,26160
1140,1279,1118,1131,2549,25475
2127,3590,2394,2289,4809,38023
1298,1639,1622,1477,3177,30597
4174,5223,4376,4446,9378,77321
616,684,581,643,1252,13821
1671,1815,1733,1872,3814,36395
1225,1400,1271,1414,2646,25694
5711,7062,6858,6503,12785,108586
1679,1770,1822,1776,3674,32978
21826,27130,24560,23302,49421,410881
1186,1200,1152,1083,2448,25324
682,992,860,823,1709,15577
4051,5095,5716,6069,10606,91222
2432,3409,2728,2622,5108,41319
2673,3036,2432,2382,5046,45909
3208,5437,1908,1846,3377,36333
1473,1610,1435,1526,3104,31750
23466,40004,21319,18281,31269,286185
3623,4266,3886,4167,8675,64147
957,1185,1061,1110,2246,25317
420,450,414,497,992,11291
7719,14106,5063,3685,6581,70572
8529,10625,9855,9224,18985,158989
15368,32180,17735,16441,29674,259830
789,860,952,907,2023,17358
34831,45784,51184,45815,78395,636376
57,104,60,62,232,2136
454,560,444,527,1113,11669
4703,5233,4348,4406,10254,88205
898,1052,866,928,1889,21564
5426,6679,5483,5598,11886,98585
10384,10848,9284,9844,22112,186946
284,393,328,434,901,6406
466,502,473,486,1055,10836
42313,54755,56865,52205,108356,864019
1076,1423,1293,1076,2410,24432
4094,7759,3966,3964,7082,67145
1247,1628,1482,1461,2968,28800
3851,5584,2588,1937,4076,43181
1064,1184,1054,1119,2449,23389
4394,5267,5023,4849,9866,83489
720,812,778,841,1536,14982
8000,9019,8419,8212,18022,149619
3062,3759,3654,3940,7548,62956
344,337,337,356,780,9290
8757,11050,11039,10889,20689,172707
2385,2759,2695,2555,5215,47899
62601,74370,77644,77656,158333,1241860
1315,1574,1283,1320,2760,26317
893,1029,936,987,2102,20979
221,201,167,192,471,6072
1222,1219,1216,1209,2493,23221
361,386,355,346,694,8304
1201,1456,1264,1179,2519,24247
20353,26402,16050,16708,32725,280243
535,524,405,503,1198,12854
868,945,914,952,1983,23934
11137,13843,12220,10580,21419,193803
8007,9560,8496,8508,18703,159761
3225,3553,3524,3639,7010,60890
2139,2191,2029,2091,4438,41535
419,366,302,294,824,8114
3882,4151,3826,3752,8098,68617
2719,3061,2898,2811,6059,53569
4142,4254,3848,4235,8848,75190
28437,47813,27342,23534,41610,361509
91390,125083,123334,106502,215620,1763822
1483,1826,1902,1946,3576,32915
639,576,533,649,1326,15841
17455,20039,21384,24028,45966,344861
1654,1688,1715,1845,3633,33552
2916,4566,2943,2796,4815,45847
1608,2460,3007,3335,5117,39360
174,268,201,296,434,5039
5220,10921,4621,4231,6907,65767
1488,1655,1367,1436,2501,25243
1565,1952,1950,2270,4477,35408
6056,5152,4545,6425,14050,98799
1115,1304,1201,1388,2739,28810
544,735,626,708,1201,12040
2770,2988,2954,3453,7121,54297
4631,6763,4295,4321,7202,62040
464,410,436,460,1001,8824
182,229,292,261,531,5270
489,603,545,627,1166,11437
2811,3289,3314,3845,6828,63505
21337,23971,25791,29121,54908,414655
1072,1098,1056,1258,2734,20485
1580,2016,2060,2177,3908,36891
598,630,683,732,1421,13966
937,1046,940,1206,2316,20825
1252,1529,1702,1788,3250,30619
2292,2405,2444,2734,5227,46138
216,307,268,340,632,5923
56613,79236,106530,102714,161523,1224763
845,976,844,1037,2008,18709
910,867,855,1015,2091,20743
1792,2076,2342,2572,4702,38584
2150,2216,2062,2441,4887,45237
431,560,536,554,1105,10104
778,862,748,870,1811,15948
1894,2825,2510,2809,4553,42577
187,222,169,182,439,4384
606,655,589,614,1261,12776
325,325,234,322,642,6840
425,434,476,517,1085,10578
90,251,105,161,377,3841
1347,1528,1339,1655,3336,27810
251,248,254,276,597,5724
1485,1914,1656,1712,3059,25789
1654,1951,2054,2335,4358,35816
278,310,273,281,542,5500
437,503,471,535,979,9397
846,1122,1006,1159,1975,20084
1180,1136,1085,1248,2696,23105
1192,1297,1457,1563,2999,25635
1608,1692,1737,1991,3679,32880
1982,2262,2259,2474,4574,39386
353,388,376,393,833,8394
2435,2610,2243,2293,4067,33477
1206,1433,1416,1383,2494,21854
352,316,262,311,751,6589
6869,8731,10543,11847,19274,151685
2685,2953,2520,2979,5662,57790
640,869,979,946,1660,14197
1371,1511,1550,1728,3407,29057
438,451,468,561,906,9229
1657,2071,1897,1936,3284,31564
454,500,550,664,1104,10932
28601,41028,46723,41933,64002,537893
197,170,177,226,483,4017
811,845,708,851,1552,15430
690,750,687,832,1531,14798
4841,6511,3424,3973,7555,65251
538,458,474,510,1065,9433
871,881,750,827,1802,15537
11851,18276,11657,11712,21610,200294
7869,7524,7472,9966,21569,141463
5408,5490,5661,6482,13178,92024
738,742,745,806,1825,14888
11114,16873,9629,9733,17025,155300
1861,2066,1976,2438,4159,36612
1049,1197,536,560,936,9759
432,478,460,606,970,9448
1144,1342,1093,1226,2564,24423
113,210,148,156,319,3357
969,1066,1057,1171,2335,21490
626,720,721,696,1422,13626
960,1050,1255,1286,2382,18898
13505,14091,13604,16092,32620,250979
648,696,542,709,1053,10936
317,300,284,368,699,6398
4445,7115,3096,2889,4947,50992
6966,6641,7147,9060,18837,131130
480,512,516,671,1028,9930
1514,1854,1830,1923,3748,31583
1887,2295,2170,2282,4617,37242
489,420,829,779,1244,12574
1022,1011,1044,1042,2068,18731
397,622,380,471,1005,8306
2051,2518,2383,2207,3784,33121
728,839,796,805,1762,14617
862,416,329,506,1103,10221
903,1297,1099,1058,1995,17305
465,434,408,407,886,8360
865,1198,504,439,919,9106
742,1019,923,898,1846,16089
1039,1315,1283,1181,2309,19990
1553,1801,1558,1472,2610,24296
1696,2053,1666,1692,3340,28748
1071,1224,1225,1087,2253,19172
10080,10700,10654,11553,25382,173267
5041,8338,6250,5083,8702,75835
296,302,428,536,815,7772
1331,1471,1773,1394,2917,23545
500,911,1111,1079,2073,13801
1157,1479,1235,1096,2886,21379
2172,2618,2678,2561,5432,46277
10399,14995,14676,14153,24683,200491
14955,20077,18796,16529,28885,243249
1120,1600,1118,994,2096,18267
457,628,488,568,884,8678
45,53,119,221,136,1296
1607,1657,1444,1281,2849,23439
7161,8787,9390,8926,18419,141314
930,975,870,914,1832,16547
430,404,657,569,708,7463
677,788,593,541,1393,11639
3824,4111,4421,4395,7900,68328
803,573,656,543,1167,10082
5612,8449,4211,3460,5960,52744
2932,4681,4599,4678,8345,60517
3931,5473,5284,5017,9297,78221
750,748,595,700,1528,12659
1657,1372,1469,1358,2663,22936
4151,5278,5678,5654,11069,84840
2069,2441,1925,1933,3381,30113
2083,1906,1971,2120,4395,34542
3066,4509,4218,3872,7152,59558
5563,6339,6670,7028,13930,102212
1224,1627,1548,1586,3092,25466
2079,2326,2373,1967,4259,35981
1598,2163,2184,1814,4451,35967
375,605,622,525,1149,10309
1747,1777,1719,1610,3609,29437
1600,1333,1151,1165,2673,21437
818,542,840,690,1122,10942
5047,11351,3887,3003,4460,49392
1821,2307,2285,2012,4114,34229
3328,3411,3131,2885,6518,55049
635,684,751,655,1511,12047
2368,2702,2264,2275,4544,39763
1701,1866,1883,1910,3990,31075
1665,1610,1590,1421,3203,25389
367,556,451,403,906,7537
7377,8460,10375,11054,21422,149645
1507,1758,1964,1786,3639,28399
188,270,328,190,574,4631
1516,1575,1697,1707,3223,27215
777,990,863,847,1844,16114
1124,1665,1040,965,2372,17981
1521,2192,2305,1937,3405,26915
341,1606,1747,1429,1891,14552
2695,1423,1657,1793,3274,28333
1236,1489,1176,1107,2955,21993
918,1120,1044,1024,2362,19476
473,421,1159,595,1517,10276
1468,1648,1811,1790,3575,28202
872,956,616,512,2105,14670
2435,3015,2878,2968,5842,47510
2537,3461,3020,2900,5386,48002
1058,1300,1390,1280,2343,20458
491,555,569,529,1193,9868
371,715,820,705,969,9084
789,1140,1108,1064,2146,18482
581,798,667,563,1597,12426
1260,1951,2060,2055,4055,27496
2711,5334,1352,1254,2065,25437
972,960,884,981,2092,17358
207,273,277,270,567,5335
1188,1669,1656,1704,3079,25763
2203,1823,1845,1776,3817,35398
736,651,539,670,1361,11942
799,856,912,932,1791,16405
872,690,794,704,1651,18918
669,625,651,662,1405,12347
12832,26553,14624,12206,19817,174589
4362,6293,6774,6295,10812,89425
2169,2438,2655,2537,4899,42826
455,457,429,480,1015,9046
2660,3487,2877,2955,5386,44793
1997,2007,2079,2026,3968,44855
4628,8258,5115,4721,8772,78013
429,509,425,471,1040,8909
309,358,323,307,710,6255
5263,5578,5694,6211,13150,101888
654,630,686,683,1417,13862
318,393,344,388,764,7586
4228,4620,5018,5686,11412,83028
311,320,354,340,752,6807
11627,14011,16384,17320,32806,236068
1106,1067,1090,1184,2439,20495
4023,4789,5019,5374,9928,76749
838,1211,1279,1241,2060,17620
1135,1331,1366,1487,2779,24387
423,391,304,355,817,7581
1035,677,910,832,1736,16441
436,477,408,418,899,8300
478,929,1033,959,1883,12564
758,692,871,804,1644,15566
559,680,642,654,1318,13391
1799,1654,1672,1661,3588,30905
5012,6034,6403,6104,11659,102413
674,780,749,740,1487,14769
295,391,379,373,678,6688
15609,30528,21098,19373,33367,286759
515,662,705,536,916,10111
406,412,520,447,876,8615
977,1044,1184,1186,2506,21834
370,333,316,356,767,9352
151,192,228,219,467,4499
655,862,555,557,973,10144
1910,2500,2421,2278,4452,40139
496,543,492,530,1190,10286
32417,44098,54394,50545,85671,688554
6239,8352,8392,8039,14866,118522
10773,12764,13939,14657,29347,222639
3743,8864,4035,3488,5541,53941
242,208,184,191,383,3976
1684,1956,2097,2118,4173,35488
1772,1806,1944,1741,3661,32655
2042,1952,2060,2196,4498,38131
786,689,566,552,1022,10078
3228,3290,3476,3495,6852,54800
592,661,584,650,1328,12248
674,861,980,1044,1913,15025
1220,1352,1205,1390,2915,22753
743,769,789,825,1605,15319
486,665,937,660,1387,12226
524,432,433,456,1019,8959
1556,1850,1732,1765,3319,28703
240,139,154,197,370,3669
1237,1424,1396,1483,2741,24947
685,623,1065,902,1899,13916
725,869,1003,1049,2136,15904
387,405,403,451,954,8676
489,570,590,628,1279,11618
850,932,1003,981,1917,20097
804,1039,1038,929,2219,18030
3270,3627,3450,3313,6882,58237
2384,4517,1365,1212,2115,22744
522,533,498,485,1056,10779
722,843,767,733,1630,13610
432,394,362,398,902,9328
924,1115,1052,952,1952,17344
886,1105,1088,1123,2284,19135
2266,2636,2828,2724,4821,42309
3115,5458,2864,2646,4542,44873
823,1306,1203,1238,2216,18517
4941,5827,6220,6644,13252,96899
2165,2700,1653,1726,3416,31347
6191,7185,5057,4734,5743,53132
206,264,254,222,477,4846
475,555,457,519,1197,10208
1177,1723,1779,1593,3197,24987
1219,1305,1264,1230,2674,22859
263,275,292,342,761,6361
585,726,830,732,1606,13807
20194,24021,23607,26789,51036,385115
365,494,452,408,890,9396
878,997,889,999,2027,17882
2862,4477,5049,4715,8653,66248
51829,63527,63290,63531,117169,999539
1475,1716,1456,1290,2714,23010
259,239,239,201,476,4450
201,318,288,262,475,4883
1866,2386,2345,2314,4487,38858
424,380,473,445,788,8273
317,300,287,342,668,6084
1598,1860,1686,1701,3555,29634
1397,1398,1230,1219,2916,31529
204,347,297,363,806,6382
2862,3963,3222,2958,5952,54308
1230,1347,1397,1467,2807,25714
1150,1276,1073,1185,2358,20665
1477,1758,1987,1984,3886,33554
1228,1456,1529,1494,3152,24968
608,632,669,644,1335,13369
1906,2034,2122,2188,4528,37558
89,97,102,111,186,2053
850,971,919,936,1947,18304
14377,24057,32626,28897,40644,314867
871,749,438,505,946,9360
741,879,948,765,1317,13290
419,409,374,387,713,6646
356,196,226,244,641,5755
420,390,397,494,1194,10466
73,40,62,87,70,1320
3528,6385,6020,5441,8841,81816
306,391,308,291,612,5812
673,679,811,712,1261,11895
72,89,91,50,225,1788
412,547,601,570,1064,9324
605,502,387,370,1128,9131
111,176,191,204,346,2925
428,522,617,682,1225,11327
4374,4923,5224,6072,11542,96147
6020,12427,8237,7712,13263,100733
58,77,57,73,87,1086
655,1086,907,813,1545,13677
31,17,10,22,61,747
217,64,59,128,297,3206
1035,1182,1175,1021,1774,16468
675,477,466,501,1228,11625
66,96,87,123,165,1965
1467,1499,1518,1577,3059,29518
3230,3798,3809,4539,7832,66290
117,123,126,129,179,2245
902,674,720,799,1796,19249
31,63,91,114,118,1728
256,342,352,439,765,7902
105,56,98,101,216,2000
179,257,73,197,367,4194
6268,12667,9270,8347,14045,114231
255,150,197,194,436,4766
558,772,856,1015,1899,16001
20,8,6,31,59,453
251,211,169,174,396,4139
306,311,347,343,597,6081
90,79,82,60,158,1610
288,449,443,398,968,6852
49,42,29,15,194,1325
1828,1813,1687,1998,4223,41387
694,673,743,733,1428,11405
696,798,797,728,1208,11218
540,594,515,483,1032,9292
414,422,380,490,1054,11414
122,179,134,285,334,3568
1772,3212,1927,1870,3766,34514
470,413,335,480,1054,9342
164,117,139,131,355,3646
301,292,262,321,618,6040
157,385,294,334,594,5031
45,35,59,19,59,790
305,512,415,401,802,7561
117,120,90,117,269,2108
39,53,26,57,75,1121
6926,9749,10939,10638,19259,156332
2202,2360,1840,1864,3194,31564
334,320,286,346,606,6406
11,23,14,8,42,421
39,26,31,24,84,728
24,28,15,19,44,502
255,289,260,284,486,5357
589,602,521,614,1332,11200
95,50,80,109,184,2049
111,86,161,157,299,3058
3133,5646,3374,3423,5616,48834
245,304,269,336,651,6546
449,432,352,419,867,8105
1348,1338,1165,1435,3085,25513
450,432,352,422,830,8561
170,179,180,167,475,3803
186,300,344,332,666,5792
482,481,664,686,1066,10012
285,359,319,332,623,6264
496,703,636,710,1372,10616
476,505,375,444,913,9039
564,514,528,564,1187,10836
1047,1529,1383,1397,2319,20529
1051,1087,530,465,904,8972
1288,1490,1611,1501,2714,23925
57,140,97,119,181,1901
273,326,299,260,608,5765
1865,2360,2020,2144,4382,36576
29255,36724,43835,43633,71513,549706
88,97,57,110,224,2017
244,313,260,321,525,5603
144,131,130,130,286,3019
201,178,113,105,236,2624
247,228,246,214,469,4814
888,1069,1064,1187,2492,21632
49,36,68,81,247,1913
61,143,72,97,141,1958
114,89,66,108,191,2019
