,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,t1,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,t2,Total; Estimate; AGE - 75 years and over,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over
0,55036,2746,3471,3542,3280,7476,20515,7973,3963,2680,4633,19249,3210,37,35.0,6.0
1,203360,10031,10706,11375,11374,25367,68853,27641,13746,14832,23312,79531,15375,34,39.0,8.0
2,26201,1071,1736,1917,1844,3195,9763,3531,1797,1579,2781,9688,1790,37,37.0,7.0
3,22580,1137,1419,1627,1625,2960,8768,3401,1473,1371,1959,8204,1443,39,36.0,6.0
4,57667,3224,3225,3299,3401,7131,20280,8169,3875,3592,6038,21674,3970,35,38.0,7.0
5,10478,454,686,755,422,1607,3924,1554,668,781,1011,4014,579,37,38.0,6.0
6,20126,1001,1119,1216,1206,2450,6992,2482,1453,1420,2033,7388,1698,35,37.0,8.0
7,115527,6192,7981,7917,7021,13983,43094,15199,7740,8110,11270,42319,7735,37,37.0,7.0
8,33895,1453,2296,2075,1862,3895,11581,4730,2635,2201,3710,13276,2590,34,39.0,8.0
9,25855,1278,1312,1352,1177,2974,8093,3770,2011,2091,3353,11225,2069,31,43.0,8.0
10,43805,2143,2669,2816,2802,5805,16235,5656,3189,2639,4106,15590,2684,37,36.0,6.0
11,13188,691,710,641,659,1480,4181,1866,1044,923,1629,5462,1207,32,41.0,9.0
12,24625,1314,1628,1306,1301,2948,8497,3432,1800,1590,2544,9366,2000,35,38.0,8.0
13,13407,710,713,716,635,1647,4421,1885,1092,872,1528,5377,1080,33,40.0,8.0
14,14939,669,787,804,818,1890,4968,2142,1042,931,1597,5712,1163,33,38.0,8.0
15,51073,2655,3025,3261,3179,6672,18792,7041,3556,2875,4661,18133,3491,37,36.0,7.0
16,54435,2596,3217,3395,3122,6459,18789,7468,3917,3772,5897,21054,4393,35,39.0,8.0
17,12649,576,770,611,559,1381,3897,1659,1020,878,1612,5169,1052,31,41.0,8.0
18,10955,490,688,445,609,1397,3629,1490,1031,841,1325,4687,979,33,43.0,9.0
19,37519,1672,2181,2103,2131,4170,12257,5042,2680,2677,4213,14612,3400,33,39.0,9.0
20,13866,804,731,817,686,1725,4763,1877,1112,884,1489,5362,998,34,39.0,7.0
21,81703,3860,4892,5248,4772,10153,28925,11140,5740,5159,8634,30673,5874,35,38.0,7.0
22,49393,2571,3314,3626,3537,5895,18943,6194,3538,2700,4586,17018,3212,38,34.0,7.0
23,40755,2220,2733,2468,2294,4482,14197,5159,3010,2809,3909,14887,2718,35,37.0,7.0
24,71194,3671,4313,4270,4296,9105,25655,9521,4720,4367,6927,25535,4488,36,36.0,6.0
25,80989,4101,5552,5401,5542,11237,31833,11415,5754,4509,7066,28744,4354,39,35.0,5.0
26,37621,1942,2367,2366,2417,4860,13952,5098,2478,2264,3682,13522,2731,37,36.0,7.0
27,103132,5106,6546,6033,5854,13292,36831,14034,7410,6715,10886,39045,7521,36,38.0,7.0
28,16657,870,950,909,917,1947,5593,2223,1115,1265,1961,6564,1378,34,39.0,8.0
29,31507,1604,2259,1801,2003,4028,11695,4083,1765,1915,2999,10762,2140,37,34.0,7.0
30,26572,1349,1433,1492,1465,3258,8997,3642,2093,1657,2937,10329,2122,34,39.0,8.0
31,8533,316,535,506,496,753,2606,1043,680,699,915,3337,738,31,39.0,9.0
32,14995,931,908,844,806,1606,5095,2037,923,1235,1583,5778,1127,34,39.0,8.0
33,17110,776,1073,784,815,2201,5649,2228,1261,1246,2165,6900,1423,33,40.0,8.0
34,104108,5076,6201,6858,6713,13031,37879,13864,7298,6271,9987,37420,7216,36,36.0,7.0
35,52326,2554,2912,2913,2835,6570,17784,7245,4012,3633,5935,20825,3873,34,40.0,7.0
36,659460,33372,43822,48650,46208,83485,255537,84798,45746,41664,54828,227036,41669,39,34.0,6.0
37,14021,630,711,729,772,1568,4410,1924,1134,922,1580,5560,1309,31,40.0,9.0
38,92590,4875,8008,5519,5278,10318,33998,12034,6567,5969,9967,34537,7516,37,37.0,8.0
39,33288,1529,1947,2041,1911,4044,11472,4987,2677,2103,3478,13245,2129,34,40.0,6.0
40,156597,11626,22538,12059,10395,18921,75539,18343,8221,7677,10527,44768,6309,48,29.0,4.0
41,91695,4727,5251,5565,6357,12518,34418,13877,6310,5264,7906,33357,5229,38,36.0,6.0
42,10362,370,716,672,593,1080,3431,1444,795,680,1040,3959,761,33,38.0,7.0
43,19358,1761,2264,1143,907,1833,7908,2275,1268,1414,2071,7028,1369,41,36.0,7.0
44,353213,18894,24839,24998,23587,43015,135333,52641,25475,20659,28399,127174,20982,38,36.0,6.0
45,19743,1215,1050,1235,1048,2262,6810,2581,1307,1436,2037,7361,1651,34,37.0,8.0
46,30058,1352,1643,1727,1530,3638,9890,4282,2033,2055,3487,11857,2654,33,39.0,9.0
47,94738,4924,5737,5962,5641,11831,34095,12345,6003,5772,9383,33503,6311,36,35.0,7.0
48,414328,21955,29120,29830,26662,49629,157196,53726,27928,26225,36891,144770,24987,38,35.0,6.0
49,21745,1087,1347,1113,1092,2449,7088,2939,1665,1488,2359,8451,1689,33,39.0,8.0
50,227120,12559,17496,17284,15722,28534,91595,28451,15113,13010,17922,74496,13282,40,33.0,6.0
51,119157,5830,6968,7324,7307,15232,42661,16927,8565,7363,11381,44236,7995,36,37.0,7.0
52,9680,941,1002,220,412,1143,3718,1058,747,487,1035,3327,756,38,34.0,8.0
53,20170,1087,1226,1292,1247,2302,7154,2936,1490,1332,2070,7828,1572,35,39.0,8.0
54,33287,2568,5273,2709,1680,3412,15642,3496,1919,1697,2774,9886,1970,47,30.0,6.0
55,22530,1231,1294,1081,1153,2806,7565,2919,1506,1700,2569,8694,1860,34,39.0,8.0
56,58480,2764,4028,4862,4319,7278,23251,7563,4008,3093,4553,19217,3034,40,33.0,5.0
57,86937,3673,5083,5327,5773,11645,31501,12508,6052,5467,8144,32171,5332,36,37.0,6.0
58,208721,10830,11999,12629,13850,29867,79175,29896,13411,13039,17860,74206,10711,38,36.0,5.0
59,13084,1053,1491,947,527,1268,5286,1497,1000,854,1144,4495,1007,40,34.0,8.0
60,80888,3915,5292,5089,4824,10291,29411,11204,5853,5461,8105,30623,5276,36,38.0,7.0
61,40756,2060,2341,2142,2158,4452,13153,5561,3290,2906,4928,16685,3172,32,41.0,8.0
62,204424,16816,23929,16650,13152,24238,94785,22863,11816,11688,14667,61034,10071,46,30.0,5.0
63,64927,3107,3827,3967,3597,7747,22245,8957,4543,4532,7048,25080,4806,34,39.0,7.0
64,16746,1049,899,771,1078,1801,5598,2670,1184,1210,1743,6807,1150,33,41.0,7.0
65,10919,622,696,624,567,1239,3748,1328,733,806,1114,3981,831,34,36.0,8.0
66,23968,1104,1224,1280,1316,2758,7682,3420,1906,1637,2954,9917,1984,32,41.0,8.0
67,3338,123,269,244,234,482,1352,844,241,236,209,1530,65,41,46.0,2.0
68,5784,241,504,533,501,894,2673,1076,436,388,259,2159,60,46,37.0,1.0
69,298225,14330,25089,27283,24367,38243,129312,38476,20333,15460,18611,92880,9537,43,31.0,3.0
70,17957,1201,1421,1471,1217,1950,7260,1977,881,815,902,4575,365,40,25.0,2.0
71,917,42,48,48,49,127,314,165,97,75,55,392,34,34,43.0,4.0
72,2303,115,318,154,163,281,1031,342,169,307,116,934,58,45,41.0,3.0
73,4974,320,405,384,329,551,1989,562,349,299,256,1466,146,40,29.0,3.0
74,100031,5183,11069,10255,8082,12083,46672,11484,5999,5291,6114,28888,2545,47,29.0,3.0
75,2537,106,105,172,171,255,809,322,220,157,487,1186,83,32,47.0,3.0
76,2146,64,116,94,100,234,608,359,219,237,297,1112,111,28,52.0,5.0
77,32434,1590,2218,2423,2312,4415,12958,4719,2570,2228,2584,12101,1095,40,37.0,3.0
78,57961,2876,3325,3588,3596,6848,20233,7794,4980,4577,5846,23197,2731,35,40.0,5.0
79,13745,564,885,921,917,1687,4974,1985,1053,1090,1234,5362,627,36,39.0,5.0
80,13773,750,764,1357,1163,1760,5794,1740,1033,708,891,4372,316,42,32.0,2.0
81,8129,618,692,764,501,727,3302,830,427,235,280,1772,159,41,22.0,2.0
82,1301,75,123,102,97,146,543,159,96,91,64,410,34,42,32.0,3.0
83,101135,5481,6550,6847,7242,13303,39423,13603,7201,6140,7064,34008,3154,39,34.0,3.0
84,9869,650,759,836,672,1097,4014,1104,583,432,510,2629,209,41,27.0,2.0
85,9757,474,587,749,955,1116,3881,1474,1039,562,427,3502,168,40,36.0,2.0
86,7715,522,683,660,534,801,3200,856,393,292,333,1874,226,41,24.0,3.0
87,3275,156,273,137,170,396,1132,432,266,230,371,1299,177,35,40.0,5.0
88,6473,315,333,413,376,729,2166,988,568,486,636,2678,259,33,41.0,4.0
89,8810,484,454,636,631,1218,3423,1172,682,604,732,3190,493,39,36.0,6.0
90,1038,45,50,50,130,175,450,182,117,58,87,444,30,43,43.0,3.0
91,6889,358,383,535,408,810,2494,922,542,416,582,2462,258,36,36.0,4.0
92,9439,320,659,730,566,1095,3370,1412,799,672,898,3781,220,36,40.0,2.0
93,2475,116,87,136,140,202,681,351,272,201,265,1089,290,28,44.0,12.0
94,682,25,43,54,38,100,260,99,47,47,63,256,32,38,38.0,5.0
95,5453,309,346,380,359,580,1974,648,425,373,467,1913,218,36,35.0,4.0
96,71602,4999,4935,4594,4008,7761,26297,8827,4469,4220,5930,23446,3957,37,33.0,6.0
97,126516,6175,7688,8371,8023,13531,43788,14786,7567,9406,14976,46735,10849,35,37.0,9.0
98,138639,13761,17762,10169,8560,15014,65266,15264,8620,7762,9965,41611,5468,47,30.0,4.0
99,53145,2068,2714,2602,2451,4521,14356,6177,4129,4397,8438,23141,5917,27,44.0,11.0
100,37700,2284,2916,2963,2711,4763,15637,4199,1781,2084,2786,10850,2063,41,29.0,5.0
101,9368,551,626,670,680,1185,3712,1106,562,525,516,2709,590,40,29.0,6.0
102,20477,955,992,710,855,1521,5033,2022,1245,1544,3936,8747,3703,25,43.0,18.0
103,4155501,224902,285123,305479,290772,547697,1653973,534321,243810,221890,341640,1341661,245004,40,32.0,6.0
104,204691,8503,9775,10495,9811,18987,57571,24721,16357,16203,33518,90799,23838,28,44.0,12.0
105,107902,6400,6697,6723,6090,11469,37379,12634,7053,6717,10735,37139,6815,35,34.0,6.0
106,1007257,56495,90677,63250,61617,114537,386576,117708,64063,63094,103745,348610,78975,38,35.0,8.0
107,405537,20163,22775,25704,27873,53906,150421,45705,23090,24510,47409,140714,28167,37,35.0,7.0
108,46358,3164,3094,2456,2360,5116,16190,5590,2825,2958,4499,15872,3073,35,34.0,7.0
109,220972,9279,10175,10119,9977,19521,59071,25892,17498,21220,38221,102831,25686,27,47.0,12.0
110,204281,11970,17548,14708,13013,22183,79422,21958,9982,9796,18618,60354,17325,39,30.0,8.0
111,18352,1067,958,1046,1162,2181,6414,2335,1305,1372,1882,6894,1439,35,38.0,8.0
112,20771,948,1308,1040,1071,2513,6880,2886,1562,1216,2290,7954,1588,33,38.0,8.0
113,41093,1494,1635,2066,1897,3801,10893,4948,2899,3451,6851,18149,5677,27,44.0,14.0
114,251823,13440,14643,17464,19398,35598,100543,31966,14363,11950,19021,77300,13645,40,31.0,5.0
115,37212,1734,2064,2187,2049,4368,12402,4973,2511,2459,4159,14102,3191,33,38.0,9.0
116,10994,594,505,641,616,1275,3631,1501,672,807,1073,4053,945,33,37.0,9.0
117,5194,236,345,298,231,588,1698,773,393,344,584,2094,508,33,40.0,10.0
118,27782,1229,1462,1353,1477,2972,8493,3421,2329,2017,3731,11498,2249,31,41.0,8.0
119,11008,665,474,626,607,1207,3579,1506,930,718,1096,4250,1021,33,39.0,9.0
120,22495,2342,3205,1200,924,2443,10114,2510,1109,1493,1906,7018,1601,45,31.0,7.0
121,15190,686,866,798,774,1770,4894,2054,1146,953,1769,5922,1403,32,39.0,9.0
122,25361,1121,1182,1159,1313,2673,7448,3275,1945,1841,3579,10640,3017,29,42.0,12.0
123,8332,563,429,372,462,1009,2835,1129,568,569,937,3203,689,34,38.0,8.0
124,23992,2209,2586,1357,1280,2593,10025,2762,1390,1505,2105,7762,1871,42,32.0,8.0
125,20954,836,1182,1299,1223,2369,6909,2844,1491,1395,2156,7886,1719,33,38.0,8.0
126,104246,6298,8379,8631,7139,13571,44018,12234,5777,5563,7896,31470,5783,42,30.0,6.0
127,62119,3088,3590,3900,3775,7956,22309,8295,4166,3882,5803,22146,3904,36,36.0,6.0
128,49278,2663,3299,3341,3118,5947,18368,6422,2789,3185,3755,16151,2547,37,33.0,5.0
129,17164,1046,991,847,940,2225,6049,2280,1240,995,1834,6349,1191,35,37.0,7.0
130,7585,352,390,452,309,852,2355,1004,508,646,890,3048,670,31,40.0,9.0
131,12094,787,657,627,612,1350,4033,1533,815,919,1229,4496,896,33,37.0,7.0
132,18620,1547,1881,963,1164,1947,7502,2238,1445,839,1622,6144,1429,40,33.0,8.0
133,121282,8352,13723,9071,8232,15392,54770,14493,6898,5682,8475,35548,5501,45,29.0,5.0
134,17803,942,1082,965,1021,2063,6073,2364,1074,1304,1814,6556,1522,34,37.0,9.0
135,12092,535,577,510,563,1203,3388,1639,814,1073,1753,5279,1273,28,44.0,11.0
136,97994,4375,5248,5722,5261,10961,31567,12498,7451,6564,12379,38892,9788,32,40.0,10.0
137,18076,984,1003,1117,1034,2282,6420,2589,1375,987,1877,6828,1199,36,38.0,7.0
138,44197,2313,2958,2954,2748,5858,16831,5887,2971,2238,4029,15125,2739,38,34.0,6.0
139,22154,1145,1422,1175,1150,2609,7501,2850,1384,1474,2117,7825,1682,34,35.0,8.0
140,33480,1367,2073,2276,2177,3893,11786,4677,2317,2380,3704,13078,2333,35,39.0,7.0
141,13472,734,623,731,858,1571,4517,1822,799,862,1301,4784,994,34,36.0,7.0
142,37097,2037,2193,2183,2283,4512,13208,4969,2444,2431,3509,13353,2766,36,36.0,7.0
143,13521,557,646,671,666,1478,4018,1873,1236,874,1866,5849,1486,30,43.0,11.0
144,17429,704,1133,1190,1381,2100,6508,2445,1299,1191,1671,6606,1177,37,38.0,7.0
145,71373,3863,5222,4752,4396,8185,26418,9209,5667,4172,6710,25758,4647,37,36.0,7.0
146,26155,1444,1746,1594,1484,3336,9604,3339,1761,1490,2488,9078,1641,37,35.0,6.0
147,7051,372,367,381,391,680,2191,976,563,528,888,2955,681,31,42.0,10.0
148,16777,926,1150,907,913,1904,5800,2238,977,1209,1801,6225,1437,35,37.0,9.0
149,9614,381,766,708,619,1289,3763,1292,696,579,964,3531,746,39,37.0,8.0
150,13885,494,946,1274,1130,2111,5955,2177,694,903,1127,4901,852,43,35.0,6.0
151,12494,445,623,723,726,1667,4184,1633,935,785,1492,4845,995,33,39.0,8.0
152,21802,1037,1234,1179,1115,2612,7177,3227,1607,1391,2377,8602,1726,33,39.0,8.0
153,71568,3758,4153,5070,5287,9831,28099,9474,4438,3703,5506,23121,3562,39,32.0,5.0
154,15907,921,864,846,863,1744,5238,2320,1244,1002,1746,6312,1149,33,40.0,7.0
155,16374,589,679,746,716,1470,4200,2169,1344,1634,2700,7847,1723,26,48.0,11.0
156,43760,2185,2646,3014,2902,5401,16148,5860,2726,2912,4100,15598,2779,37,36.0,6.0
157,43534,2617,2956,2924,2720,5161,16378,5633,2745,2713,3523,14614,2484,38,34.0,6.0
158,7420,365,523,332,230,857,2307,977,543,620,918,3058,716,31,41.0,10.0
159,9059,365,379,347,415,892,2398,1330,683,760,1289,4062,1046,26,45.0,12.0
160,8528,420,486,390,446,870,2612,1245,771,472,983,3471,678,31,41.0,8.0
161,7898,375,336,372,377,814,2274,998,622,725,1166,3511,721,29,44.0,9.0
162,24378,1180,1379,1308,1205,2775,7847,3244,2119,1652,2526,9541,2005,32,39.0,8.0
163,10320,461,589,528,534,1169,3281,1445,881,694,1156,4176,795,32,40.0,8.0
164,19518,1057,1408,1096,941,2070,6572,2356,1387,1325,1908,6976,1399,34,36.0,7.0
165,10893,552,572,652,555,1354,3685,1449,585,912,1221,4167,881,34,38.0,8.0
166,24098,1145,1522,1600,1287,2924,8478,3263,1465,1645,2511,8884,1637,35,37.0,7.0
167,20212,1015,984,1119,1058,2142,6318,2589,1249,1567,2569,7974,1803,31,39.0,9.0
168,63372,4483,6028,4438,3926,6896,25771,7929,4018,3415,5434,20796,3908,41,33.0,6.0
169,8309,351,460,425,418,880,2534,1196,665,539,1032,3432,854,30,41.0,10.0
170,392848,18511,26880,30296,28801,50265,154753,49853,26427,24243,32425,132948,22465,39,34.0,6.0
171,17514,744,933,1083,972,2009,5741,2267,997,1347,1911,6522,1578,33,37.0,9.0
172,26688,1210,1717,1859,2015,3815,10616,3444,1958,1496,2349,9247,1548,40,35.0,6.0
173,116252,5862,6002,7190,7778,16299,43131,14984,7248,7037,11821,41090,7687,37,35.0,7.0
174,10584,581,604,613,539,1132,3469,1471,782,554,1212,4019,840,33,38.0,8.0
175,7925,272,386,461,372,832,2323,1002,490,713,1131,3336,840,29,42.0,11.0
176,127362,6769,8732,8606,8052,15901,48060,16873,8052,7949,11109,43983,7749,38,35.0,6.0
177,17206,996,1155,1072,959,2221,6403,2153,969,857,1467,5446,942,37,32.0,5.0
178,17041,736,757,815,754,1674,4736,2250,1337,1121,2539,7247,1827,28,43.0,11.0
179,12443,494,649,570,527,1239,3479,1550,1091,938,1839,5418,1373,28,44.0,11.0
180,40022,1743,2305,2285,2703,4681,13717,5232,2683,2966,3807,14688,2907,34,37.0,7.0
181,16751,677,774,803,853,1719,4826,2191,1236,1322,2337,7086,1860,29,42.0,11.0
182,223683,15178,23685,17487,16682,29046,102078,24893,11816,10313,14560,61582,9818,46,28.0,4.0
183,78706,4872,6575,5164,4904,9006,30521,10405,4950,4173,7004,26532,5080,39,34.0,6.0
184,6763,263,364,380,274,760,2041,924,514,512,867,2817,596,30,42.0,9.0
185,21601,1191,1153,1224,1134,2697,7399,3037,1563,1318,1969,7887,1604,34,37.0,7.0
186,1629615,76292,106023,131990,133457,241616,689378,225783,106027,91583,121720,545113,86973,42,33.0,5.0
187,1203,109,75,48,49,115,396,110,60,98,200,468,131,33,39.0,11.0
188,37306,1633,1694,1645,1791,4055,10818,5430,3065,3402,5846,17743,3719,29,48.0,10.0
189,225207,13094,25957,14754,13264,23484,90553,25549,15251,14667,22082,77549,16867,40,34.0,7.0
190,45057,1922,2069,2009,1976,4086,12062,6055,4252,4287,7159,21753,4426,27,48.0,10.0
191,21479,1262,1397,1443,1421,2475,7998,2655,1488,1155,1750,7048,1122,37,33.0,5.0
192,1123678,57007,68511,69220,72573,150696,418007,164921,78318,67633,95745,406617,68026,37,36.0,6.0
193,27442,1133,1631,1895,2102,3482,10243,3604,2079,1905,2638,10226,1719,37,37.0,6.0
194,185015,9246,10032,8917,9407,20477,58079,27571,16433,14989,21491,80484,13459,31,44.0,7.0
195,971616,56709,76074,76941,69224,118927,397875,112779,52863,46889,63645,276176,47223,41,28.0,5.0
196,27935,1644,1803,1730,1687,3335,10199,3457,1699,1848,2374,9378,1797,37,34.0,6.0
197,135490,7645,12968,9164,9208,16636,55621,15396,9755,9449,13421,48021,8330,41,35.0,6.0
198,179957,10659,14522,13144,12471,21822,72618,21029,9288,8952,12077,51346,9739,40,29.0,5.0
199,18195,814,864,969,1084,1966,5697,2246,1377,1629,2195,7447,1764,31,41.0,10.0
200,878744,52584,69839,69584,64021,110020,366048,103750,48080,41604,53629,247063,35598,42,28.0,4.0
201,150183,8434,12980,13063,11839,20582,66898,18328,7508,6354,8234,40424,5981,45,27.0,4.0
202,64095,2960,3206,3582,3455,6598,19801,8379,5280,5531,8218,27408,5343,31,43.0,8.0
203,31470,1179,3336,3221,2937,4458,15131,4086,1791,1928,2397,10202,1604,48,32.0,5.0
204,10105722,543922,756629,831276,762619,1397855,4292301,1381247,628513,535357,710663,3255780,554321,42,32.0,5.0
205,154440,9449,11166,10750,10501,19412,61278,18171,8870,8201,12192,47434,7999,40,31.0,5.0
206,260814,10406,11573,10700,12496,32861,78036,41697,20617,19719,31121,113154,21844,30,43.0,8.0
207,17658,632,817,913,932,1618,4912,2405,1477,1713,2723,8318,1875,28,47.0,11.0
208,87497,4419,4802,4783,5306,10101,29411,10753,6417,7092,11011,35273,6210,34,40.0,7.0
209,267390,18658,21320,19912,18256,32665,110811,31007,14339,11772,16528,73646,12083,41,28.0,5.0
210,9017,435,219,520,526,922,2622,1164,614,892,1325,3995,889,29,44.0,10.0
211,14058,491,1392,488,1624,1532,5527,2002,1323,802,1323,5450,598,39,39.0,4.0
212,433168,24661,32631,31957,31862,56050,177161,52226,25208,22512,30699,130645,23046,41,30.0,5.0
213,141005,7485,9180,8459,8880,17897,51901,19175,9827,9165,13773,51940,10748,37,37.0,8.0
214,98838,4471,4432,4526,5200,10687,29316,12387,8600,9486,14647,45120,9479,30,46.0,10.0
215,3155816,168512,223560,232813,215807,420655,1261347,456447,208406,171585,240721,1077159,185724,40,34.0,6.0
216,374985,18701,20348,19599,21862,47853,128363,53166,25995,24083,38845,142089,29399,34,38.0,8.0
217,18724,757,805,784,868,1943,5157,2319,1631,2111,3019,9080,1805,28,48.0,10.0
218,2355002,141857,171312,164817,157343,300293,935622,303500,137405,120201,179743,740849,137236,40,31.0,6.0
219,1495400,75776,102160,118091,111741,195153,602921,196714,95491,84276,112217,488698,82512,40,33.0,6.0
220,58671,3552,4062,3803,3899,7612,22928,8117,3852,3184,4109,19262,2781,39,33.0,5.0
221,2121220,129131,171907,163837,149013,272623,886511,270620,126757,105274,136041,638692,89133,42,30.0,4.0
222,3283665,173100,266640,280963,253780,433395,1407878,423949,200546,179195,240843,1044533,184374,43,32.0,6.0
223,864263,25022,51375,101502,97230,137258,412387,116387,51504,50809,68600,287300,59784,48,33.0,7.0
224,724153,43844,52081,50379,48836,93186,288326,92299,42383,37236,50648,222566,35890,40,31.0,5.0
225,280119,19462,29960,15766,16661,29828,111677,33293,20158,19435,29421,102307,21241,40,37.0,8.0
226,763450,31819,42350,52654,57519,110416,294758,110138,51990,46555,64167,272850,50897,39,36.0,7.0
227,442996,32040,49723,30404,28422,50037,190626,51113,26026,23606,33816,134561,29394,43,30.0,7.0
228,1911226,91461,121220,147045,151422,282336,793484,271620,119480,98755,134022,623877,105943,42,33.0,6.0
229,273263,19750,27857,16910,16448,32049,113014,35209,19779,18347,24283,97618,14602,41,36.0,5.0
230,178919,8973,10728,11111,10940,18977,60729,22916,13249,13172,20239,69576,14489,34,39.0,8.0
231,2885,108,69,85,102,296,660,386,458,223,478,1545,285,23,54.0,10.0
232,43530,1971,2066,2137,2268,4226,12668,5322,3778,3838,6265,19203,3915,29,44.0,9.0
233,434981,21702,30528,32121,30277,53735,168363,59302,29728,28515,37108,154653,24446,39,36.0,6.0
234,500943,23987,31205,32705,32737,61545,182179,67716,36309,37152,52644,193821,34495,36,39.0,7.0
235,535684,30746,38470,39204,36880,67425,212725,67318,32561,26854,38224,164957,27620,40,31.0,5.0
236,95583,5147,6318,6841,6171,11803,36280,11919,5815,5262,7681,30677,6276,38,32.0,7.0
237,63247,2918,3712,3793,3528,7021,20972,8378,4517,4168,6814,23877,4894,33,38.0,8.0
238,13037,734,385,461,608,1442,3630,1722,1131,1404,1962,6219,1368,28,48.0,10.0
239,458809,29320,34565,32887,31706,56795,185273,51846,24082,20354,28511,124793,20401,40,27.0,4.0
240,53899,2342,2766,3176,3200,5449,16933,6793,4375,4968,7578,23714,5396,31,44.0,10.0
241,847834,46337,60289,56916,54402,106295,324239,118108,58888,48531,68423,293950,50823,38,35.0,6.0
242,212605,17436,30479,15206,13687,24900,101708,23820,11638,10504,14139,60101,10338,48,28.0,5.0
243,74644,3656,5642,6167,5567,9094,30126,8534,4893,3640,5422,22489,3265,40,30.0,4.0
244,487850,24659,31589,38575,40393,71394,206610,62132,28318,22895,29003,142348,17880,42,29.0,4.0
245,16345,1294,2038,1150,983,1775,7240,1616,935,911,1205,4667,836,44,29.0,5.0
246,626612,30413,39181,47013,48270,89282,254159,84700,40519,36592,46304,208115,28871,41,33.0,5.0
247,12592,382,739,545,692,1213,3571,1590,1166,1354,2031,6141,898,28,49.0,7.0
248,3581,176,162,173,195,357,1063,432,273,276,430,1411,472,30,39.0,13.0
249,5806,154,273,661,590,802,2480,792,431,315,589,2127,392,43,37.0,7.0
250,316782,22055,33522,22361,20147,40656,138741,42411,20757,19456,24412,107036,15557,44,34.0,5.0
251,64283,2767,3707,4820,4598,9686,25578,9314,4373,3257,4892,21836,3115,40,34.0,5.0
252,18818,694,659,1198,1206,2055,5812,2630,1506,1784,2758,8678,1770,31,46.0,9.0
253,2127,97,98,103,126,271,695,272,173,108,105,658,167,33,31.0,8.0
254,9257,442,399,438,476,1179,2934,1506,1053,801,1189,4549,464,32,49.0,5.0
255,8147,434,451,484,418,805,2592,983,554,605,819,2961,610,32,36.0,7.0
256,3628,172,217,149,186,242,966,474,327,318,558,1677,396,27,46.0,11.0
257,5514,295,653,504,472,747,2671,833,296,338,462,1929,274,48,35.0,5.0
258,4505,151,175,86,226,177,815,447,518,584,1006,2555,502,18,57.0,11.0
259,30217,1521,1275,1368,1522,3163,8849,3681,2476,2520,4158,12835,3095,29,42.0,10.0
260,678467,25401,43009,77388,74477,106244,326519,79006,36610,33444,44686,193746,31273,48,29.0,5.0
261,1736,10,60,87,119,154,430,216,199,113,215,743,209,25,43.0,12.0
262,320940,17481,15100,14562,19606,50540,117289,52801,21384,16894,22273,113352,10972,37,35.0,3.0
263,53726,2361,3019,4524,4545,8652,23101,8040,3651,3062,3713,18466,1332,43,34.0,2.0
264,24553,1281,1147,926,1078,2752,7184,4453,2507,2106,2502,11568,984,29,47.0,4.0
265,674826,37050,55971,54380,49599,84545,281545,85850,41579,36736,48459,212624,31028,42,32.0,5.0
266,46601,1424,2140,3043,4022,6107,16736,6773,3802,3045,5610,19230,3954,36,41.0,8.0
267,57945,3021,3314,3762,4246,8258,22601,7803,4016,3618,4181,19618,2403,39,34.0,4.0
268,5793,131,193,255,391,910,1880,876,477,714,703,2770,166,32,48.0,3.0
269,14793,526,861,991,1082,1841,5301,2133,1234,1533,1720,6620,605,36,45.0,4.0
270,16215,1205,2130,1100,1274,2064,7773,1910,1101,996,1327,5334,582,48,33.0,4.0
271,820,33,7,28,25,60,153,112,110,110,151,483,68,19,59.0,8.0
272,6498,165,210,249,373,556,1553,727,669,599,1215,3210,754,24,49.0,12.0
273,1372,44,60,33,83,123,343,185,171,106,156,618,136,25,45.0,10.0
274,564029,26632,32819,39134,39876,73476,211937,81670,43862,39026,51441,215999,33907,38,38.0,6.0
275,1368,90,46,85,80,105,406,155,116,78,113,462,179,30,34.0,13.0
276,7846,308,346,446,721,981,2802,1027,524,508,732,2791,633,36,36.0,8.0
277,7481,405,564,748,389,1252,3358,1120,472,600,622,2814,217,45,38.0,3.0
278,54469,3305,3467,3789,3756,7129,21446,7168,4164,4342,5366,21040,2782,39,39.0,5.0
279,330976,20137,36162,24606,22327,39919,143151,38885,22330,20275,28485,109975,18439,43,33.0,6.0
280,14151,753,781,894,753,1448,4629,1797,1123,1154,1861,5935,1292,33,42.0,9.0
281,5520,187,319,393,473,840,2212,711,440,249,484,1884,467,40,34.0,8.0
282,21885,1574,1605,1404,1453,2479,8515,2818,1382,1427,1894,7521,1735,39,34.0,8.0
283,148798,8167,9917,10004,9867,17270,55225,17795,10666,9960,14625,53046,11178,37,36.0,8.0
284,834,7,23,40,35,88,193,93,76,124,165,458,105,23,55.0,13.0
