,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,t1,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,t2,Total; Estimate; AGE - 75 years and over,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over
3099,17626,866,990,798,863,1888,5405,2236,1377,1495,1911,7019,1742,31,40.0,10.0
3100,161226,7967,10189,9393,10301,19982,57832,22607,11597,10184,13910,58298,10818,36,36.0,7.0
3101,14211,618,679,533,627,1432,3889,2018,1245,1178,1753,6194,1482,27,44.0,10.0
3102,87142,4492,4499,4466,5696,12213,31366,13285,6266,5318,6598,31467,4313,36,36.0,5.0
3103,63340,3162,3338,3528,3999,7898,21925,8844,4681,4219,6119,23863,4726,35,38.0,7.0
3104,16384,605,743,712,741,1568,4369,2203,1432,1525,2373,7533,1533,27,46.0,9.0
3105,41136,1808,2076,2046,2191,4552,12673,6172,3284,2824,4536,16816,3694,31,41.0,9.0
3106,115094,5856,6719,6189,7161,13756,39681,16639,8703,7997,10442,43781,8564,34,38.0,7.0
3107,20344,946,993,907,1069,2341,6256,2938,1723,1453,1864,7978,1763,31,39.0,9.0
3108,29510,1389,1561,1508,1767,3550,9775,4140,2133,1962,2747,10982,2269,33,37.0,8.0
3109,30378,1529,1443,1369,1540,3189,9070,4024,2476,2215,3031,11746,2535,30,39.0,8.0
3110,21465,722,877,855,831,1849,5134,3000,1759,2087,3619,10465,2692,24,49.0,13.0
3111,102917,6205,9689,5237,5632,11592,38355,14221,8047,6334,9468,38070,6838,37,37.0,7.0
3112,15638,601,633,600,736,1560,4130,2194,1344,1459,2253,7250,1573,26,46.0,10.0
3113,133967,6734,6902,6387,7758,16577,44358,21679,10955,8601,12352,53587,9425,33,40.0,7.0
3114,396731,21258,21338,18974,22285,47951,131806,60706,32648,27713,37843,158910,29637,33,40.0,7.0
3115,51651,2505,2659,2464,2881,5958,16467,7679,4199,3765,5237,20880,4902,32,40.0,9.0
3116,24170,964,1080,1174,1271,2417,6906,3729,1963,2079,3176,10947,2324,29,45.0,10.0
3117,169540,9348,15248,11300,11067,20160,67123,23482,12039,10202,13763,59486,11621,40,35.0,7.0
3118,73427,3314,3921,3817,4395,8124,23571,10494,6342,4770,7500,29106,6568,32,40.0,9.0
3119,37944,2903,8449,3732,2536,3655,21275,3254,1841,1976,2373,9444,1538,56,25.0,4.0
3120,11920,696,559,619,659,1259,3792,1463,763,883,1408,4517,976,32,38.0,8.0
3121,48116,2316,3124,3808,3998,6669,19915,5998,3510,2797,2432,14737,1253,41,31.0,3.0
3122,15689,669,1042,1037,1047,1975,5770,1909,1255,1090,1382,5636,949,37,36.0,6.0
3123,14166,728,748,813,916,1599,4804,2094,1133,899,1229,5355,844,34,38.0,6.0
3124,7347,304,341,374,499,715,2233,948,609,646,806,3009,512,30,41.0,7.0
3125,40354,2061,2390,2421,2602,4470,13944,4768,2772,3055,3949,14544,2744,35,36.0,7.0
3126,13479,725,848,824,721,1452,4570,1641,1101,890,1557,5189,1263,34,38.0,9.0
3127,4741,160,103,236,223,523,1245,571,405,463,668,2107,515,26,44.0,11.0
3128,8562,249,432,272,455,1063,2471,1086,692,684,1052,3514,759,29,41.0,9.0
3129,97031,4924,6889,7467,7077,11380,37737,12346,6864,5915,8372,33497,5785,39,35.0,6.0
3130,18791,954,792,892,1120,2386,6144,2345,1456,1375,1831,7007,1048,33,37.0,6.0
3131,81023,4025,5274,6004,6254,10475,32032,9768,5843,5257,6148,27016,4631,40,33.0,6.0
3132,2479,177,177,176,213,237,980,340,175,154,231,900,240,40,36.0,10.0
3133,29276,1859,1616,1566,1838,3028,9907,3518,2243,2499,3593,11853,2383,34,40.0,8.0
3134,8703,460,370,371,501,821,2523,1218,620,750,1151,3739,854,29,43.0,10.0
3135,29964,1470,1630,1619,1832,3588,10139,3709,1987,2733,3317,11746,2287,34,39.0,8.0
3136,10037,498,225,569,634,1585,3511,1325,646,759,975,3705,558,35,37.0,6.0
3137,44527,2312,3058,3314,3531,6016,18231,5246,3271,2676,2807,14000,1532,41,31.0,3.0
3138,22923,675,1162,2308,2078,3627,9850,3028,1669,1387,1930,8014,981,43,35.0,4.0
3139,20758,1009,1241,1154,1396,2737,7537,2395,1742,1128,1562,6827,864,36,33.0,4.0
3140,8253,452,399,377,474,965,2667,1062,621,553,958,3194,695,32,39.0,8.0
3141,7117,203,467,402,439,863,2374,888,409,776,675,2748,622,33,39.0,9.0
3142,18525,1014,1278,1171,1126,2169,6758,2515,1318,1163,1844,6840,1297,36,37.0,7.0
3143,39470,2136,2780,2547,2350,4942,14755,5758,2833,2810,3948,15349,2501,37,39.0,6.0
3144,55722,3122,3724,3449,3337,7063,20695,7072,3295,3788,6415,20570,4373,37,37.0,8.0
3145,26855,1586,1844,1726,1636,3452,10244,3584,1851,1600,2647,9682,1971,38,36.0,7.0
3146,24008,1141,1772,1604,1393,2700,8610,3342,1613,1753,2499,9207,1831,36,38.0,8.0
3147,27892,1643,1942,1673,1621,3645,10524,3927,1760,1766,3054,10507,2068,38,38.0,7.0
3148,89550,5058,6375,5635,5130,11370,33568,12087,5173,5611,9905,32776,7725,37,37.0,9.0
3149,18504,1138,1271,1131,1163,2467,7170,2249,955,1263,1982,6449,1197,39,35.0,6.0
3150,24583,1347,1764,1607,1570,3485,9773,3075,1195,1449,2519,8238,1793,40,34.0,7.0
3151,29237,1845,2373,2168,1877,3343,11606,3933,1774,1742,2358,9807,1657,40,34.0,6.0
